Name	Identifiers_fuzzy	Identifiers_classic	Identifiers	ID	source	name	fuzzy	metaNet
isocitric acid	['30887', 'C00311', '16087']	['24885', 'C00451', 'C00311', '30887', '151']	['C00311', 'C00451', '30887', '151', '24885', '16087']	MNXM162	['CHEBI:151', 'chebi:151', 'hmdb:HMDB0001874', 'metacyc.compound:THREO-DS-ISO-CITRATE', 'metacycM:THREO-DS-ISO-CITRATE', 'reactome:R-ALL-29938', 'reactome:R-ALL-389545', 'reactome:R-ALL-389548', 'reactomeM:R-ALL-29938', 'reactomeM:R-ALL-389545', 'reactomeM:R-ALL-389548', 'seed.compound:cpd00353', 'seedM:cpd00353']	isocitric acid	['C00311', '24885', '16087', '30887', 'C00451', '151']	['151', 'THREO-DS-ISO-CITRATE']
isocitric acid	['30887', 'C00311', '16087']	['24885', 'C00451', 'C00311', '30887', '151']	['C00311', 'C00451', '30887', '151', '24885', '16087']	MNXM507486	['seed.compound:cpd29663', 'seedM:cpd29663']	isocitric acid	['C00311', '24885', '16087', '30887', 'C00451', '151']	[]
isocitric acid	['30887', 'C00311', '16087']	['24885', 'C00451', 'C00311', '30887', '151']	['C00311', 'C00451', '30887', '151', '24885', '16087']	MNXM527751	['hmdb:HMDB0033717']	isocitric acid	['C00311', '24885', '16087', '30887', 'C00451', '151']	[]
isocitric acid	['30887', 'C00311', '16087']	['24885', 'C00451', 'C00311', '30887', '151']	['C00311', 'C00451', '30887', '151', '24885', '16087']	MNXM89661	['CHEBI:30887', 'chebi:30887', 'hmdb:HMDB0000193', 'kegg.compound:C00311', 'keggC:C00311', 'sabiork.compound:2013', 'sabiorkM:2013', 'seed.compound:cpd00260', 'seedM:cpd00260']	isocitric acid	['C00311', '24885', '16087', '30887', 'C00451', '151']	['C00311', '30887']
5alpha-cholesta-8,24-dien-3-one	['C22136', '52386']	['52386', 'C22136']	['C22136', '52386']	MNXM38313	['hmdb:HMDB0001093']	5alpha-cholesta-8,24-dien-3-one	['52386', 'C22136']	[]
5alpha-cholesta-8,24-dien-3-one	['C22136', '52386']	['52386', 'C22136']	['C22136', '52386']	MNXM733491	['CHEBI:52386', 'bigg.metabolite:M01067', 'biggM:M01067', 'chebi:52386', 'kegg.compound:C22136', 'keggC:C22136', 'lipidmaps:LMST01010168', 'lipidmapsM:LMST01010168', 'metacyc.compound:CPD-4581', 'metacycM:CPD-4581', 'reactome:R-ALL-194661', 'reactomeM:R-ALL-194661', 'seed.compound:cpd24507', 'seedM:cpd24507']	5alpha-cholesta-8,24-dien-3-one	['52386', 'C22136']	['CPD-4581', '52386', 'C22136']
2'-deoxyguanosine 5'-monophosphate	['C00362', '16192']	['C00362', '16192']	['C00362', '16192']	MNXM736654	['CHEBI:16192', 'chebi:16192', 'hmdb:HMDB0001044', 'kegg.compound:C00362', 'keggC:C00362', 'metacyc.compound:DGMP', 'metacycM:DGMP', 'reactome:R-ALL-109327', 'reactome:R-ALL-109730', 'reactomeM:R-ALL-109327', 'reactomeM:R-ALL-109730', 'sabiork.compound:64', 'sabiorkM:64', 'seed.compound:cpd00296', 'seedM:cpd00296']	2'-deoxyguanosine 5'-monophosphate	['16192', 'C00362']	['16192', 'C00362', 'DGMP']
d-3-hydroxydodecanoyl-[acyl-carrier protein]	['325', 'C05757']	['325', 'C05757']	['325', 'C05757']	MNXM733305	['CHEBI:325', 'chebi:325', 'kegg.compound:C05757', 'keggC:C05757']	d-3-hydroxydodecanoyl-[acyl-carrier protein]	['C05757', '325']	['C05757', '325']
d-3-hydroxydodecanoyl-[acyl-carrier protein]	['325', 'C05757']	['325', 'C05757']	['325', 'C05757']	MNXM733306	['seed.compound:cpd11480', 'seedM:cpd11480']	d-3-hydroxydodecanoyl-[acyl-carrier protein]	['C05757', '325']	[]
proton	['24636']	['C00080', '24636']	['24636', 'C00080']	MNXM1	['CHEBI:24636', 'chebi:24636', 'hmdb:HMDB0059597', 'metacyc.compound:PROTON', 'metacycM:PROTON', 'seed.compound:cpd00067', 'seedM:cpd00067']	proton	['C00080', '24636']	['PROTON', '24636']
