	ID	source	name
0	BIOMASS	['BIOMASS', 'mnx:BIOMASS', 'seed.compound:cpd11416', 'seedM:M_cpd11416', 'seedM:cpd11416']	['biomass', 'biomass', 'biomass', 'biomass', 'biomass']
1	MNXM10	['CHEBI:16908', 'CHEBI:57945', 'bigg.metabolite:nadh', 'biggM:M_nadh', 'biggM:nadh', 'chebi:13395', 'chebi:13396', 'chebi:16908', 'chebi:21902', 'chebi:44216', 'chebi:57945', 'chebi:7423', 'hmdb:HMDB0001487', 'hmdb:HMDB01487', 'kegg.compound:C00004', 'keggC:C00004', 'keggC:M_C00004', 'metacyc.compound:NADH', 'metacycM:NADH', 'reactome:R-ALL-192305', 'reactome:R-ALL-194697', 'reactome:R-ALL-29362', 'reactome:R-ALL-73473', 'reactomeM:R-ALL-192305', 'reactomeM:R-ALL-194697', 'reactomeM:R-ALL-29362', 'reactomeM:R-ALL-73473', 'sabiork.compound:38', 'sabiorkM:38', 'seed.compound:cpd00004', 'seedM:M_cpd00004', 'seedM:cpd00004']	['nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh', 'nadh']
2	MNXM1091242	['rheaG:9631']	['(2e)-hexenoyl-[acp]']
3	MNXM1091246	['rheaG:9635']	['(2e)-octenoyl-[acp]']
4	MNXM1091250	['rheaG:9639']	['(2e)-decenoyl-[acp]']
5	MNXM1091254	['rheaG:9643']	['(2e)-dodecenoyl-[acp]']
6	MNXM1091257	['rheaG:9647']	['(2e)-tetradecenoyl-[acp]']
7	MNXM1091261	['rheaG:9651']	['(2e)-hexadecenoyl-[acp]']
8	MNXM1091725	['CHEBI:16769', 'CHEBI:30882', 'bigg.metabolite:2ogm', 'bigg.metabolite:HC00591', 'biggM:2ogm', 'biggM:HC00591', 'biggM:M_2ogm', 'biggM:M_HC00591', 'chebi:11637', 'chebi:1252', 'chebi:16769', 'chebi:19746', 'chebi:19747', 'chebi:30882', 'hmdb:HMDB0001552', 'hmdb:HMDB01552', 'kegg.compound:C00940', 'keggC:C00940', 'keggC:M_C00940', 'metacyc.compound:2-KETO-GLUTARAMATE', 'metacycM:2-KETO-GLUTARAMATE', 'reactome:R-ALL-893598', 'reactomeM:R-ALL-893598', 'sabiork.compound:2193', 'sabiorkM:2193', 'seed.compound:cpd00695', 'seedM:M_cpd00695', 'seedM:cpd00695']	['2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate', '2-oxoglutaramate']
9	MNXM1092032	['bigg.metabolite:ACP_2', 'biggM:ACP_2', 'biggM:M_ACP_2']	['acyl carrier protein', 'acyl carrier protein', 'acyl carrier protein']
10	MNXM1092228	['bigg.metabolite:M00955', 'biggM:M00955', 'biggM:M_M00955']	[""4'-carboxy-5'-cholesta-8,24-dien-3'-ol"", ""4'-carboxy-5'-cholesta-8,24-dien-3'-ol"", ""4'-carboxy-5'-cholesta-8,24-dien-3'-ol""]
11	MNXM1092230	['bigg.metabolite:M00957', 'biggM:M00957', 'biggM:M_M00957']	[""4'-formyl-4'-methyl-5'-cholesta-8,24-dien-3'-ol"", ""4'-formyl-4'-methyl-5'-cholesta-8,24-dien-3'-ol"", ""4'-formyl-4'-methyl-5'-cholesta-8,24-dien-3'-ol""]
12	MNXM1092232	['bigg.metabolite:M00959', 'biggM:M00959', 'biggM:M_M00959']	[""4'-formyl-5'-cholesta-8,24-dien-3'-ol"", ""4'-formyl-5'-cholesta-8,24-dien-3'-ol"", ""4'-formyl-5'-cholesta-8,24-dien-3'-ol""]
13	MNXM1092233	['bigg.metabolite:M00961', 'biggM:M00961', 'biggM:M_M00961']	[""4'-hydroxymethyl-4'-methyl-5'-cholesta-8,24-dien-3'-ol"", ""4'-hydroxymethyl-4'-methyl-5'-cholesta-8,24-dien-3'-ol"", ""4'-hydroxymethyl-4'-methyl-5'-cholesta-8,24-dien-3'-ol""]
14	MNXM1092235	['bigg.metabolite:M00963', 'biggM:M00963', 'biggM:M_M00963']	[""4'-hydroxymethyl-5'-cholesta-8,24-dien-3'-ol"", ""4'-hydroxymethyl-5'-cholesta-8,24-dien-3'-ol"", ""4'-hydroxymethyl-5'-cholesta-8,24-dien-3'-ol""]
