Name	Identifiers_fuzzy	Identifiers_classic	Identifiers	ID	source	name	fuzzy	metaNet
keratan sulfate i, degradation product 35	[]	[]	[]	MNXM8801	['bigg.metabolite:ksi_deg35', 'biggM:M_ksi_deg35', 'biggM:ksi_deg35']	keratan sulfate i, degradation product 35	[]	[]
1-pyrroline-5-carboxylate	['C03912', '|CPD-15303|', '371', '17388', '|L-DELTA1-PYRROLINE_5-CARBOXYLATE|', '58667']	['371', 'C03912', '1372', 'C04322', '15893']	['15893', '1372', 'C03912', '|CPD-15303|', 'C04322', '371', '17388', '|L-DELTA1-PYRROLINE_5-CARBOXYLATE|', '58667']	MNXM1617	['CHEBI:15893', 'CHEBI:371', 'bigg.metabolite:1pyr5c', 'biggM:1pyr5c', 'chebi:15893', 'chebi:371', 'hmdb:HMDB0001301', 'kegg.compound:C03912', 'keggC:C03912', 'metacyc.compound:L-DELTA1-PYRROLINE_5-CARBOXYLATE', 'metacycM:L-DELTA1-PYRROLINE_5-CARBOXYLATE', 'sabiork.compound:7234', 'sabiorkM:7234', 'seed.compound:cpd02431', 'seed.compound:cpd29655', 'seedM:cpd02431', 'seedM:cpd29655']	1-pyrroline-5-carboxylate	['CPD-15303', '17388', '371', 'C03912', '58667', '15893', '1372', 'C04322', 'L-DELTA1-PYRROLINE_5-CARBOXYLATE']	['L-DELTA1-PYRROLINE_5-CARBOXYLATE', '371', '15893', 'C03912']
cholic acid-24glucuronide, ca-24g	[]	[]	[]	MNXM1092638	['bigg.metabolite:ca24g', 'biggM:M_ca24g', 'biggM:ca24g']	cholic acid-24glucuronide, ca-24g	[]	[]
lysyl-cysteinyl-histidine	[]	['159838']	['159838']	MNXM744782	['bigg.metabolite:lyscyshis', 'biggM:M_lyscyshis', 'biggM:lyscyshis']	lysyl-cysteinyl-histidine	['159838']	[]
5-formamido-1-(5-phospho-d-ribosyl)imidazole-4-carboxamide	['18381', 'C04734', '|PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE|', '58467']	['C04734', '58467', '18381']	['58467', '18381', '|PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE|', 'C04734']	MNXM1104518	['bigg.metabolite:fprica', 'biggM:M_fprica', 'biggM:fprica']	5-formamido-1-(5-phospho-d-ribosyl)imidazole-4-carboxamide	['C04734', 'PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE', '58467', '18381']	[]
5-formamido-1-(5-phospho-d-ribosyl)imidazole-4-carboxamide	['18381', 'C04734', '|PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE|', '58467']	['C04734', '58467', '18381']	['58467', '18381', '|PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE|', 'C04734']	MNXM1104519	['CHEBI:18381', 'CHEBI:58467', 'chebi:12125', 'chebi:18381', 'chebi:18967', 'chebi:574', 'chebi:58467', 'hmdb:HMDB0001439', 'hmdb:HMDB01439', 'kegg.compound:C04734', 'keggC:C04734', 'keggC:M_C04734', 'metacyc.compound:PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE', 'metacycM:PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE', 'reactome:R-ALL-111427', 'reactomeM:R-ALL-111427', 'sabiork.compound:1892', 'sabiorkM:1892', 'seed.compound:cpd02884', 'seedM:M_cpd02884', 'seedM:cpd02884']	5-formamido-1-(5-phospho-d-ribosyl)imidazole-4-carboxamide	['C04734', 'PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE', '58467', '18381']	['C04734', 'PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE', '18967', '58467', '12125', '574', '18381']
2(r),6-dimethyl-heptanoyl coenzyme a	['86982', '87181']	['86982']	['86982', '87181']	MNXM34616	['bigg.metabolite:CE4797', 'biggM:CE4797']	2(r),6-dimethyl-heptanoyl coenzyme a	['86982', '87181']	[]
s-(2-chloroacetyl)glutathione	['C14864', '34959']	['C14864', '34959']	['C14864', '34959']	MNXM1101889	['CHEBI:34959', 'chebi:34959', 'kegg.compound:C14864', 'keggC:C14864', 'keggC:M_C14864', 'seed.compound:cpd10561', 'seedM:M_cpd10561', 'seedM:cpd10561']	s-(2-chloroacetyl)glutathione	['C14864', '34959']	['C14864', '34959']
s-(2-chloroacetyl)glutathione	['C14864', '34959']	['C14864', '34959']	['C14864', '34959']	MNXM1101890	['hmdb:HMDB0060505', 'hmdb:HMDB60505']	s-(2-chloroacetyl)glutathione	['C14864', '34959']	[]
5beta-cholestan-3alpha,7alpha,12alpha,24(s)-tetrol	['63834']	['63834']	['63834']	MNXM744561	['bigg.metabolite:M01077', 'biggM:M01077', 'biggM:M_M01077']	5beta-cholestan-3alpha,7alpha,12alpha,24(s)-tetrol	['63834']	[]
7z-hexadecenoic acid	['35465']	['82730']	['35465', '82730']	MNXM149560	['bigg.metabolite:M01197', 'biggM:M01197', 'biggM:M_M01197', 'hmdb:HMDB0031053', 'hmdb:HMDB31053', 'lipidmaps:LMFA01031082', 'lipidmapsM:LMFA01031082']	7z-hexadecenoic acid	['82730', '35465']	[]
heparan sulfate, degradation product 9	[]	[]	[]	MNXM11777	['bigg.metabolite:hs_deg9', 'biggM:M_hs_deg9', 'biggM:hs_deg9']	heparan sulfate, degradation product 9	[]	[]
docosanedioicacid	['76319']	['76319', 'CPD-13101', '76299', 'C19625']	['CPD-13101', '76299', '76319', 'C19625']	MNXM11428	['bigg.metabolite:docosdiac', 'biggM:docosdiac']	docosanedioicacid	['CPD-13101', '76319', '76299', 'C19625']	[]
peptidyl-l-lysyl-peptide	['17018']	['17018']	['17018']	MNXM741260	['sabiork.compound:6687', 'sabiorkM:6687']	peptidyl-l-lysyl-peptide	['17018']	[]
peptidyl-l-lysyl-peptide	['17018']	['17018']	['17018']	MNXM741261	['seed.compound:cpd12340', 'seedM:M_cpd12340', 'seedM:cpd12340']	peptidyl-l-lysyl-peptide	['17018']	[]
peptidyl-l-lysyl-peptide	['17018']	['17018']	['17018']	MNXM741262	['CHEBI:17018', 'chebi:14764', 'chebi:17018', 'chebi:8012']	peptidyl-l-lysyl-peptide	['17018']	['17018', '14764', '8012']
(alpha-d-mannosyl)6-beta-d-mannosyl-diacetylchitobiosyl-l-asparagine (protein)	[]	[]	[]	MNXM6537	['bigg.metabolite:m6masnC', 'biggM:M_m6masnC', 'biggM:m6masnC']	(alpha-d-mannosyl)6-beta-d-mannosyl-diacetylchitobiosyl-l-asparagine (protein)	[]	[]
(alpha-d-mannosyl)6-beta-d-mannosyl-diacetylchitobiosyl-l-asparagine (protein)	[]	[]	[]	MNXM6538	['bigg.metabolite:m6masnB2', 'biggM:M_m6masnB2', 'biggM:m6masnB2']	(alpha-d-mannosyl)6-beta-d-mannosyl-diacetylchitobiosyl-l-asparagine (protein)	[]	[]
(alpha-d-mannosyl)6-beta-d-mannosyl-diacetylchitobiosyl-l-asparagine (protein)	[]	[]	[]	MNXM9450	['bigg.metabolite:m6masnB1', 'biggM:M_m6masnB1', 'biggM:m6masnB1']	(alpha-d-mannosyl)6-beta-d-mannosyl-diacetylchitobiosyl-l-asparagine (protein)	[]	[]
(alpha-d-mannosyl)6-beta-d-mannosyl-diacetylchitobiosyl-l-asparagine (protein)	[]	[]	[]	MNXM9451	['bigg.metabolite:m6masnA', 'biggM:M_m6masnA', 'biggM:m6masnA']	(alpha-d-mannosyl)6-beta-d-mannosyl-diacetylchitobiosyl-l-asparagine (protein)	[]	[]
hexadecenoyl ethanolamide, c16:1-ethanolamide (delta 9)	[]	['71464', 'C16512']	['C16512', '71464']	MNXM107548	['bigg.metabolite:hexdeceeth', 'biggM:hexdeceeth']	hexadecenoyl ethanolamide, c16:1-ethanolamide (delta 9)	['C16512', '71464']	[]
acetaminophen glucuronide	['32636']	['32636']	['32636']	MNXM744596	['bigg.metabolite:acmpglu', 'biggM:M_acmpglu', 'biggM:acmpglu']	acetaminophen glucuronide	['32636']	[]
10-peroxy-docosahexaenoate	[]	[]	[]	MNXM727335	['hmdb:HMDB0062277']	10-peroxy-docosahexaenoate	[]	[]
glycogen, structure 5 (glycogenin-2[1,4-glc])	[]	[]	[]	MNXM11717	['bigg.metabolite:glygn5', 'biggM:M_glygn5', 'biggM:glygn5']	glycogen, structure 5 (glycogenin-2[1,4-glc])	[]	[]
intermediate density lipoprotein	['132933']	['132933']	['132933']	MNXM1093229	['bigg.metabolite:idl_hs', 'biggM:M_idl_hs', 'biggM:idl_hs']	intermediate density lipoprotein	['132933']	[]
l-glutaminyl-peptide	['C02986', '16127']	['C02986', '16127']	['C02986', '16127']	MNXM729169	['kegg.compound:C02986', 'keggC:C02986', 'keggC:M_C02986']	l-glutaminyl-peptide	['C02986', '16127']	['C02986']
l-glutaminyl-peptide	['C02986', '16127']	['C02986', '16127']	['C02986', '16127']	MNXM729171	['seed.compound:cpd01913', 'seedM:M_cpd01913', 'seedM:cpd01913']	l-glutaminyl-peptide	['C02986', '16127']	[]
l-glutaminyl-peptide	['C02986', '16127']	['C02986', '16127']	['C02986', '16127']	MNXM729172	['CHEBI:16127', 'chebi:13111', 'chebi:16127', 'chebi:6228']	l-glutaminyl-peptide	['C02986', '16127']	['13111', '6228', '16127']
seryl-arginyl-tryptophan	[]	['162892']	['162892']	MNXM744878	['bigg.metabolite:serargtrp', 'biggM:M_serargtrp', 'biggM:serargtrp']	seryl-arginyl-tryptophan	['162892']	[]
n-nitrosomethanamine	['C19568', '82565']	['82565', 'C19568']	['C19568', '82565']	MNXM12406	['CHEBI:82565', 'chebi:82565', 'hmdb:HMDB0062508', 'hmdb:HMDB62508', 'kegg.compound:C19568', 'kegg.compound:C20306', 'keggC:C19568', 'keggC:C20306', 'keggC:M_C19568', 'keggC:M_C20306', 'sabiork.compound:29607', 'sabiorkM:29607', 'seed.compound:cpd20822', 'seedM:M_cpd20822', 'seedM:cpd20822']	n-nitrosomethanamine	['82565', 'C19568']	['82565', 'C19568', 'C20306']
thiomethyl-sulphoxide-acetaminophen-glucuronide	[]	[]	[]	MNXM744955	['bigg.metabolite:tsacmgluc', 'biggM:M_tsacmgluc', 'biggM:tsacmgluc']	thiomethyl-sulphoxide-acetaminophen-glucuronide	[]	[]
13,14-epoxy-retinol	[]	[]	[]	MNXM164058	['bigg.metabolite:CE5932', 'biggM:CE5932', 'biggM:M_CE5932']	13,14-epoxy-retinol	[]	[]
cis2trans4decadienoyl coenzyme a	[]	['137593', 'CPD-15654', '62409', '62244', '29119']	['CPD-15654', '62244', '29119', '137593', '62409']	MNXM744672	['bigg.metabolite:ctdecdcoa', 'biggM:M_ctdecdcoa', 'biggM:ctdecdcoa']	cis2trans4decadienoyl coenzyme a	['CPD-15654', '62409', '137593', '29119', '62244']	[]
3-oxo-10(s)-hydroxy-octadeca-6e,8e,12z-trienoate	[]	[]	[]	MNXM728925	['bigg.metabolite:CE5319', 'biggM:CE5319', 'biggM:M_CE5319', 'hmdb:HMDB0062359', 'hmdb:HMDB62359']	3-oxo-10(s)-hydroxy-octadeca-6e,8e,12z-trienoate	[]	[]
dehydrodolichol diphosphate, human liver homolog	[]	['C16689', '81086', '53048', 'C04217', '16818', 'C17435', '57907']	['C17435', '16818', '53048', 'C16689', 'C04217', '81086', '57907']	MNXM148197	['bigg.metabolite:dedoldp__L', 'biggM:M_dedoldp__L', 'biggM:dedoldp__L']	dehydrodolichol diphosphate, human liver homolog	['53048', '81086', 'C16689', '57907', 'C04217', '16818', 'C17435']	[]
