	ID	source	name
0	BIOMASS	['BIOMASS', 'mnx:BIOMASS', 'seed.compound:cpd11416', 'seedM:M_cpd11416', 'seedM:cpd11416']	biomass
1	MNXM10073	['CHEBI:133668', 'CHEBI:82913', 'bigg.metabolite:CE2176', 'biggM:CE2176', 'biggM:M_CE2176', 'chebi:133668', 'chebi:82913', 'hmdb:HMDB0001434', 'hmdb:HMDB0005881', 'hmdb:HMDB0060747', 'hmdb:HMDB01434', 'hmdb:HMDB05881', 'hmdb:HMDB60747', 'metacyc.compound:CPD-11496', 'metacycM:CPD-11496', 'seed.compound:cpd22970', 'seedM:M_cpd22970', 'seedM:cpd22970']	3-o-methyldopa
2	MNXM10159	['CHEBI:82562', 'chebi:82562', 'hmdb:HMDB0062376', 'hmdb:HMDB62376', 'kegg.compound:C19564', 'keggC:C19564', 'keggC:M_C19564', 'seed.compound:cpd20818', 'seedM:M_cpd20818', 'seedM:cpd20818']	4-(nitrosoamino)-1-(3-pyridinyl)-1-butanone
3	MNXM10162	['CHEBI:82561', 'chebi:82561', 'hmdb:HMDB0062382', 'hmdb:HMDB62382', 'kegg.compound:C19563', 'keggC:C19563', 'keggC:M_C19563', 'seed.compound:cpd20817', 'seedM:M_cpd20817', 'seedM:cpd20817']	4-[(hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone
4	MNXM10173	['CHEBI:34387', 'chebi:34387', 'hmdb:HMDB0062395', 'hmdb:HMDB62395', 'kegg.compound:C14846', 'keggC:C14846', 'keggC:M_C14846', 'seed.compound:cpd10543', 'seedM:M_cpd10543', 'seedM:cpd10543']	4-bromo-3,5-cyclohexadiene-1,2-dione
5	MNXM10188	['CHEBI:82563', 'chebi:82563', 'hmdb:HMDB0062402', 'hmdb:HMDB62402', 'kegg.compound:C19565', 'keggC:C19565', 'keggC:M_C19565', 'seed.compound:cpd20819', 'seedM:M_cpd20819', 'seedM:cpd20819']	4-hydroxy-1-(3-pyridinyl)-1-butanone
6	MNXM10190	['CHEBI:82564', 'chebi:82564', 'hmdb:HMDB0062404', 'hmdb:HMDB62404', 'kegg.compound:C19566', 'keggC:C19566', 'keggC:M_C19566', 'seed.compound:cpd20820', 'seedM:M_cpd20820', 'seedM:cpd20820']	4-hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone
7	MNXM1021	['CHEBI:17859', 'CHEBI:24329', 'CHEBI:30921', 'CHEBI:35907', 'SLM:000389477', 'bigg.metabolite:glutar', 'biggM:M_glutar', 'biggM:glutar', 'chebi:14322', 'chebi:17859', 'chebi:24327', 'chebi:24329', 'chebi:24330', 'chebi:30921', 'chebi:30922', 'chebi:35906', 'chebi:35907', 'chebi:43097', 'chebi:5434', 'envipath:5882df9c-dae1-4d80-a40e-db4724271456/compound/be5d9659-482e-4ea5-b17e-fc2b0ffccc58', 'envipathM:5882df9c-dae1-4d80-a40e-db4724271456/compound/be5d9659-482e-4ea5-b17e-fc2b0ffccc58', 'hmdb:HMDB0000661', 'hmdb:HMDB00661', 'kegg.compound:C00489', 'keggC:C00489', 'keggC:M_C00489', 'metacyc.compound:GLUTARATE', 'metacycM:GLUTARATE', 'sabiork.compound:2058', 'sabiorkM:2058', 'seed.compound:cpd00379', 'seedM:M_cpd00379', 'seedM:cpd00379', 'slm:000389477']	glutarate
8	MNXM10286	['CHEBI:82572', 'chebi:82572', 'hmdb:HMDB0062407', 'hmdb:HMDB62407', 'kegg.compound:C19578', 'keggC:C19578', 'keggC:M_C19578', 'seed.compound:cpd20832', 'seedM:M_cpd20832', 'seedM:cpd20832']	5-(3-pyridyl)-2-hydroxytetrahydrofuran
9	MNXM10395	['CHEBI:82590', 'chebi:82590', 'hmdb:HMDB0060422', 'hmdb:HMDB60422', 'kegg.compound:C19604', 'keggC:C19604', 'keggC:M_C19604', 'seed.compound:cpd20857', 'seedM:M_cpd20857', 'seedM:cpd20857']	7,12-dimethylbenz[a]anthracene 5,6-oxide
10	MNXM10421	['CHEBI:82559', 'chebi:82559', 'hmdb:HMDB0060419', 'hmdb:HMDB60419', 'kegg.compound:C19561', 'keggC:C19561', 'keggC:M_C19561', 'seed.compound:cpd20815', 'seedM:M_cpd20815', 'seedM:cpd20815']	7-hydroxymethyl-12-methylbenz[a]anthracene
11	MNXM10473	['CHEBI:34513', 'chebi:34513', 'hmdb:HMDB0062439', 'hmdb:HMDB62439', 'kegg.compound:C14854', 'keggC:C14854', 'keggC:M_C14854', 'seed.compound:cpd10551', 'seedM:M_cpd10551', 'seedM:cpd10551']	9-hydroxybenzo[a]pyrene-4,5-oxide
12	MNXM105	['CHEBI:15903', 'bigg.metabolite:glc_D_B', 'bigg.metabolite:glc__bD', 'biggM:M_glc_D_B', 'biggM:M_glc__bD', 'biggM:glc_D_B', 'biggM:glc__bD', 'chebi:10397', 'chebi:12373', 'chebi:15903', 'chebi:22795', 'chebi:41140', 'hmdb:HMDB0000516', 'hmdb:HMDB0003340', 'hmdb:HMDB00516', 'hmdb:HMDB03340', 'kegg.compound:C00221', 'keggC:C00221', 'keggC:M_C00221', 'metacyc.compound:GLC', 'metacycM:GLC', 'sabiork.compound:1378', 'sabiorkM:1378', 'seed.compound:cpd00190', 'seedM:M_cpd00190', 'seedM:cpd00190']	beta-d-glucose
13	MNXM1057	['CHEBI:50157', 'bigg.metabolite:5hoxindact', 'biggM:5hoxindact', 'biggM:M_5hoxindact', 'chebi:20583', 'chebi:2070', 'chebi:50157', 'hmdb:HMDB0004073', 'hmdb:HMDB04073', 'kegg.compound:C05634', 'keggC:C05634', 'keggC:M_C05634', 'metacyc.compound:5-HYDROXYINDOLE_ACETALDEHYDE', 'metacycM:5-HYDROXYINDOLE_ACETALDEHYDE', 'reactome:R-ALL-380598', 'reactome:R-ALL-500604', 'reactomeM:R-ALL-380598', 'reactomeM:R-ALL-500604', 'sabiork.compound:8021', 'sabiorkM:8021', 'seed.compound:cpd03345', 'seedM:M_cpd03345', 'seedM:cpd03345']	(5-hydroxyindol-3-yl)acetaldehyde
14	MNXM10605	['CHEBI:78576', 'chebi:78576', 'hmdb:HMDB0030479', 'hmdb:HMDB30479', 'kegg.compound:C16756', 'keggC:C16756', 'keggC:M_C16756', 'reactome:R-ALL-5423629', 'reactomeM:R-ALL-5423629', 'seed.compound:cpd16553', 'seedM:M_cpd16553', 'seedM:cpd16553']	aflatoxin m1
15	MNXM10642	['CHEBI:82583', 'chebi:82583', 'hmdb:HMDB0062442', 'hmdb:HMDB62442', 'kegg.compound:C19592', 'keggC:C19592', 'keggC:M_C19592', 'seed.compound:cpd20846', 'seedM:M_cpd20846', 'seedM:cpd20846']	alpha-(1,2-dihydroxyethyl)-1,2,3,4-tetrahydro-7-hydroxy-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-acetaldehyde
16	MNXM10644	['CHEBI:82575', 'chebi:82575', 'hmdb:HMDB0062443', 'hmdb:HMDB62443', 'kegg.compound:C19581', 'keggC:C19581', 'keggC:M_C19581', 'seed.compound:cpd20835', 'seedM:M_cpd20835', 'seedM:cpd20835']	alpha-[3-(nitrosoamino)propyl]-3-pyridinemethanol
17	MNXM10645	['CHEBI:82574', 'chebi:82574', 'hmdb:HMDB0062444', 'hmdb:HMDB62444', 'kegg.compound:C19580', 'keggC:C19580', 'keggC:M_C19580', 'seed.compound:cpd20834', 'seedM:M_cpd20834', 'seedM:cpd20834']	alpha-[3-[(hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol
18	MNXM10654	['bigg.metabolite:g1m8mpdol_U', 'biggM:M_g1m8mpdol_U', 'biggM:g1m8mpdol_U']	alpha-d-glucosyl-(alpha-d-mannosyl)8-beta-d-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog
19	MNXM10684	['CHEBI:33270', 'bigg.metabolite:avite2', 'biggM:M_avite2', 'biggM:avite2', 'chebi:33270', 'chebi:35062', 'hmdb:HMDB0006327', 'hmdb:HMDB06327', 'kegg.compound:C14153', 'keggC:C14153', 'keggC:M_C14153', 'lipidmaps:LMPR02020054', 'lipidmapsM:LMPR02020054', 'metacyc.compound:CPD-15836', 'metacycM:CPD-15836', 'seed.compound:cpd09852', 'seedM:M_cpd09852', 'seedM:cpd09852']	alpha-tocotrienol
20	MNXM107	['CHEBI:16301', 'CHEBI:25567', 'bigg.metabolite:no2', 'biggM:M_no2', 'biggM:no2', 'chebi:14658', 'chebi:16301', 'chebi:25567', 'chebi:44396', 'chebi:7585', 'envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/84af9b8c-5f58-4093-85cb-964ba8ed40b7', 'envipathM:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/84af9b8c-5f58-4093-85cb-964ba8ed40b7', 'hmdb:HMDB0002786', 'hmdb:HMDB02786', 'kegg.compound:C00088', 'keggC:C00088', 'keggC:M_C00088', 'metacyc.compound:NITRITE', 'metacycM:NITRITE', 'reactome:R-ALL-1222379', 'reactome:R-ALL-3697842', 'reactomeM:R-ALL-1222379', 'reactomeM:R-ALL-3697842', 'sabiork.compound:3058', 'sabiorkM:3058', 'seed.compound:cpd00075', 'seedM:M_cpd00075', 'seedM:cpd00075']	nitrite
21	MNXM10720	['CHEBI:31225', 'bigg.metabolite:antipyrene', 'biggM:M_antipyrene', 'biggM:antipyrene', 'chebi:31225', 'envipath:650babc9-9d68-4b73-9332-11972ca26f7b/compound/fbaff7a8-d203-42f0-8407-12eb4859669e', 'envipathM:650babc9-9d68-4b73-9332-11972ca26f7b/compound/fbaff7a8-d203-42f0-8407-12eb4859669e', 'hmdb:HMDB0015503', 'hmdb:HMDB15503', 'kegg.compound:C13244', 'kegg.drug:D01776', 'keggC:C13244', 'keggC:M_C13244', 'keggD:D01776', 'keggD:M_D01776', 'seed.compound:cpd19134', 'seedM:M_cpd19134', 'seedM:cpd19134']	antipyrine
22	MNXM10834	['CHEBI:34586', 'chebi:34586', 'hmdb:HMDB0060445', 'hmdb:HMDB60445', 'kegg.compound:C14842', 'keggC:C14842', 'keggC:M_C14842', 'seed.compound:cpd10539', 'seedM:M_cpd10539', 'seedM:cpd10539']	bromobenzene-2,3-dihydrodiol
23	MNXM10864	['bigg.metabolite:cca_d3', 'biggM:M_cca_d3', 'biggM:cca_d3']	calcitroic acid (d3)
24	MNXM1088948	['rheaP:9517']	dolichyl phosphate
25	MNXM1089002	['bigg.metabolite:CE5101', 'biggM:CE5101', 'biggM:M_CE5101']	1-phosphatidyl-1d-myo-inositol 5-phosphate
26	MNXM1089003	['bigg.metabolite:HC02050', 'biggM:HC02050', 'biggM:M_HC02050']	phosphatidate-ld-pc-pool
27	MNXM1089004	['bigg.metabolite:HC02051', 'biggM:HC02051', 'biggM:M_HC02051']	phosphatidate-ld-pe-pool
28	MNXM1089005	['bigg.metabolite:HC02054', 'biggM:HC02054', 'biggM:M_HC02054']	phosphatidate-ld-sm-pool
29	MNXM1089006	['bigg.metabolite:HC02056', 'biggM:HC02056', 'biggM:M_HC02056']	1,2-diacylglycerol-ld-pc-pool
30	MNXM1089007	['bigg.metabolite:HC02057', 'biggM:HC02057', 'biggM:M_HC02057']	1,2-diacylglycerol-ld-pe-pool
31	MNXM1089008	['bigg.metabolite:HC02060', 'biggM:HC02060', 'biggM:M_HC02060']	1,2-diacylglycerol-ld-sm-pool
32	MNXM1089009	['bigg.metabolite:HC02070', 'biggM:HC02070', 'biggM:M_HC02070']	fatty-acid-ld-sm-pool
33	MNXM1089010	['bigg.metabolite:HC02076', 'biggM:HC02076', 'biggM:M_HC02076']	1-acylglycerol-ld-sm-pool
34	MNXM1089011	['bigg.metabolite:M00213', 'biggM:M00213', 'biggM:M_M00213']	protein n6-methyl-l-lysine
35	MNXM1089012	['bigg.metabolite:M00234', 'biggM:M00234', 'biggM:M_M00234']	1,2-diacylglycerol-chylomicron-pool
36	MNXM1089013	['bigg.metabolite:M00503', 'biggM:M00503', 'biggM:M_M00503']	monoacylglycerol-chylomicron-pool
37	MNXM1089014	['bigg.metabolite:M00510', 'biggM:M00510', 'biggM:M_M00510']	1-acylglycerol-vldl-pool
38	MNXM1089015	['bigg.metabolite:M01820', 'biggM:M01820', 'biggM:M_M01820']	fatty-acid-vldl-pool
39	MNXM1089016	['bigg.metabolite:M02195', 'biggM:M02195', 'biggM:M_M02195']	fuc-alpha1->2gal-beta1->3glcnac-beta1->3gal-beta1->4glc-beta1-1'cer
40	MNXM1089017	['bigg.metabolite:M02683', 'biggM:M02683', 'biggM:M_M02683']	paragloboside
