	ID	source	name
0	BIOMASS	['BIOMASS', 'mnx:BIOMASS', 'seed.compound:cpd11416', 'seedM:M_cpd11416', 'seedM:cpd11416']	biomass
1	MNXM10	['CHEBI:16908', 'CHEBI:57945', 'bigg.metabolite:nadh', 'biggM:M_nadh', 'biggM:nadh', 'chebi:13395', 'chebi:13396', 'chebi:16908', 'chebi:21902', 'chebi:44216', 'chebi:57945', 'chebi:7423', 'hmdb:HMDB0001487', 'hmdb:HMDB01487', 'kegg.compound:C00004', 'keggC:C00004', 'keggC:M_C00004', 'metacyc.compound:NADH', 'metacycM:NADH', 'reactome:R-ALL-192305', 'reactome:R-ALL-194697', 'reactome:R-ALL-29362', 'reactome:R-ALL-73473', 'reactomeM:R-ALL-192305', 'reactomeM:R-ALL-194697', 'reactomeM:R-ALL-29362', 'reactomeM:R-ALL-73473', 'sabiork.compound:38', 'sabiorkM:38', 'seed.compound:cpd00004', 'seedM:M_cpd00004', 'seedM:cpd00004']	nadh
2	MNXM10021	['seed.compound:cpd16853', 'seedM:M_cpd16853', 'seedM:cpd16853']	3-hydroxybutanoyl-acp
3	MNXM10029	['seed.compound:cpd16856', 'seedM:M_cpd16856', 'seedM:cpd16856']	3-hydroxyhexanoyl-acp
4	MNXM10033	['seed.compound:cpd16857', 'seedM:M_cpd16857', 'seedM:cpd16857']	3-hydroxyoctanoyl-acp
5	MNXM10287	['seed.compound:cpd16791', 'seedM:M_cpd16791', 'seedM:cpd16791']	5-[(5-phospho-1-deoxy-d-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-d-ribosyl)imidazole-4-carboxamide
6	MNXM1043	['CHEBI:27689', 'CHEBI:30813', 'SLM:000000855', 'bigg.metabolite:dca', 'biggM:M_dca', 'biggM:dca', 'chebi:125804', 'chebi:23570', 'chebi:23572', 'chebi:27689', 'chebi:30813', 'chebi:41906', 'chebi:4347', 'hmdb:HMDB0000511', 'hmdb:HMDB00511', 'kegg.compound:C01571', 'keggC:C01571', 'keggC:M_C01571', 'lipidmaps:LMFA01010010', 'lipidmapsM:LMFA01010010', 'metacyc.compound:CPD-3617', 'metacycM:CPD-3617', 'reactome:R-ALL-422019', 'reactome:R-ALL-879581', 'reactome:R-ALL-879620', 'reactomeM:R-ALL-422019', 'reactomeM:R-ALL-879581', 'reactomeM:R-ALL-879620', 'sabiork.compound:2296', 'sabiorkM:2296', 'seed.compound:cpd01107', 'seedM:M_cpd01107', 'seedM:cpd01107', 'slm:000000855']	decanoate
7	MNXM105743	['hmdb:HMDB0012237', 'hmdb:HMDB12237']	inositol-p-ceramide
8	MNXM1088948	['rheaP:9517']	dolichyl phosphate
9	MNXM1088984	['rheaP:9597']	chitosan
10	MNXM1091708	['bigg.metabolite:2ip3os', 'biggM:2ip3os', 'biggM:M_2ip3os']	(2s)-2-isopropyl-3-oxosuccinate
11	MNXM1091770	['bigg.metabolite:3hdcscoa', 'biggM:3hdcscoa', 'biggM:M_3hdcscoa']	3-hydroxydocosanoyl-coa
12	MNXM1091782	['bigg.metabolite:3hdocoscoa', 'biggM:3hdocoscoa', 'biggM:M_3hdocoscoa']	3-hydroxydocosanoyl-coa
13	MNXM1091846	['bigg.metabolite:3httccoa', 'biggM:3httccoa', 'biggM:M_3httccoa']	3-hydroxytetracosanoyl-coa
14	MNXM1091947	['bigg.metabolite:4a2mpmpmd', 'biggM:4a2mpmpmd', 'biggM:M_4a2mpmpmd']	4-amino-2-methyl-5-phosphomethylpyrimidine
15	MNXM1092077	['bigg.metabolite:LIPID', 'biggM:LIPID', 'biggM:M_LIPID']	lipid
16	MNXM1092518	['CHEBI:16383', 'CHEBI:32805', 'bigg.metabolite:HC00342', 'bigg.metabolite:acon', 'bigg.metabolite:acon_C', 'biggM:HC00342', 'biggM:M_HC00342', 'biggM:M_acon', 'biggM:M_acon_C', 'biggM:acon', 'biggM:acon_C', 'chebi:10482', 'chebi:12798', 'chebi:16383', 'chebi:23306', 'chebi:23308', 'chebi:32805', 'envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/643481e5-a35b-477e-8665-70f4dca66baa', 'envipathM:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/643481e5-a35b-477e-8665-70f4dca66baa', 'hmdb:HMDB0000072', 'hmdb:HMDB0000461', 'hmdb:HMDB00072', 'hmdb:HMDB00461', 'kegg.compound:C00417', 'keggC:C00417', 'keggC:M_C00417', 'metacyc.compound:CIS-ACONITATE', 'metacycM:CIS-ACONITATE', 'sabiork.compound:2043', 'sabiorkM:2043', 'seed.compound:cpd00331', 'seedM:M_cpd00331', 'seedM:cpd00331']	cis-aconitate
17	MNXM1092555	['bigg.metabolite:alltn__R', 'biggM:M_alltn__R', 'biggM:alltn__R']	allantoin
18	MNXM1092578	['bigg.metabolite:aptrc', 'biggM:M_aptrc', 'biggM:aptrc']	n-acetylputrescine
19	MNXM1092601	['bigg.metabolite:behencoa', 'biggM:M_behencoa', 'biggM:behencoa']	docosanoyl-coa
20	MNXM1092625	['bigg.metabolite:butcoa', 'biggM:M_butcoa', 'biggM:butcoa']	butanoyl-coa
21	MNXM1092721	['bigg.metabolite:cmylphosph', 'biggM:M_cmylphosph', 'biggM:cmylphosph']	carbamoyl phosphate
22	MNXM1092746	['bigg.metabolite:cystine__L', 'biggM:M_cystine__L', 'biggM:cystine__L']	l-cystine
23	MNXM1092836	['bigg.metabolite:deccoa', 'biggM:M_deccoa', 'biggM:deccoa']	decanoyl-coa
24	MNXM1092918	['bigg.metabolite:doscoa', 'biggM:M_doscoa', 'biggM:doscoa']	docosanoyl-coa
