Name	Identifiers_fuzzy	Identifiers_classic	Identifiers	ID	source	name	fuzzy	metaNet
ceramide-1 (c26)	[]	[]	[]	MNXM63798	['metacyc.compound:CPD-16353', 'metacycM:CPD-16353', 'seed.compound:cpd33133', 'seedM:cpd33133']	ceramide-1 (c26)	[]	['CPD-16353']
iron(3+)	['29034', 'C14819']	['29034', 'C14819']	['29034', 'C14819']	MNXM726712	['CHEBI:29034', 'chebi:29034', 'kegg.compound:C14819', 'keggC:C14819', 'reactome:R-ALL-111736', 'reactome:R-ALL-1222611', 'reactome:R-ALL-2299669', 'reactome:R-ALL-2685584', 'reactome:R-ALL-912516', 'reactome:R-ALL-917966', 'reactome:R-ALL-918027', 'reactomeM:R-ALL-111736', 'reactomeM:R-ALL-1222611', 'reactomeM:R-ALL-2299669', 'reactomeM:R-ALL-2685584', 'reactomeM:R-ALL-912516', 'reactomeM:R-ALL-917966', 'reactomeM:R-ALL-918027', 'sabiork.compound:1361', 'sabiorkM:1361', 'seed.compound:cpd10516', 'seedM:cpd10516']	iron(3+)	['29034', 'C14819']	['29034', 'C14819']
protoporphyrin	['C02191', '57306', '|PROTOPORPHYRIN_IX|', '15430']	['15430', 'PROTOPORPHYRIN_IX', 'C02191']	['57306', 'PROTOPORPHYRIN_IX', 'C02191', '|PROTOPORPHYRIN_IX|', '15430']	MNXM734551	['seed.compound:cpd01476', 'seedM:M_cpd01476', 'seedM:cpd01476']	protoporphyrin	['15430', 'PROTOPORPHYRIN_IX', '57306', 'C02191']	[]
d-fructose	['C10906', '28614', '48095', '37721', 'C00095', 'C05003', '37719', '15824']	['48095', 'C05003', '37721', 'FRU', 'C00095', '15824', 'C10906']	['C10906', '48095', 'C05003', 'FRU', '37721', 'C00095', '28614', '37719', '15824']	MNXM729613	['CHEBI:37721', 'chebi:37721', 'kegg.compound:C00095', 'keggC:C00095', 'keggC:M_C00095', 'metacyc.compound:Fructofuranose', 'metacycM:Fructofuranose', 'seed.compound:cpd00082', 'seedM:M_cpd00082', 'seedM:cpd00082']	d-fructose	['37721', '15824', '48095', 'C05003', 'C00095', '28614', 'C10906', 'FRU', '37719']	['Fructofuranose', '37721', 'C00095']
d-fructose	['C10906', '28614', '48095', '37721', 'C00095', 'C05003', '37719', '15824']	['48095', 'C05003', '37721', 'FRU', 'C00095', '15824', 'C10906']	['C10906', '48095', 'C05003', 'FRU', '37721', 'C00095', '28614', '37719', '15824']	MNXM729621	['CHEBI:15824', 'chebi:12923', 'chebi:15824', 'chebi:20929', 'chebi:4118', 'reactome:R-ALL-189049', 'reactome:R-ALL-29532', 'reactomeM:R-ALL-189049', 'reactomeM:R-ALL-29532']	d-fructose	['37721', '15824', '48095', 'C05003', 'C00095', '28614', 'C10906', 'FRU', '37719']	['12923', '4118', '20929', '15824']
prenyl diphosphate(3-)	['C00235', '16057', 'C17627', '57623', '|CPD-4211|']	['57623', 'C00235', 'C17627']	['C00235', '16057', 'C17627', '57623', '|CPD-4211|']	MNXM132	['CHEBI:57623', 'chebi:57623']	prenyl diphosphate(3-)	['16057', 'C17627', '57623', 'C00235', 'CPD-4211']	['57623']
4-hydroxy-4-methyl-2-oxoglutarate	['C06033', '|CPD-11855|', '17801']	['C04184', '58276', '17801', 'C06033', '11997']	['17801', 'C04184', '11997', '|CPD-11855|', 'C06033', '58276']	MNXM2196	['CHEBI:17801', 'CHEBI:58276', 'chebi:17801', 'chebi:58276', 'kegg.compound:C06033', 'keggC:C06033', 'metacyc.compound:CPD-187', 'metacycM:CPD-187', 'sabiork.compound:7137', 'sabiorkM:7137', 'seed.compound:cpd02570', 'seedM:cpd02570']	4-hydroxy-4-methyl-2-oxoglutarate	['17801', 'CPD-11855', 'C04184', '58276', 'C06033', '11997']	['58276', 'CPD-187', '17801', 'C06033']
imidazole-4-acetaldehyde	['27398', '|IMIDAZOLE_ACETALDEHYDE|', 'C05130']	['C05130', '27398']	['|IMIDAZOLE_ACETALDEHYDE|', '27398', 'C05130']	MNXM1745	['CHEBI:27398', 'bigg.metabolite:im4act', 'bigg.metabolite:imzacd', 'biggM:M_im4act', 'biggM:M_imzacd', 'biggM:im4act', 'biggM:imzacd', 'chebi:24775', 'chebi:27398', 'chebi:5874', 'hmdb:HMDB0003905', 'hmdb:HMDB0006237', 'hmdb:HMDB03905', 'hmdb:HMDB06237', 'kegg.compound:C05130', 'keggC:C05130', 'keggC:M_C05130', 'metacyc.compound:IMIDAZOLE_ACETALDEHYDE', 'metacycM:IMIDAZOLE_ACETALDEHYDE', 'sabiork.compound:7754', 'sabiorkM:7754', 'seed.compound:cpd03052', 'seedM:M_cpd03052', 'seedM:cpd03052']	imidazole-4-acetaldehyde	['27398', 'C05130', 'IMIDAZOLE_ACETALDEHYDE']	['C05130', '27398', '5874', '24775', 'IMIDAZOLE_ACETALDEHYDE']
trans-tetradec-2-enoyl-coa	['C05273', '27721']	['C05273', '27721', 'CPD0-2120']	['C05273', '27721', 'CPD0-2120']	MNXM731123	['bigg.metabolite:td2coa', 'biggM:M_td2coa', 'biggM:td2coa']	trans-tetradec-2-enoyl-coa	['27721', 'CPD0-2120', 'C05273']	[]
trans-tetradec-2-enoyl-coa	['C05273', '27721']	['C05273', '27721', 'CPD0-2120']	['C05273', '27721', 'CPD0-2120']	MNXM731126	['sabiork.compound:2750', 'sabiorkM:2750']	trans-tetradec-2-enoyl-coa	['27721', 'CPD0-2120', 'C05273']	[]
gly-asn	['73888']	['73888', 'CPD-13395']	['CPD-13395', '73888']	MNXM526034	['hmdb:HMDB0028836']	gly-asn	['73888', 'CPD-13395']	[]
gly-asn	['73888']	['73888', 'CPD-13395']	['CPD-13395', '73888']	MNXM55268	['CHEBI:73888', 'chebi:73888', 'metacyc.compound:CPD-13395', 'metacycM:CPD-13395', 'seed.compound:cpd23855', 'seedM:cpd23855']	gly-asn	['73888', 'CPD-13395']	['CPD-13395', '73888']
fmnh2	['C01847', '57618', '16048']	['FMNH2', '57618', 'C01847', '16048']	['C01847', '57618', '16048', 'FMNH2']	MNXM681094	['CHEBI:133886', 'CHEBI:16048', 'CHEBI:57618', 'bigg.metabolite:fmnh2', 'bigg.metabolite:ribflvRD', 'biggM:M_fmnh2', 'biggM:M_ribflvRD', 'biggM:fmnh2', 'biggM:ribflvRD', 'chebi:13318', 'chebi:133886', 'chebi:15017', 'chebi:16048', 'chebi:21128', 'chebi:42517', 'chebi:57618', 'chebi:8782', 'hmdb:HMDB0001142', 'hmdb:HMDB01142', 'kegg.compound:C01847', 'keggC:C01847', 'keggC:M_C01847', 'metacyc.compound:FMNH2', 'metacyc.compound:Red-FMNH2-Flavoproteins', 'metacyc.compound:Reduced-flavodoxins', 'metacycM:FMNH2', 'metacycM:Red-FMNH2-Flavoproteins', 'metacycM:Reduced-flavodoxins', 'sabiork.compound:2325', 'sabiorkM:2325', 'seed.compound:cpd01270', 'seed.compound:cpd28056', 'seed.compound:cpd28083', 'seedM:M_cpd01270', 'seedM:M_cpd28056', 'seedM:M_cpd28083', 'seedM:cpd01270', 'seedM:cpd28056', 'seedM:cpd28083']	fmnh2	['57618', '16048', 'FMNH2', 'C01847']	['Red-FMNH2-Flavoproteins', '16048', '15017', '13318', 'C01847', '57618', 'FMNH2', '8782', '133886', 'Reduced-flavodoxins', '42517', '21128']
but-2-enoyl-coa	['15473', 'C00877', '36926']	['C00877', '36926', '58669']	['15473', '58669', 'C00877', '36926']	MNXM1092623	['bigg.metabolite:but2encoa', 'biggM:M_but2encoa', 'biggM:but2encoa']	but-2-enoyl-coa	['C00877', '36926', '58669', '15473']	[]
5-methyltetrahydrofolate	['15641', 'C00440']	['C00440', '20612', '15641']	['20612', '15641', 'C00440']	MNXM1104394	['sabiork.compound:2051', 'sabiorkM:2051']	5-methyltetrahydrofolate	['20612', '15641', 'C00440']	[]
5-methyltetrahydrofolate	['15641', 'C00440']	['C00440', '20612', '15641']	['20612', '15641', 'C00440']	MNXM733945	['bigg.metabolite:5mthf', 'biggM:5mthf', 'biggM:M_5mthf', 'hmdb:HMDB0001396', 'hmdb:HMDB01396']	5-methyltetrahydrofolate	['20612', '15641', 'C00440']	[]
5-methyltetrahydrofolate	['15641', 'C00440']	['C00440', '20612', '15641']	['20612', '15641', 'C00440']	MNXM733947	['CHEBI:20612', 'chebi:20612']	5-methyltetrahydrofolate	['20612', '15641', 'C00440']	['20612']
2-acetyllactic acid	['16444']	['C00900', '57774', '16444']	['57774', 'C00900', '16444']	MNXM1103847	['CHEBI:16444', 'chebi:16444', 'hmdb:HMDB0006833']	2-acetyllactic acid	['16444', '57774', 'C00900']	['16444']
trans-oct-2-enoyl-coa	['27537', 'C05276']	['CPD0-2108', '27537', 'C05276']	['CPD0-2108', '27537', 'C05276']	MNXM731462	['bigg.metabolite:oc2coa', 'biggM:M_oc2coa', 'biggM:oc2coa', 'hmdb:HMDB0002992', 'hmdb:HMDB02992']	trans-oct-2-enoyl-coa	['27537', 'CPD0-2108', 'C05276']	[]
trans-oct-2-enoyl-coa	['27537', 'C05276']	['CPD0-2108', '27537', 'C05276']	['CPD0-2108', '27537', 'C05276']	MNXM731465	['sabiork.compound:23096', 'sabiork.compound:2753', 'sabiorkM:23096', 'sabiorkM:2753']	trans-oct-2-enoyl-coa	['27537', 'CPD0-2108', 'C05276']	[]
(r)-4'-phosphopantothenic acid	['15905']	['15905', '10986', 'C03492']	['15905', '10986', 'C03492']	MNXM735771	['CHEBI:15905', 'chebi:15905', 'reactome:R-ALL-196786', 'reactomeM:R-ALL-196786']	(r)-4'-phosphopantothenic acid	['C03492', '10986', '15905']	['15905']
2-hydroxy-3-oxobutyl phosphate	['50606', 'C15556']	['C15556', '50606']	['50606', 'C15556']	MNXM1102294	['CHEBI:50606', 'bigg.metabolite:db4p', 'biggM:M_db4p', 'biggM:db4p', 'chebi:50606', 'kegg.compound:C15556', 'keggC:C15556', 'keggC:M_C15556', 'sabiork.compound:23254', 'sabiorkM:23254']	2-hydroxy-3-oxobutyl phosphate	['C15556', '50606']	['C15556', '50606']
trans-hex-2-enoyl-acp	['C05748', '10727']	['10727', 'C05748']	['C05748', '10727']	MNXM728716	['seed.compound:cpd11473', 'seedM:cpd11473']	trans-hex-2-enoyl-acp	['C05748', '10727']	[]
3-hydroxy-2-methylpropanoate	['C01188', '18064', '11805']	['18064', 'C01188', '11805']	['C01188', '18064', '11805']	MNXM726870	['CHEBI:11805', 'CHEBI:18064', 'chebi:11805', 'chebi:1516', 'chebi:18064', 'hmdb:HMDB0062640', 'hmdb:HMDB0126088', 'hmdb:HMDB62640', 'kegg.compound:C01188', 'keggC:C01188', 'keggC:M_C01188', 'metacyc.compound:3-HYDROXY-ISOBUTYRATE', 'metacycM:3-HYDROXY-ISOBUTYRATE', 'reactome:R-ALL-573404', 'reactomeM:R-ALL-573404', 'sabiork.compound:5430', 'sabiorkM:5430', 'seed.compound:cpd00876', 'seedM:M_cpd00876', 'seedM:cpd00876']	3-hydroxy-2-methylpropanoate	['11805', '18064', 'C01188']	['1516', 'C01188', '11805', '3-HYDROXY-ISOBUTYRATE', '18064']
3-oxalomalate(3-)	['30926', 'C01990', '15593', '|CPD-628|']	['15593', 'C01990']	['C01990', '15593', '30926', '|CPD-628|']	MNXM3850	['CHEBI:15593', 'chebi:15593']	3-oxalomalate(3-)	['CPD-628', '30926', '15593', 'C01990']	['15593']
udp-d-galactose	['67119', 'C00052', '18307', 'G10609']	['C00052', 'G10609', '18307']	['67119', 'C00052', '18307', 'G10609']	MNXM741187	['CHEBI:18307', 'CHEBI:58439', 'chebi:13487', 'chebi:13495', 'chebi:18307', 'chebi:22100', 'chebi:42751', 'chebi:58439', 'chebi:9811', 'reactome:R-ALL-1981137', 'reactome:R-ALL-29452', 'reactome:R-ALL-735682', 'reactomeM:R-ALL-1981137', 'reactomeM:R-ALL-29452', 'reactomeM:R-ALL-735682', 'seed.compound:cpd00043', 'seedM:M_cpd00043', 'seedM:cpd00043']	udp-d-galactose	['67119', 'C00052', '18307', 'G10609']	['13495', '13487', '58439', '18307', '9811', '42751', '22100']
udp-d-galactose	['67119', 'C00052', '18307', 'G10609']	['C00052', 'G10609', '18307']	['67119', 'C00052', '18307', 'G10609']	MNXM741190	['sabiork.compound:1283', 'sabiork.compound:3919', 'sabiorkM:1283', 'sabiorkM:3919']	udp-d-galactose	['67119', 'C00052', '18307', 'G10609']	[]
udp-d-galactose	['67119', 'C00052', '18307', 'G10609']	['C00052', 'G10609', '18307']	['67119', 'C00052', '18307', 'G10609']	MNXM741191	['kegg.glycan:G10609', 'keggG:G10609', 'keggG:M_G10609']	udp-d-galactose	['67119', 'C00052', '18307', 'G10609']	[]
2-methylcitrate	['C02225', '15598', '58853', '10860', '11618', '|CPD-622|', '30836']	['C02225', '30835', '11618', '15598']	['C02225', '15598', '58853', '30835', '10860', '11618', '|CPD-622|', '30836']	MNXM741276	['CHEBI:15598', 'CHEBI:30835', 'bigg.metabolite:2mcit', 'biggM:2mcit', 'biggM:M_2mcit', 'chebi:11592', 'chebi:11618', 'chebi:1203', 'chebi:15598', 'chebi:19630', 'chebi:19695', 'chebi:19696', 'chebi:30835', 'hmdb:HMDB0000379', 'hmdb:HMDB0003610', 'hmdb:HMDB00379', 'hmdb:HMDB03610']	2-methylcitrate	['CPD-622', '58853', '10860', '15598', '11618', '30836', '30835', 'C02225']	['11618', '15598', '11592', '19696', '30835', '19695', '19630', '1203']
