Rxn	Genes
Ex_biomass	[]
Ex_glucose	['159963', '6517', '6526', '155184', '115584', '6527', '154091', '114134', '6524', '6518', '6513', '56606', '144195', '60482', '81031', '66035', '200010', '8884', '160728', '6528', '29988', '6523', '6514', '11182', '125206', '6515']
Ex_lactateL	['9123', '160728', '6566', '23539', '9194']
Ex_O2	[]
Ex_glutamine	['92745', '81539', '348932', '57393', '11254', '8501', '54407', '55089', '340024', '10991']
Ex_Palmitate	[]
Ex_glutamate	[]
Ex_arginines	['6541', '84889', '6542', '11254', '55089']
Ex_folate	['2350', '2348', '2352']
Ex_urea	['8170', '6528', '6563', '6523']
Ex_NH3	[]
Ex_citratec	['284111', '9058']
Ex_Carnitine	['6584']
Ex_AKG	['60386', '64849', '89874']
Ex_proline	['153201', '206358']
Ex_alanine	['6541', '84889', '92745', '6542', '81539', '348932', '120103', '57393', '59272', '206358', '11254', '54407', '55089', '153201', '340024', '10991']
Ex_aspartate	['6512', '6507', '6511', '6506', '6505']
Ex_asparagine	['92745', '81539', '348932', '57393', '59272', '11254', '8501', '54407', '55089', '340024', '10991']
Ex_serine	['92745', '81539', '348932', '57393', '59272', '11254', '206358', '8501', '54407', '55089', '340024']
Ex_glycine	['92745', '81539', '348932', '57393', '59272', '9152', '206358', '11254', '54407', '55089', '153201', '340024', '6536']
Ex_cystine	[]
Ex_SC_mercaptopyruvatec	[]
Ex_SC_H2O	['343', '362', '358', '4284', '361', '359']
Ex_SC_Pi	[]
Ex_SC_H	[]
DM_Palmitate	['19']
DM_putrescine	[]
DM_CO2c	[]
DM_10formylTHFm	[]
DM_10formylTHFc	[]
DM_GSSG	[]
DM_guanidinoacetatec	[]
Glucose_DM_COOP	['159963', '6517', '6526', '155184', '115584', '6527', '154091', '114134', '6524', '6518', '6513', '56606', '144195', '60482', '81031', '66035', '200010', '8884', '160728', '6528', '29988', '6523', '6514', '11182', '125206', '6515']
LactateL_DM_COOP	['9123', '160728', '6566', '23539', '9194']
Oxygen_DM_COOP	[]
Glutamine_DM_COOP	['92745', '81539', '348932', '57393', '11254', '8501', '54407', '55089', '340024', '10991']
Palmitate_DM_COOP	['19']
Palmitate_UP_COOP	['948', '10999', '376497', '2806']
Glutamate_DM_COOP	[]
Arginine_DM_COOP	['6541', '84889', '6542', '11254', '55089']
Folate_DM_COOP	['2350', '2348', '2352']
Urea_DM_COOP	['8170', '6563']
NH3_DM_COOP	[]
Citrate_DM_COOP	['284111', '9058']
Carnitine_DM_COOP	['6584']
AKG_DM_COOP	['64849', '89874']
Proline_DM_COOP	['153201', '206358']
Alanine_DM_COOP	['6541', '84889', '92745', '6542', '81539', '348932', '120103', '57393', '59272', '206358', '11254', '54407', '55089', '153201', '340024', '10991']
Aspartate_DM_COOP	['6512', '6507', '6511', '6506', '6505']
Asparagine_DM_COOP	['92745', '81539', '348932', '57393', '59272', '11254', '8501', '54407', '55089', '340024', '10991']
Serine_DM_COOP	['92745', '81539', '348932', '57393', '59272', '11254', '206358', '8501', '54407', '55089', '340024']
Glycine_DM_COOP	['92745', '81539', '348932', '57393', '59272', '9152', '206358', '11254', '54407', '55089', '153201', '340024', '6536']
TranspCystineGlu	['23657', '6520']
TranspCystineSer	['11136', '6519']
CystineReductaseNADPH	['10587', '7296']
GCK_HKDC1_HK1_ADPGK_HK2_HK3	['2645', '3099', '3098', '80201', '3101']
G6PPer	['92579', '2538', '57818']
GPI	['2821']
PFKP_PFKL_PFKM_1	['5213', '5214', '5211']
FBP	['8789', '2203']
ALDOC_ALDOB_ALDOA_2	['230', '229', '226']
TPI1_TPI1P2	['7167']
GAPDHS_GAPDH_GAPDHP29	['26330', '2597']
CRISP3_PGK1_MIA3_PGK2	['5232', '5230']
PGAM2_PGAM1_BPGM_PGAM4_1	['5224', '669', '5223']
ENO1_ENO3_ENO2	['2023', '2026', '2027']
PKM_TMEM54_PKLR_HCN3	['5313', '5315']
PC	['5091']
PEPCK	['5105']
LDH	['3945', '55293', '92483', '3948', '3939', '160287']
G6PD	['2539']
H6PD_PGLS	['9563', '25796']
PGD	['5226']
RPIA_LOC101060545	['22934']
PRPS2_PRPS1_PRPS1L1	['221823', '5634', '5631']
TKTL1_TKTL2_TKT_1	['7086', '84076', '8277']
ALDOC_ALDOB_ALDOA_1	['230', '229', '226']
RPE_LOC729020	['729020', '6120']
TKTL1_TKTL2_TKT_2	['7086', '84076', '8277']
TALDO1	['6888']
PFKP_PFKL_PFKM_3	['5213', '5214', '5211']
DLD_PDHX_PDHA1_DLAT_PDHA2_PDHB	['8050', '5161', '5162', '1738', '5160', '1737']
CS	['1431']
ACO2_ACO1_1	['50', '48']
IDH3	['3421', '3419', '3420']
IDH2	['3418']
DLSTP1_DLD_OGDH_PDHX_DLST_DHTKD1_OGDHL	['1738', '4967', '1743']
KANK1_SUCLA2_SUCLG1_SUCLG2_1	['8802', '8801']
SDHA_SDHB_SDHC_SDHD	['6392', '6391', '6389', '6390']
FH_1	['2271']
MDH2	['4191']
ME2_ME3_1	['4200']
ME2_ME3_2	['10873']
ACLY	['47']
FH_2	['2271']
MDH1_MDH1B	['4190', '130752']
ACO1_IREB2	['48']
IDH1	['3417']
LHPP_PPA2_PRUNE_EIF4A2_NAV2_PPA1_1	['5464', '64077']
Complex1ROS	['4541', '4719', '4707', '374291', '126328', '4723', '54539', '4709', '4704', '4713', '4540', '4712', '4711', '4725', '4695', '4717', '4698', '4718', '4538', '4706', '4536', '4714', '4728', '4708', '4705', '4700', '4539', '4729', '4710', '4720', '4722', '4535', '4702', '4715', '4696', '51079', '4537', '4716', '4694']
Complex2	[]
Complex3	['1537', '27089', '7385', '10975', '29796', '7388', '7384', '7381', '7386', '4519']
Complex4	['1345', '1340', '1351', '1349', '125965', '1337', '170712', '4512', '84701', '4514', '341947', '1327', '4513', '1339', '1346', '1347', '1350', '1329', '9377']
ATPsynthase	['509', '514', '9551', '522', '516', '4508', '521', '517', '4509', '539', '10632', '515', '518', '513', '10476', '498', '506']
GCL	['2729', '2730']
GSS	['2937']
SOD2	['6648']
GPmit	['2876', '2879', '10935']
mGSRnadh	['2936']
mGSRnadph	['2936']
TrasportGSH	['1468']
MPC1_MPC2_MPC1L	['25874', '51660', '6566']
SLC25A3	['5250']
SLC25A5_SLC25A4_SLC25A6	['293', '292', '291']
Transport_CO2	[]
TransportOxygen	[]
ALDH3B1_ALDH3A1_ALDH3B2_ALDH1A3	['293']
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_1	['4831', '29922', '4832', '10201', '4830']
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_2	['10201', '4833']
AQP8	[]
HIBCH	[]
SLC25A10_4	['1468']
CA12_CA2_CA9_CA14_CA1_CA3_CA4_CA7_CA13	['771', '377677', '23632', '761', '759', '766', '768', '760', '765', '762']
CA5B_CA5A	['763', '11238']
TransportGln	[]
GLS2	['2744']
TransportGlu	['79751', '83733']
GLS	['2744', '27165']
GS	['2752', '51557']
PPAT	['5471']
ADSS_ADSSL1	['159', '122622']
TNRC6B_ADSL_1	['158']
GART_1	['2618']
GART_2	['2618']
PFAS	['5198']
OGDH_GART_OGDHL	['2618']
PAICS_1	['10606']
PAICS_2	['10606']
TNRC6B_ADSL_2	['158']
ATIC_1	['471']
ATIC_2	['471']
GMPR2_GMPR	['2766', '51292']
GUK1_1	['2987']
RRM2B_TXN_RRM1_RRM2B_1	['6241', '50484', '6240']
GUK1_2	['2987']
AK2_TAF9_AK1_AK7_AK3_AK5_AKD1_AK4_AK8_1	['122481', '26289', '203', '204']
RRM2B_TXN_RRM1_RRM2B_2	['6241', '50484', '6240']
AK	['204', '205', '122481', '26289', '203']
IMPDH2	['3615', '3614']
GMPS	['8833']
CAD_1	['790']
CAD_2	['790']
CAD_3	['790']
DHODH	['1723']
UMPS_1	['7372']
UMPS_2	['7372']
CMPK2_CMPK1_1	['51727']
RRM2B_TXN_RRM1_RRM2_1	['6241', '50484', '6240']
TYMS	['7298']
CMPK1_DTYMK	['1841']
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_3	['4831', '29922', '4832', '10201', '4830']
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_4	['4831', '29922', '4832', '10201', '4830']
CMPK2_CMPK1_2	['51727']
CTPS2_GATM_CTPS1	['1503', '56474']
RRM2B_TXN_RRM1_RRM2_2	['6241', '50484', '6240']
CMPK2_CMPK1_3	['51727']
GLUD1_GLUD2_1	['2747', '2746']
GLUD1_GLUD2_2	['2747', '2746']
GOT1_GOT2_GOT1L1_2	['2805']
GOT2_GOT1L1_1	['2806']
SLC25A13_SLC25A12	['10165', '8604']
FH_3	[]
CPS1	['1373']
OTC_LEFTY1	['5009']
SLC25A15_SLC25A2_1	['10166', '83884']
GCDH_SLC25A2_2	['10166', '83884']
ASS1	['445']
ASL_CRCP	['435']
ARG2_ARG1	['383']
OGDH_ODC1_OGDHL	['4953']
AGAT	['2628']
arginineAmidinohydrolase	[]
OAT	['4942']
ALDH4A1_1	['8659']
Transport_Lglu5semialdehyde	[]
ALDH4A1_2	['8659']
PYCRL_PYCR2_PYCR1_LEFTY1_2	['29920']
PYCRL_PYCR2_PYCR1_LEFTY1_1	['29920']
ASNS	['440']
ASRGL1_ASPG	['80150', '374569']
GOT1_GOT2	['2805']
PHGDH_UBAC2	['26227']
PSAT1	['29968']
VPS29_PSPH_PSPHP1	['5723']
SHMT1	['6470']
SDS_SDSL_SRR	['10993', '113675']
GPT	[]
CCBL1	[]
NIT2	['56954']
Transport_serine	[]
Transport_glycine	[]
SHMT1_2	['6472']
TransportFolate	['81034']
SLC16A3_SLC16A1_SLC16A5_2	[]
DHFRL1_DHFR_5	['1719']
DHFRL1_DHFR_6	['1719']
MTHFD1_AL445665_1_AQP7P4_LOC286297_2	['25902', '4522']
MTHFD1_2	['10797']
MTHFD2_4	['10797', '4522']
DHFRL1_DHFR_2	['1719']
DHFRL1_DHFR_4	['1719']
MTHFD1_AL445665_1_AQP7P4_LOC286297	['4522']
MTHFD1_3	['160428', '10840']
MTHFD1_1	['4522']
MTHFD2_1	['4524', '4522']
MTHFD2_2	['441024', '10797']
ACAT1_ACAT2	['39']
HMGCS1_HMGCS2	['3157']
HMGCR	['3156']
MVK	['4598']
PMVK	['10654']
IDI1_IDI2	['3422', '91734']
MVD	['4597']
ARID4B_GGPS1_FDPS_FDPSP7_1	['2224', '9453']
ARID4B_GGPS1_FDPS_FDPSP7_2	['2224', '9453']
FDFT1_1	['2222']
FDFT1_2	['2222']
SQLE	['6713']
LSS	['4047']
CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_1	['1595']
CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_2	['1595']
CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_3	['1595']
