Rxn	Genes
R_10FTHF5GLUtl	[]
R_10FTHF5GLUtm	[]
R_10FTHF6GLUtl	[]
R_10FTHF6GLUtm	[]
R_10FTHF7GLUtl	[]
R_10FTHF7GLUtm	[]
R_10FTHFtl	[]
R_10FTHFtm	[]
R_11DOCRTSLtm	[]
R_11DOCRTSLtr	[]
R_11DOCRTSTRNtm	[]
R_11DOCRTSTRNtr	[]
R_13DAMPPOX	['26', '314', '8639']
R_1a_24_25VITD2Hm	[]
R_1a_24_25VITD3Hm	[]
R_1a_25VITD2Hm	[]
R_1a_25VITD3Hm	[]
R_1MNCAMti	[]
R_1PPDCRp	[]
R_24_25DHVITD2t	[]
R_24_25DHVITD2tm	[]
R_24_25DHVITD3t	[]
R_24_25DHVITD3tm	[]
R_24_25VITD2Hm	['1591']
R_24_25VITD3Hm	['1591']
R_24NPHte	[]
R_25HVITD2t	[]
R_25HVITD2tin	[]
R_25HVITD2tin_m	[]
R_25HVITD2tm	[]
R_25HVITD3t	[]
R_25HVITD3tin_m	[]
R_25HVITD3tm	[]
R_25VITD2Hm	['1594']
R_25VITD3Hm	['1594']
R_2AMACHYD	['10993']
R_2AMACSULT	['6818']
R_2AMADPTm	['89874']
R_2DR1PP	[]
R_2HBO	['160287', '3939', '3948', '92483', '3945', '55293']
R_2HBt2	['9123', '6566', '9194']
R_2HCO3_NAt	['8671', '57835']
R_2MCITt	[]
R_2OXOADOXm	['1743', '8050', '1738', '4967']
R_2OXOADPTm	['89874']
R_34DHOXPEGOX	['131', '130', '127', '126', '137872', '124', '128', '125']
R_34DHOXPEGt	[]
R_34DHPHAMT	['1312']
R_34DHPHEt	['117247']
R_34DHPLACOX	['220', '222', '221', '218']
R_34DHPLACOX_NADP_	['218', '221', '222']
R_34DHXMANDACOX	['220', '221', '218']
R_34DHXMANDACOX_NADP_	['221', '222']
R_34HPLFM	[]
R_34HPPOR	['3242']
R_35CGMPtn	[]
R_3AIBTm	['18']
R_3AIBtmi	['18']
R_3DPHBH1	[]
R_3DPHBH2	[]
R_3DSPHR	['2531']
R_3HAO	['23498']
R_3HBCDm	['55268']
R_3HBCOAHLm	[]
R_3HKYNAKGAT	['883', '51166']
R_3HLYTCL	['1644']
R_3HPCOAHYD	['26275']
R_3HPPD	[]
R_3HXKYNDCL	['1644']
R_3HXKYNOXDA	['4128', '4129']
R_3M4HDXPAC	['220', '222', '221', '218']
R_3MLDAt	[]
R_3MOBt2im	[]
R_3MOPt2im	[]
R_3MOX4HOXPGALDOX	['218', '220', '221', '222']
R_3MOX4HOXPGALDOX_NADP_	['218', '220', '221', '222']
R_3MOXTYROX	['4128', '4129']
R_3NTD7l	['51205', '55', '54', '53']
R_3SALAASPm	['10165', '8604']
R_3SALACBOXL	['2571', '2572', '51380']
R_3SALAOX	[]
R_3SALATAi	['2805']
R_3SALATAim	['2806']
R_3SPYRSP	[]
R_3SPYRSPm	[]
R_41R1H2MAE12BOOX	['4128', '4129']
R_41R2A1H12BOOX	['4128', '4129']
R_42A12BOOX	['8639', '4128', '314', '26', '4129']
R_4ABUTtm	[]
R_4HBZCOAFm	[]
R_4HBZFm	[]
R_4HDEBRISOQUINEte	[]
R_4HGLSDm	['8659']
