Rxn	GPR
R_10FTHF5GLUtl	
R_10FTHF5GLUtm	
R_10FTHF6GLUtl	
R_10FTHF6GLUtm	
R_10FTHF7GLUtl	
R_10FTHF7GLUtm	
R_10FTHFtl	
R_10FTHFtm	
R_11DOCRTSLtm	
R_11DOCRTSLtr	
R_11DOCRTSTRNtm	
R_11DOCRTSTRNtr	
R_13DAMPPOX	(314 and 8639) or 26
R_1a_24_25VITD2Hm	
R_1a_24_25VITD3Hm	
R_1a_25VITD2Hm	
R_1a_25VITD3Hm	
R_1MNCAMti	
R_1PPDCRp	
R_24_25DHVITD2t	
R_24_25DHVITD2tm	
R_24_25DHVITD3t	
R_24_25DHVITD3tm	
R_24_25VITD2Hm	1591
R_24_25VITD3Hm	1591
R_24NPHte	
R_25HVITD2t	
R_25HVITD2tin	
R_25HVITD2tin_m	
R_25HVITD2tm	
R_25HVITD3t	
R_25HVITD3tin_m	
R_25HVITD3tm	
R_25VITD2Hm	1594
R_25VITD3Hm	1594
R_2AMACHYD	10993
R_2AMACSULT	6818
R_2AMADPTm	89874
R_2DR1PP	
R_2HBO	55293 or 160287 or 3945 or 3939 or 92483 or 3948
R_2HBt2	9123 or 6566 or 9194
R_2HCO3_NAt	8671 or 57835
R_2MCITt	
R_2OXOADOXm	4967 and 1738 and (1743 or 8050)
R_2OXOADPTm	89874
R_34DHOXPEGOX	(125 and (124 or 126)) or 128 or 137872 or 130 or 131 or 127
R_34DHOXPEGt	
R_34DHPHAMT	1312
R_34DHPHEt	117247
R_34DHPLACOX	221 or 222 or 218 or 220
R_34DHPLACOX_NADP_	218 or 222 or 221
R_34DHXMANDACOX	220 or 218 or 221
R_34DHXMANDACOX_NADP_	222 or 221
R_34HPLFM	
R_34HPPOR	3242
R_35CGMPtn	
R_3AIBTm	18
R_3AIBtmi	18
R_3DPHBH1	
R_3DPHBH2	
R_3DSPHR	2531
R_3HAO	23498
R_3HBCDm	55268
R_3HBCOAHLm	
R_3HKYNAKGAT	51166 or 883
R_3HLYTCL	1644
R_3HPCOAHYD	26275
R_3HPPD	
R_3HXKYNDCL	1644
R_3HXKYNOXDA	4129 or 4128
R_3M4HDXPAC	222 or 220 or 218 or 221
R_3MLDAt	
R_3MOBt2im	
R_3MOPt2im	
R_3MOX4HOXPGALDOX	221 or 218 or 222 or 220
R_3MOX4HOXPGALDOX_NADP_	221 or 218 or 222 or 220
R_3MOXTYROX	4129 or 4128
R_3NTD7l	51205 or 53 or 54 or 55
R_3SALAASPm	10165 or 8604
R_3SALACBOXL	(2572 and 2571) or 51380
R_3SALAOX	
R_3SALATAi	2805
R_3SALATAim	2806
R_3SPYRSP	
R_3SPYRSPm	
R_41R1H2MAE12BOOX	4129 or 4128
R_41R2A1H12BOOX	4129 or 4128
R_42A12BOOX	(314 and 8639) or 4129 or 26 or 4128
R_4ABUTtm	
R_4HBZCOAFm	
R_4HBZFm	
R_4HDEBRISOQUINEte	
R_4HGLSDm	8659
R_4HOXPACDOX_NADP_	221 or 218 or 222 or 220
R_4MOPt2im	
R_4MPTNLte	
R_4MPTNLtm	
R_4MPTNLtr	
R_4MTOLBUTAMIDEte	
R_4NPHSFte	
R_4NPHSULT	6818 or 6817 or 6799
R_4NPHte	
