Id	Name	ChebiId	PubchemId	Rxns
C15704	['Tubulysin D']	['80036']	['47205030']	[]
C21536	['L-N-Hydroxypolyhomomethionine']	[]	['336445174']	['R11647', 'R11648']
C21514	['D-Proline betaine']	[]	['336445152']	['R11631']
C05199	['Flavodoxin semiquinone']	[]	['7604']	['R04710']
C09399	['Drimenin']	['4715']	['11590']	[]
C09289	['Alantolactone']	['2540']	['11480']	[]
C16712	['Deacetylcolchicine', 'Trimethylcolchicinic acid methyl ether']	['80676']	['96023236']	['R08452', 'R08453']
C09816	['Benzylsuccinate', '(R)-2-Benzylsuccinate']	['16054', '41241']	['12004']	['R05588', 'R05598']
C16655	['2-n-Propyl-4-oxopentanoic acid', '4-Oxovalproic acid', '4-Keto-VPA']	['80641']	['51090979']	['R08330', 'R08333']
C17899	['Isosinomenine']	['81369']	['96024132']	[]
C20781	['2,4-Diketo-3-deoxy-L-fuconate', '2,4-Diketo-3-deoxy-L-rhamnonate', '2,4-Didehydro-3-deoxy-L-rhamnonate']	[]	['254741248']	['R10690', 'R10691', 'R11339']
C01021	['Aromatic amino acid', 'Aromatic L-amino acid']	['33856']	['4266']	['R03120', 'R03121', 'R10621']
C15819	['FK463', 'Micafungin sodium']	['80105']	['47205144']	[]
C12389	['Mithramycin', 'Plicamycin']	['31856']	['582779']	['R09354']
C17519	['Amaroswerin']	['81152']	['96023864']	[]
C06534	['Heroin', 'Diamorphine', 'Diacetylmorphine']	['27808']	['8764']	[]
C03425	['Oleic acid methyl ester', 'Methyl oleate']	['27542']	['6252']	[]
C01799	['D-Norvaline', 'D-2-Aminovaleric acid', 'D-2-Aminopentanoic acid']	['28804']	['4925']	[]
C01118	['O-Succinyl-L-homoserine', 'O4-Succinyl-L-homoserine', 'O-Succinylhomoserine']	['16160']	['4349']	['R00999', 'R01288', 'R01777', 'R02508', 'R03260', 'R04946']
C07949	['Tolcapone']	[]	['10150']	[]
C07459	['Dichlorphenamide', 'Diclofenamide']	['101085']	['9662']	[]
C09628	['Carotol']	['3431']	['11818']	[]
C11781	['6-Acetylmorphine', '6-O-Monoacetylmorphine']	['2168']	['13945']	[]
C12252	['2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-methylbenzamide']	['31077']	['14397']	[]
C05349	['Ciprofloxacin']	['100241']	['7727']	[]
C15199	['3-Ethynyl-5alpha-androstane-3beta,17beta-diol']	['79714']	['17396196']	[]
C00095	['D-Fructose', 'Levulose', 'Fruit sugar', 'D-arabino-Hexulose']	['15824', '37721']	['3395']	['R00307', 'R00760', 'R00801', 'R00803', 'R00806', 'R00865', 'R00866', 'R00867', 'R00868', 'R00870', 'R00872', 'R00873', 'R00874', 'R00875', 'R00876', 'R00877', 'R00878', 'R00879', 'R01140', 'R01823', 'R02120', 'R02410', 'R03232', 'R03635', 'R03921', 'R06034', 'R06036', 'R06052', 'R06066', 'R06087', 'R06100', 'R06101', 'R06208', 'R08406', 'R08407', 'R08548', 'R08651', 'R08676', 'R10817', 'R12349', 'R12527', 'R12528']
C01191	['Dolichyl D-xylosyl phosphate']	['17298']	['4417']	['R01472', 'R03356']
C01649	['tRNA(Pro)']	['29177']	['4798']	['R03661']
C05752	['Octanoyl-[acp]', 'Octanoyl-[acyl-carrier protein]']	['7725']	['8047']	['R04958', 'R04959', 'R04960', 'R07766', 'R08157', 'R12427', 'R12428', 'R12430']
C09919	['Bergenin']	['69499']	['12105']	[]
C21898	['[SoxY protein]-S-sulfanyl-L-cysteine']	[]	['375580990']	['R12096', 'R12164']
C03864	['Ethyl (R)-3-hydroxyhexanoate']	['16641']	['6599']	['R04105']
C19075	['Chloroxuron']	['82200']	['124489747']	[]
C11595	['E3040 glucuronide']	['4733']	['13760']	[]
C15472	['Germanium']	['30443']	['47204990']	[]
C15381	['6alpha,9-Difluoro-11beta-hydroxypregn-4-ene-3,20-dione', '6alpha,9-Difluoro-11beta-hydroxyprogesterone']	['79882']	['17396378']	[]
C07904	['Phendimetrazine']	['8059']	['10106']	[]
C08014	['Levorphanol']	['6444']	['10214']	[]
C12208	['p-Coumaroyl quinic acid', 'trans-5-O-(4-Coumaroyl)-D-quinate']	['15937']	['14353']	['R04342', 'R07432']
C09856	['Carolinianine']	['3430']	['12043']	[]
C19762	['Cyanidin 3-O-(2-O-beta-D-glucuronosyl)-beta-D-glucoside']	[]	['135626229']	['R09635']
C14369	["2,2',3,3',6,6'-Hexachlorobiphenyl", 'PCB 136']	['34199']	['17395369']	[]
C21426	['3-Vinyl bacteriochlorophyllide d']	[]	['329728049']	['R11506']
C17776	['Gambiriin B2']	['81329']	['96024095']	[]
C16791	['Halichondrin B']	['80731']	['96023315']	[]
C02995	["Maltose 6'-phosphate"]	['15703']	['5904']	['R00838', 'R04111', 'R10486']
C10560	['Eucommin A', "Medioresinol 4'-O-beta-D-glucopyranoside"]	['4914']	['12743']	[]
C05979	['Propane-1-ol', 'Propanol', '1-Propanol', 'Propan-1-ol', 'Propyl alcohol', '1-Hydroxypropane', 'Ethylcarbinol', 'n-Propanol', 'n-Propyl alcohol', 'Optal', 'Osmosol extra', 'UN 1274']	['28831']	['8258']	['R02377', 'R05061']
C22096	["2'-Palmitoyl/stearoyl-2-O-sulfo-alpha,alpha-trehalose"]	[]	['384585154']	['R12348']
C17625	['Cinnamtannin A2']	['81227']	['96023969']	[]
C18484	['Pyridalyl']	['38887']	['124489158']	[]
C16847	['Didemnin B']	['68856']	['96023371']	[]
C02797	['3-Oxo-5beta-steroid']	['1624']	['5747']	['R02642']
C02737	['Phosphatidylserine', 'Phosphatidyl-L-serine', '1,2-Diacyl-sn-glycerol 3-phospho-L-serine', '3-O-sn-Phosphatidyl-L-serine', 'O3-Phosphatidyl-L-serine', 'L-1-Phosphatidylserine']	['11750', '18303']	['5698']	['R01800', 'R02055', 'R04034', 'R07376', 'R07377', 'R09035']
C07420	['Pentamidine']	['45081']	['9624']	[]
C05749	['Hexanoyl-[acp]', 'Hexanoyl-[acyl-carrier protein]']	['5704']	['8044']	['R04955', 'R04956', 'R04957', 'R10239']
C10324	['Heliotrine', '9-Heliotrylheliotridine']	['5643']	['12510']	[]
C10394	['Pseudopurpurin']	['8608']	['12580']	[]
C21847	["4'-O-Demethylsordarin"]	[]	[]	['R12012']
C14504	['Di-n-hexyl phthalate', 'Dihexyl 1,2-benzenedicarboxylate', 'Dihexyl phthalate']	['34678']	['17395504']	[]
C15479	['D-Quinovosamine', '2-Amino-2,6-dideoxy-D-glucose']	['59276']	['17396473']	[]
C20402	['Neopentalenolactone D']	[]	['163312139']	['R10155']
C17494	['Turmerone']	['81132']	['96023840']	[]
C01699	['Gibberellin A3', 'Gibberellic acid', 'Gibberellin']	['28833']	['4839']	['R03680', 'R06347', 'R06618']
C08327	['Anthemis glycoside B']	['2748']	['10525']	[]
C17997	['Oxyapramycin']	['81448']	['96024217']	[]
C03195	['(R)-10-Hydroxystearate']	['15683', '33197']	['6072']	['R02813']
C07195	['Vidarabine', '9-beta-D-Arabino furanosyl adenine monohydrate']	['9978']	['9404']	[]
C13249	['Sodium citrate', 'Trisodium citrate dihydrate']	[]	['585993']	[]
C21510	['Nickel-sirohydrochlorin', 'Ni-sirohydrochlorin']	['137678']	['336445148']	['R11626', 'R11627']
C22112	['4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol']	[]	['405226304']	['R12403', 'R12404']
C00713	['Panose']	['7912']	['3979']	[]
C14002	['Lincomycin hydrochloride', 'Lincomycin hydrochloride monohydrate']	['6472']	['854243']	[]
C04382	["Dihydrostreptomycin 3'alpha-phosphate"]	['28703']	['7023']	[]
C20118	['Robustoxin', 'Delta-hexatoxin-Ar1a']	[]	['135626578']	[]
C13587	['Teicoplanin A2-1', 'Teichomycin A2 factor 1']	['34995']	['853949']	[]
C13048	['p-Nitrophenyl-O-ethyl ethylphosphonate', 'Ethyl 4-nitrophenyl ethylphosphonate']	['32353']	['583437']	[]
C11717	['D1927']	['4284']	['13882']	[]
C10727	['Melochinone']	['6738']	['12910']	[]
C00383	['Malonate', 'Malonic acid', 'Propanedioic acid']	['15792', '30794']	['3673']	['R00743', 'R01604', 'R01607', 'R07629', 'R08944', 'R09483', 'R12300']
C08384	['Nonacosane']	['7613']	['10580']	[]
C18615	['Triflumuron', 'Trifluron']	['39388']	['124489289']	[]
C14549	['Triphenylsilanol', 'Triphenylhydroxysilane']	['35035']	['17395549']	[]
C15512	['Phenylacetone', '1-Phenyl-2-propanone']	['52052']	['17396504']	['R07201']
C02711	['N-Acetylhexosamine']	['7203']	['5674']	[]
C12361	['9-Hydroxy-3,5,7,11,13,15,17-octaoxo-nonadecanoyl-[acp]']	['31151']	['582751']	[]
C03317	['alpha-Amino acid ester']	['46874']	['6169']	['R04191']
C12948	['Mazaticol hydrochloride', 'KAO 264']	['31802']	['583337']	[]
C13254	['Mebhydrolin napadisilate', 'Diazoline']	['31803']	['585998']	[]
C14119	['Naphthyl-2-oxomethyl-succinyl-CoA']	['34886']	['854355']	['R06907', 'R06908']
C11553	['[Heparan sulfate]-glucosamine 3-sulfate']	['15981']	['13720']	['R05798']
C14451	['4-Chlorotoluene']	['34401']	['17395451']	[]
C16184	['(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid ethyl ester', 'EPA ethyl ester']	['84883']	['47205492']	[]
C16319	['Etherolenic acid', "(9Z,11E,1'E,3'Z)-12-(1',3'-Hexadienyloxy)-9,11-dodecadienoic acid"]	['80443']	['47205627']	['R07871']
C21522	['Tebipenem']	[]	['336445160']	[]
C19255	['MeIQx', '8-Methyl-IQX', '2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline']	['76604']	['124489927']	[]
C15999	['L-Methionine (S)-S-oxide']	['49031']	['47205310']	['R07606']
C07752	['Alendronic acid', 'Alendronate', '(4-Amino-1-hydroxybutylidene)bisphosphonic acid']	['2567']	['9954']	[]
C20846	['3-Oxo-3-ureidoisobutyrate']	[]	['254741312']	['R10777', 'R10778']
C18804	['Pyrifenox']	['81972']	['124489478']	[]
C03921	['2-Dehydro-3-deoxy-D-glucarate']	['17305']	['6650']	['R03277', 'R08056']
C04755	['Glycoprotein N-acetyl-D-glucosaminyl-phospho-D-mannose']	[]	['7324']	['R04373']
C10915	['Bispyribac']	['3129']	['13098']	[]
C05993	['Acetyl adenylate', "5'-Acetylphosphoadenosine"]	['37666']	['8267']	['R00236', 'R00316', 'R00322']
C10535	['Tephrosin']	['9442']	['12718']	[]
C17038	['Ophiopogonin B']	['80879']	['96023516']	[]
C15705	['Tubulysin E']	['80037']	['47205031']	[]
C19691	['Farnesylcysteine', 'S-(2E,6E)-Farnesyl-L-cysteine', 'S-trans-trans-Farnesylcysteine']	[]	['135626159']	['R09562', 'R09847']
C16350	['Cyanidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)']	['80467']	['47205658']	['R07882']
C11922	['dTDP-4-oxo-2,6-dideoxy-D-glucose', 'dTDP-4-oxo-2,6-dideoxy-alpha-D-glucose', 'dTDP-4-dehydro-2,6-dideoxy-alpha-D-glucose', 'dTDP-4-keto-2,6-dideoxy-D-glucose']	['30940', '85368']	['14083']	['R05526', 'R06446', 'R08597', 'R08930']
C14588	['17beta-Hydroxy-7alpha-methylandrost-4-en-3-one', '7alpha-Methyltestosterone']	['34183']	['17395588']	[]
C18879	['Oxine-copper', 'Copper 8-hydroxyquinoline']	['82028']	['124489551']	[]
C20738	['6-Geranylgeranyl-2,3-dimethylbenzene-1,4-diol']	[]	['254741206']	['R10624', 'R10710']
C13867	['1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(8-(2E,4Z-decadienoyloxy)-5,6-octadienoyl)-sn-glycerol']	['34041']	['854112']	[]
C09123	['Athamantin']	['2905']	['11315']	[]
C22141	['L-beta-Ethynylserine']	[]	['405226332']	['R12412']
C18943	['Prothiocarb']	['82084']	['124489615']	[]
C14088	['3-Methylsalicylate']	['20141']	['854324']	['R06914', 'R06915']
C13891	["1,2-Didodecanoyl-sn-glycero-3-cytidine-5'-diphosphate"]	['34046']	['854136']	[]
C14227	['Di-n-octyl phthalate', 'Bis(n-octyl) phthalate', 'Dioctyl 1,2-benzenedicarboxylate']	['34679']	['7847037']	[]
C04147	['alpha-D-Glucosyl-(1,3)-D-mannose']	['27554']	['6832']	[]
C19294	['Ponceau MX', 'Acid Red 26']	['82369']	['124489966']	[]
C06554	['Cyanuric acid']	['38028']	['8783']	['R05560', 'R05573', 'R06967', 'R06972', 'R12332']
C06561	['Naringenin chalcone', "2',4,4',6'-Tetrahydroxychalcone", 'Isosalipurpol', 'Chalconaringenin']	['15413']	['8790']	['R01613', 'R02446', 'R07224', 'R08003', 'R08006', 'R08013']
C00832	['Paromomycin', 'Paromomycin I', 'Aminosidin', 'Catenulin', 'Hydroxymycin', 'Monomycin A', 'Zygomycin A1', 'Neomycin E']	['7934']	['4090']	['R11286']
C01405	['Aspirin', 'Acetylsalicylic acid', '2-Acetoxybenzenecarboxylic acid', 'Acetylsalicylate']	['15365']	['4594']	['R02942']
C19330	['para-Aramid fibrils', 'Kevlar 49']	['82391']	['124490002']	[]
C02625	['2,4-Dichlorophenol']	['16738']	['5607']	['R03997', 'R05419', 'R10487', 'R10542']
C14799	['(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid']	['33997']	['17395797']	['R07007']
C16870	['Dinophysistoxin 1', 'DTX 1']	['144400']	['135626064']	[]
C12055	['Sulfamycin B']	['29680']	['14210']	[]
C19862	['Cyclic ketone']	[]	['135626329']	['R09742']
C14314	["4',6,7-Trihydroxyisoflavone", '6-Hydroxydaidzein']	['74957']	['17395314']	['R07716', 'R07717']
C01127	['4-Hydroxy-2-oxoglutarate', '4-Hydroxy-2-oxoglutaric acid']	['17742', '30923']	['4358']	['R00470', 'R03266']
C10503	['Medicarpin', '(-)-Medicarpin']	['100']	['12686']	['R02915', 'R06565', 'R07738', 'R07739', 'R07740', 'R07743']
C16308	['Traumatic acid', '(2E)-Dodecenedioic acid', 'Dodec-2-enedioic acid']	['545687']	['47205616']	[]
C01107	['(R)-5-Phosphomevalonate', '(R)-5-Phosphomevaloonic acid', '(R)-Mevalonic acid 5-phosphate']	['17436']	['4339']	['R02245', 'R03245', 'R10561']
C16755	['Aflatoxin G1']	['80706']	['96023279']	['R10483']
C04632	['[Hydroxymethylglutaryl-CoA reductase (NADPH)]']	[]	['7221']	['R04542', 'R04555']
C21973	['Hapalindole U']	[]	['376219006']	['R12165']
