Id	Name	ChebiId	PubchemId	Rxns
G04394	[]	[]	[]	[]
G04535	[]	[]	[]	[]
G05164	[]	[]	[]	[]
G01976	[]	[]	[]	[]
G04508	[]	[]	[]	[]
G04212	[]	[]	[]	[]
G03522	[]	[]	[]	[]
G11611	[]	[]	[]	[]
G05191	[]	[]	[]	[]
G10136	[]	[]	[]	[]
G02220	[]	[]	[]	[]
G03626	[]	[]	[]	[]
G04639	[]	[]	[]	[]
G05199	['GD3 analog']	[]	[]	[]
G08895	[]	[]	[]	[]
G06025	[]	[]	[]	[]
G04408	['Sialyldi-Y-2']	[]	[]	[]
G08107	[]	[]	[]	[]
G02697	[]	[]	[]	[]
G00206	[]	[]	[]	[]
G08669	['Decaisoide A']	[]	[]	[]
G06591	[]	[]	[]	[]
G08582	[]	[]	[]	[]
G13049	[]	[]	[]	[]
G07716	[]	[]	[]	[]
G10291	[]	[]	[]	[]
G02323	[]	[]	[]	[]
G07866	[]	[]	[]	[]
G10194	[]	[]	[]	[]
G05921	[]	[]	[]	[]
G01974	[]	[]	[]	[]
G07978	[]	[]	[]	[]
G09057	[]	[]	[]	[]
G10685	[]	[]	[]	[]
G00456	['Melezitose']	[]	[]	[]
G06275	[]	[]	[]	[]
G08239	[]	[]	[]	[]
G04241	[]	[]	[]	[]
G05486	[]	[]	[]	[]
G01956	[]	[]	[]	[]
G05328	[]	[]	[]	[]
G05406	[]	[]	[]	[]
G00686	[]	[]	[]	[]
G12555	[]	[]	[]	[]
G00986	['LA1']	[]	[]	[]
G06695	['Senegose G']	[]	[]	[]
G04784	[]	[]	[]	[]
G01876	[]	[]	[]	[]
G00893	[]	[]	[]	[]
G07896	[]	[]	[]	[]
G08441	[]	[]	[]	[]
G01543	[]	[]	[]	[]
G04351	[]	[]	[]	[]
G04828	[]	[]	[]	[]
G06597	[]	[]	[]	[]
G06745	[]	[]	[]	[]
G08203	[]	[]	[]	[]
G00467	[]	[]	[]	[]
G04353	[]	[]	[]	[]
G11504	[]	[]	[]	[]
G04024	[]	[]	[]	[]
G00407	[]	[]	[]	[]
G07416	[]	[]	[]	[]
G05940	[]	[]	[]	[]
G10552	[]	[]	[]	['R06173']
G06254	[]	[]	[]	[]
G06263	[]	[]	[]	[]
G10063	[]	[]	[]	[]
G03594	[]	[]	[]	[]
G12824	[]	[]	[]	[]
G04157	[]	[]	[]	[]
G03068	[]	[]	[]	[]
G11933	[]	[]	[]	[]
G09314	[]	[]	[]	[]
G10825	[]	[]	[]	[]
G11602	[]	[]	[]	[]
G01124	[]	[]	[]	[]
G08510	[]	[]	[]	[]
G02380	['Scillasaponin D']	[]	[]	[]
G02301	[]	[]	[]	[]
G08519	[]	[]	[]	[]
G10289	[]	[]	[]	[]
G04636	[]	[]	[]	[]
G12847	[]	[]	[]	[]
G05555	[]	[]	[]	[]
G02075	[]	[]	[]	[]
G01649	[]	[]	[]	[]
G09472	['Aldoligose D']	[]	[]	[]
G01579	['DGD-II']	[]	[]	[]
G12734	[]	[]	[]	[]
G00902	[]	[]	[]	[]
G08597	[]	[]	[]	[]
G07288	[]	[]	[]	[]
G05594	[]	[]	[]	[]
G10772	[]	[]	[]	[]
G12948	['Escherichia coli O55 O-antigen']	[]	[]	[]
G07863	[]	[]	[]	[]
G04270	[]	[]	[]	[]
G10173	[]	[]	[]	[]
G13139	['Escherichia coli O103 O-antigen']	[]	[]	[]
G05932	[]	[]	[]	[]
G03404	[]	[]	[]	[]
G05737	[]	[]	[]	[]
G02458	[]	[]	[]	[]
G06143	[]	[]	[]	[]
G05219	[]	[]	[]	[]
G02162	[]	[]	[]	[]
G08646	[]	[]	[]	[]
G04632	[]	[]	[]	[]
G02343	[]	[]	[]	[]
G07128	[]	[]	[]	[]
G02835	[]	[]	[]	[]
G09527	[]	[]	[]	[]
G02515	[]	[]	[]	['R06135']
G08612	[]	[]	[]	[]
G12957	['Escherichia coli O17 O-antigen']	[]	[]	[]
G11570	[]	[]	[]	[]
G06237	[]	[]	[]	[]
G12666	[]	[]	[]	[]
G00414	[]	[]	[]	[]
G12010	[]	[]	[]	[]
G00247	['Chacotriose', 'Chacotrioside']	[]	[]	[]
G05729	[]	[]	[]	[]
G03453	[]	[]	[]	[]
G06964	[]	[]	[]	[]
G02055	['Levantetraose']	[]	[]	[]
G03415	[]	[]	[]	[]
G08865	[]	[]	[]	[]
G05904	[]	[]	[]	[]
G02546	[]	[]	[]	[]
G08821	[]	[]	[]	[]
G04269	[]	[]	[]	[]
G10628	[]	[]	[]	[]
G12639	[]	[]	[]	[]
G00180	[]	[]	[]	['R05933', 'R05934']
G02146	[]	[]	[]	[]
G01276	[]	[]	[]	[]
G01085	[]	[]	[]	[]
G13119	['Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 'Dec-P-P-GlcNAc-Rha', 'Glycolipid 2', 'GL-2']	[]	[]	['R12077', 'R12078']
G03840	[]	[]	[]	[]
G07255	[]	[]	[]	[]
G00007	[]	[]	[]	['R06261', 'R06262']
G01496	[]	[]	[]	[]
G06155	[]	[]	[]	[]
G07990	[]	[]	[]	[]
G06798	[]	[]	[]	[]
G01126	[]	[]	[]	[]
G05467	[]	[]	[]	[]
G02266	[]	[]	[]	[]
G09308	[]	[]	[]	[]
G07661	[]	[]	[]	[]
G11141	[]	[]	[]	[]
G03694	[]	[]	[]	[]
G05411	[]	[]	[]	[]
G05596	[]	[]	[]	[]
G01035	[]	[]	[]	[]
G00592	[]	[]	[]	[]
G08488	[]	[]	[]	[]
G01280	[]	[]	[]	[]
G08144	[]	[]	[]	[]
G08188	[]	[]	[]	[]
G02696	[]	[]	[]	[]
G03976	[]	[]	[]	[]
G02959	[]	[]	[]	[]
G09242	['RG-II', 'Rhamnogalacturonan II']	[]	[]	[]
G00766	['Anguivine']	[]	[]	[]
