MetaCycId	NcbiId	Uniprot	Accessions	Names	Product	Product_types
|GQT-5776|	829382		['AT4G32470']	['QCR7-1', 'AT4G32470']	['|MONOMERQT-2770|']	[]
|EG11292|			['b3003', 'ECK2997']	['b3003', 'yghA', 'ECK2997']	['|EG11292-MONOMER|']	[]
|G-15929|	1452543		['MJ1634']	['mptE', 'MJ1634']	['|MONOMER-17934|']	[]
|EG12381|			['b2676', 'ECK2670']	['ECK2670', 'nrdF', 'b2676', 'ygaD']	['|NRDF-MONOMER|']	[]
|GQT-5777|			['At3g52730']	['At3g52730', 'QCR9']	['|MONOMERQT-2772|']	[]
|G-3782|			[]	['6DCS_SOYBN']	['|MONOMER-4702|']	['|ENZYME|']
|G-11895|			[]	['VBPO1']	['|MONOMER-15511|']	[]
|G-17797|			['IbF6H2-1-1']	['IbF6H2-1-1', "C2'H"]	['|MONOMER-18295|']	[]
|EG11121|			['b1253', 'ECK1247']	['ECK1247', 'b1253', 'yciA']	['|EG11121-MONOMER|']	[]
|G-11937|			[]	['GABA-TP2']	['|MONOMER-15562|']	[]
|G-12407|			[]	['dhpG']	['|MONOMER-16101|']	[]
|G-58151|			[]	['LOS']	['|MONOMER-20363|']	[]
|G-12278|			[]	['ptxD']	['|MONOMER-15968|']	[]
|EG12015|			['b2134', 'ECK2127']	['yohB', 'pbpG', 'b2134', 'ECK2127']	['|EG12015-MONOMER|']	[]
|G-58137|			[]	['crtYc']	['|MONOMER-20349|']	[]
|G-63044|			[]	['mycA3']	['|MONOMER-20785|']	[]
|EG11045|			['b3831', 'ECK3825']	['udp', 'ECK3825', 'b3831']	['|URPHOS-MONOMER|']	[]
|YGR177C|			['YGR177C']	['YGR177C', 'ATF2']	['|YGR177C-MONOMER|']	[]
|G-1421|			[]	['at2g19450', 'TAG1']	['|MONOMER-2081|']	[]
|HS08619|			[]	['IP6K3', 'INSP6K3', 'IHPK3']	['|HS08619-MONOMER|']	[]
|EG10135|	944775		['b0033', 'ECK0034']	['ECK0034', 'carB', 'pyrA', 'b0033', 'cap']	['|CARBPSYN-LARGE|']	[]
|G-381|			[]	['mtaB']	['|MTABMBARK-MONOMER|']	[]
|EG10556|			['b4032', 'ECK4024']	['malG', 'ECK4024', 'b4032']	['|MALG-MONOMER|']	[]
|G-14888|	4940588		['SACE_0727']	['SACE_0727', 'eryBII']	['|MONOMER-17085|']	[]
|G-11269|			[]	['nagG']	['|MONOMER-14766|']	[]
|G-12326|	1483478		['AF0263']	['ipct/dipps', 'AF0263']	['|MONOMER-16017|']	[]
|G-10240|	5098569		[]	['narI']	['|MONOMER-13450|']	['|ENZYME|']
|HS14553|			[]	['DKFZp762O076', 'TMEM55A']	['|HS14553-MONOMER|']	[]
|G-44623|	1237167		['SM_b21170']	['nitR', 'SM_b21170', 'phnN']	['|MONOMER-19924|']	[]
|G-11790|			[]	['SMT2-2']	['|MONOMER-15392|']	[]
|G-44695|			['SA1195']	['SA1195', 'msrR']	['|MONOMER-19995|']	[]
|EG10422|			['b0104', 'ECK0104']	['b0104', 'ECK0104', 'guaC']	['|GMP-REDUCT-MONOMER|']	[]
|G-80677|			['BLX42_10690']	['pinA', 'BLX42_10690']	['|MONOMER-21161|']	[]
|G-44667|			[]	['tarO']	['|MONOMER-19967|']	[]
|G-12446|	897137		['TM_0237']	['murE', 'TM_0237']	['|MONOMER-16146|']	[]
|G2T-7811|			['HORVU1Hr1G007900']	['HORVU1Hr1G007900', 'CYP79A12']	['|G2T-7811-MONOMER|']	[]
|G-5241|			[]	['PM2', 'CYP71D15']	['|MONOMER-6761|']	['|ENZYME|']
|G-2969|			[]	['mauB']	['|MONOMER-3909|']	['|ENZYME|']
|BSU38510|			['BSU38510']	['ipa-4r', 'dltB', 'BSU38510']	['|BSU38510-MONOMER|']	[]
|G-11801|			[]	['CURS1']	['|MONOMER-15409|']	[]
|G-10099|			[]	['bchE']	['|MONOMER-13265|']	['|ENZYME|']
|G-188|	877080		[]	['atpF']	['|MONOMER-536|']	[]
|HS03819|	1716		[]	['DGUOK', 'DGK']	['|HS03819-MONOMER|']	[]
|EG10032|			['b0474', 'ECK0468']	['b0474', 'plsA', 'dnaW', 'adk', 'ECK0468']	['|ADENYL-KIN-MONOMER|']	[]
|AT4G21990|			[]	['At4g21990', 'APR3']	['|AT4G21990-MONOMER|']	[]
|G-7924|			[]	['BSMT1']	['|MONOMER-10582|']	['|ENZYME|']
|G-10624|			[]	['dhbF']	['|MONOMER-13922|', '|MONOMER-13921|']	['|ENZYME|']
|EG10064|	948464		['b3959', 'ECK3950']	['b3959', 'ECK3950', 'argB']	['|ACETYLGLUTKIN-MONOMER|']	[]
|G185E-6745|	888562		['Rv2509']	['Rv2509', 'Probable short-chain type dehydrogenase/reductase']	['|G185E-6745-MONOMER|']	[]
|G-5701|			[]	["HI4'OMT"]	['|MONOMER-5148|']	['|ENZYME|']
|EG10470|			['b0974', 'ECK0965']	['ECK0965', 'b0974', 'hyaC', 'cybH']	['|HYAC-MONOMER|']	[]
|HS08750|	148789		[]	['B3GALNT2']	['|ENSG00000162885-MONOMER|']	[]
|G6461|			['b0878', 'ECK0869']	['ECK0869', 'ybjY', 'b0878', 'macA']	['|MACA|']	[]
|G-10934|			[]	['lipF', 'GLG6']	['|MONOMER-14342|']	[]
|G-15989|			[]	['A3GT', 'UF3GT1']	['|MONOMER-18000|']	[]
|G-138|			[]	['atpB']	['|MONOMER-682|']	[]
|G-17873|			[]	['gedh']	['|MONOMER-18374|']	[]
|HS13177|	80025		[]	['C20orf48', 'PANK2']	['|HS13177-MONOMER|']	[]
|G3O-4124|			['YMR165C']	['YMR165C', 'PAH1', 'SMP2']	['|G3O-32855-MONOMER|']	[]
|EG10994|			['b1238', 'ECK1233']	['tdk', 'b1238', 'ECK1233']	['|TDK-MONOMER|']	[]
|G-58138|			['BLSMQ_3110']	['BLSMQ_3110', 'crtYd']	['|MONOMER-20350|']	[]
|AT1G68000|			[]	['AtPIS1', 'At1g68000']	['|AT1G68000-MONOMER|']	[]
|G-17967|			['ALOHA_HF130_AEPn_1_06c']	['phnZ', 'ALOHA_HF130_AEPn_1_06c']	['|MONOMER-18485|']	[]
|G-12164|			[]	['lodA']	['|MONOMER-15838|']	[]
|HS13020|	116461		[]	['C1orf19', 'TSEN15', 'SEN15']	['|HS13020-MONOMER|']	[]
|G-54965|			[]	['wbiP']	['|MONOMER-20080|']	[]
|G-742|			[]	['At5g01220', 'SQD2']	['|MONOMER-1202|']	[]
|HS03904|	8869		[]	['ST3GAL5', 'UNQ2510/PRO5998', 'SIAT9']	['|HS03904-MONOMER|']	[]
|G-27143|			[]	['CYP71CB1']	['|MONOMER-18668|']	[]
|EG11529|			['b3933', 'ECK3925']	['b3933', 'msgA', 'ftsN', 'ECK3925']	['|EG11529-MONOMER|']	[]
|G-12238|			[]	['sdgD']	['|MONOMER-15921|']	[]
|G-360|			[]	['cdhD', 'cdhD1']	['|CDHDMSARC-MONOMER|']	[]
