MetaCycId	Uniprot	lSpecies	lCatalyzes	Names	lGenes	Locations	Component_of	Components	Go_terms	modified_form	component_coefficients	appears_in_left_side_of	isozyme_sequence_similarity
|YPL087W-MONOMER|	Q02896	['|TAX-4932|']	['|ENZRXN3O-1623|']	['alkaline dihydroceramidase', 'Protein', 'dihydroceramidase', 'a protein']	['|YPL087W|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-16793|	A6P4T5	['|ORG-6188|']	['|ENZRXN-19505|']	['Protein', 'chitin oligosaccharide deacetylase', 'a protein']	['|G-14632|']	[]	[]	[]	['|GO:0005576|']	[]	[]	[]	[]
|MONOMER-892|	O07456	['|TAX-1076|']	[]	['BadI', 'Protein', 'a protein']	['|G-549|']	[]	['|CPLX-884|']	[]	[]	[]	[]	[]	[]
|MONOMER-14283|	O06925	['|TAX-57040|']	[]	['MadE', 'Protein', 'malonate decarboxylase acyl-carrier protein subunit', 'a protein']	['|G-10903|']	[]	['|CPLX-7676|']	[]	[]	[]	[]	[]	[]
|ENSG00000144647-MONOMER|	Q8NAT1	['|TAX-9606|']	['|ENZRXN-26204|']	['protein <i>O</i>-linked-mannose &beta;-1,4-<i>N</i>-acetylglucosaminyltransferase 2', 'Protein', 'a protein']	['|HS14042|']	[]	[]	[]	['|GO:0097363|', '|GO:0035269|', '|GO:0016757|', '|GO:0016740|', '|GO:0016021|', '|GO:0016020|', '|GO:0008375|', '|GO:0006493|', '|GO:0006486|', '|GO:0005789|', '|GO:0005783|', '|GO:0005515|', '|GO:0001764|']	[]	[]	[]	[]
|MONOMER-14880|	Q8Q0G3	['|TAX-192952|']	['|ENZRXN-16576|']	['adenosylcobinamide amidohydrolase', 'CbiZ', 'Protein', 'a protein']	['|G-11339|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-19328|	S0DLN5	['|TAX-5127|']	['|ENZRXN-23874|']	['Protein', '<i>L</i>-piperideine 6-carboxylate reductase', 'a protein']	['|G-44038|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-17266|	Q2MF64	['|TAX-282216|']	['|ENZRXN-20185|']	["5''-phosphoribosylparomamine phosphatase", 'Protein', 'LivP', 'a protein']	['|G-15052|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-12324|		['|TAX-294|']	[]	['DavB', 'L-lysine monooxygenase subunit', 'Protein', 'a protein']	['|G-9514|']	[]	['|CPLX-7136|']	[]	[]	[]	[]	[]	[]
|METI-MONOMER|	P31547	['|TAX-511145|']	[]	['MetD', 'YaeE', 'Protein', 'a protein', 'L-methionine/D-methionine ABC transporter membrane subunit']	['|EG11737|']	[]	['|METNIQ-METHIONINE-ABC-CPLX|']	[]	['|GO:0055085|', '|GO:1902475|', '|GO:0048473|', '|GO:0055052|', '|GO:0005887|', '|GO:0015191|', '|GO:0048474|', '|GO:0015821|', '|GO:0005515|', '|GO:0005886|', '|GO:0016021|', '|GO:0016020|', '|GO:0006865|']	[]	[]	[]	[]
