gene	uniprotId	AND	OR
['ABCC5', 'MRP5']	['O15440', 'B9EIQ2', 'O14517', 'Q29ZA9', 'Q29ZB1', 'Q86UX3', 'Q86W30', 'Q9UN85', 'Q9UNP5', 'Q9UQC3']	[]	[]
['G3BP1', 'G3BP']	['Q13283', 'Q5HYE9']	['3', 's']	[]
['DKFZp686L1159', 'G3BP', 'hCG_39146']	['Q5U0Q1']	[]	[]
[]	['Q6ZP53']	[]	[]
['SLC25A13', 'ARALAR2']	['Q9UJS0', 'O14566', 'O14575', 'Q546F9', 'Q9NZW1', 'Q9UNI7']	[]	['SLC25A12']
['SLC25A15', 'ORC1', 'ORNT1', 'SP1855']	['Q9Y619', 'Q5VZD8', 'Q9HC45']	[]	['SLC25A2']
[]	['O75414', 'B4DGW7', 'B4DM99', 'Q53HM5', 'Q96E73', 'Q9BQ63']	[]	['NME1-NME2', 'NME4', 'NME3', 'NME2', 'NME1', 'NME7']
['DDX39A', 'DDX39']	['O00148', 'B1Q2N1', 'Q8N5M0', 'Q9BVP6', 'Q9H5W0']	['DDX39B', 's']	[]
['AK6', 'CINAP', 'AD-004', 'CGI-137']	['Q9Y3D8', 'A8MSZ6', 'Q5F2S9']	['s']	[]
['ZMPSTE24', 'FACE1', 'STE24']	['O75844', 'B3KQI7', 'D3DPU7', 'Q8NDZ8', 'Q9UBQ2']	[]	[]
['SLC25A17', 'PMP34']	['O43808', 'A8KA59', 'Q5TFL0', 'Q9UGW8', 'Q9UGY7']	['SLC25A17', 's']	[]
['SLC9A6', 'KIAA0267', 'NHE6']	['Q92581', 'A6NIQ9', 'A8K160', 'B4DU30', 'B7ZAE0', 'Q3ZCW7', 'Q5JPP8', 'Q5JPP9', 'Q86VS0']	[]	['SLC9A7']
[]	['Q92841', 'B1AHM0', 'H3BLZ8', 'Q69YT1', 'Q6ICD6']	['a', 's', 'DDX17']	[]
[]	['O95436', 'A5PL17', 'Q8N2K2', 'Q8WYA9', 'Q9P0V7']	[]	['SLC34A1', 'SLC34A3']
['PAICS', 'ADE2', 'AIRC', 'PAIS']	['P22234', 'E9PDH9', 'Q68CQ5']	[]	[]
['PMVK', 'PMKI']	['Q15126', 'Q5TZW9']	[]	[]
['PMVK', 'hCG_1739272']	['Q6FGV9', 'D3DV77']	[]	[]
[]	['Q15125', 'Q6FGL3', 'Q6IBI9']	[]	[]
['EBP', 'hCG_19812']	['A0A024QYX0']	[]	[]
['SLC17A3', 'NPT4']	['O00476', 'B7WNJ5', 'B7Z511', 'Q8WWC7', 'Q9H533']	[]	['SLC17A2']
['SLC17A3', 'hCG_19117']	['A0A024QZX7']	[]	['SLC17A2']
['MTHFD2', 'NMDMC']	['P13995', 'Q53G90', 'Q53GV5', 'Q53S36', 'Q7Z650']	[]	['MTHFD2L']
['CFTR', 'ABCC7']	['P13569', 'Q20BG8', 'Q20BH2', 'Q2I0A1', 'Q2I102']	['CFTR', '1', 's']	[]
['CFTR', 'hCG_15952']	['A0A024R730']	[]	[]
['RUVBL2', 'INO80J', 'TIP48', 'TIP49B', 'CGI-46']	['Q9Y230', 'B3KQ59', 'E7ETE5', 'Q6FIB9', 'Q6PK27', 'Q9Y361']	['Q9Y265', 'RUVBL2', 'RUVBL1', 's', 'a', 'catalytic']	[]
['SERINC3', 'DIFF33', 'TDE1', 'SBBI99']	['Q13530', 'B4DUE9', 'O43717', 'Q9BR33']	[]	[]
['ASCC3', 'HELIC1']	['Q8N3C0', 'E7EW23', 'O43738', 'Q4G1A0', 'Q5VTN2', 'Q9H1I9', 'Q9H5A2', 'Q9NTR0']	['1', 's']	[]
[]	['B4DR60']	[]	[]
['SLC38A3', 'G17', 'NAT1', 'SN1', 'SNAT3']	['Q99624', 'B2R8Q0', 'Q6IB34']	[]	[]
['SDS', 'SDH']	['P20132', 'A8K9P5']	[]	['SDSL']
[]	['Q8WW81']	[]	['SDSL']
['SLC27A5', 'ACSB', 'ACSVL6', 'FACVL3', 'FATP5']	['Q9Y2P5', 'B3KVP6', 'B4DPQ1']	[]	[]
['SLC27A4', 'ACSVL4', 'FATP4']	['Q6P1M0', 'A8K2F7', 'O95186', 'Q96G53']	[]	['SLC27A1']
['SLC27A4', 'hCG_2039405']	['A0A024R8D2']	[]	['SLC27A1']
['SLC27A3', 'ACSVL3', 'FATP3', 'PSEC0067', 'UNQ367/PRO703']	['Q5K4L6', 'Q5VUQ7', 'Q5VUQ8', 'Q5VUR3', 'Q6ZV16', 'Q8N2X7', 'Q8TEJ0', 'Q96SW5', 'Q9BTJ5', 'Q9BTY5']	[]	[]
['SLC27A3', 'hCG_19279']	['X6R3N0']	[]	[]
['SLC27A2', 'ACSVL1', 'FACVL1', 'FATP2', 'VLACS']	['O14975', 'A8K2J7', 'Q53FY6', 'Q6PF09']	[]	[]
[]	['O14646', 'Q17RZ3']	['s']	[]
[]	['B3KT33']	[]	[]
[]	['O14647', 'C6G482', 'Q96IP5']	['s']	[]
[]	['Q12873', 'D3DTQ9', 'E9PG89', 'Q9Y4I0']	['CHD3', 'CHD4', 'Q14839', 's']	[]
[]	['B3KWV4']	[]	[]
[]	['Q2TAZ1']	[]	[]
[]	['Q14839', 'Q8IXZ5']	['CHD3', 'Q12873', 's', 'a', 'CHD4']	[]
['SLC7A9', 'BAT1']	['P82251', 'B2R9A6']	['s']	[]
['SLC2A6', 'GLUT6']	['Q9UGQ3', 'A6NNU6', 'Q5SXD7', 'Q8NCC2']	[]	[]
['DDX20', 'DP103', 'GEMIN3']	['Q9UHI6', 'B4DWV7', 'Q96F72', 'Q9NVM3', 'Q9UF59', 'Q9UIY0', 'Q9Y659']	['DDX20', 's']	[]
[]	['Q9H4N4']	[]	[]
[]	['Q9Y2D0', 'A8K4T5']	[]	['CA9', 'CA7', 'CA6', 'CA5A', 'CA3', 'CA1', 'CA13']
['CA5B', 'hCG_1982002']	['A0A024RBW9']	[]	['CA9', 'CA7', 'CA6', 'CA5A', 'CA3', 'CA1', 'CA13']
['DDX19B', 'DBP5', 'DDX19', 'TDBP']	['Q9UMR2', 'B3KNE9', 'B4DXS6', 'E7EMK4', 'Q6FIB7', 'Q6IAE0', 'Q96KE7', 'Q9H0U0']	['a', 's']	['DDX19A']
[]	['A0A0U4B4U6']	[]	['DDX19A']
['SLCO2B1', 'KIAA0880', 'OATP2B1', 'OATPB', 'SLC21A9']	['O94956', 'A8K2G9', 'B4DGA9', 'B4DTB0', 'E7ERN5', 'E9PPU8', 'Q9H2Z0', 'Q9UFU1']	[]	[]
['SLCO2B1', 'hCG_27402']	['A0A024R5I4']	[]	[]
['SLC46A1', 'HCP1', 'PCFT']	['Q96NT5', 'Q1HE20', 'Q86T92', 'Q8TEG3', 'Q96FL0']	[]	[]
['HCP1', 'hCG_31812']	['A0A024QZ15']	[]	[]
[]	['Q86XP3', 'A6NML1', 'A8KA43', 'O75619', 'Q68G51', 'Q96BK1', 'Q96HR7', 'Q9Y3V8']	['s']	[]
['HELQ', 'HEL308']	['Q8TDG4', 'Q05DF9', 'Q502W9', 'Q659B8', 'Q6ZQX4', 'Q6ZTS4', 'Q96EX7']	['s']	[]
[]	['Q96GA7']	[]	['SDS']
['SDSL', 'hCG_40375']	['A0A024RBL2']	[]	['SDS']
