Rxn	Genes
R_Ex_biomass	[]
R_Ex_glucose	[['6513'], ['6514'], ['81031'], ['6517'], ['154091'], ['11182'], ['29988'], ['144195'], ['6515'], ['6524'], ['91749'], ['50651'], ['125206'], ['200010'], ['6527']]
R_Ex_lactateL	[['366'], ['6566'], ['9121'], ['151473'], ['162515'], ['387700'], ['9120'], ['220963'], ['201232'], ['9194'], ['9123'], ['9122'], ['23539'], ['9390'], ['387775'], ['387601'], ['160728'], ['159963']]
R_Ex_O2	[]
R_Ex_glutamine	[['7504'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['10991'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6510'], ['84889'], ['6542'], ['11136'], ['23428'], ['56301'], ['9056'], ['9057'], ['8140']]
R_Ex_Palmitate	[['6566'], ['9121'], ['151473'], ['162515'], ['387700'], ['9120'], ['220963'], ['201232'], ['9194'], ['9123'], ['9122'], ['387775'], ['387601'], ['159963'], ['7350'], ['5243'], ['5825'], ['215'], ['225'], ['10999'], ['28965'], ['11000'], ['10998'], ['11001'], ['376497'], ['2806'], ['948']]
R_Ex_glutamate	[['5663'], ['57030'], ['57084'], ['246213'], ['55867'], ['6582'], ['7504'], ['121260'], ['6565'], ['6564'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6505'], ['6512'], ['6507'], ['6506'], ['6511'], ['6510'], ['8604'], ['10165'], ['79751'], ['83733'], ['9016'], ['253512'], ['84889'], ['6542'], ['23657'], ['6520'], ['11136'], ['56301'], ['9056'], ['9057'], ['157724'], ['8140'], ['64849'], ['9058'], ['284111'], ['11309'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]
R_Ex_arginines	[['5663'], ['6582'], ['7504'], ['121260'], ['6565'], ['6564'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6510'], ['83884'], ['123096'], ['84889'], ['6542'], ['6541'], ['11136'], ['56301'], ['9056'], ['9057'], ['8140'], ['54896'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]
R_Ex_folate	[['113235'], ['81034'], ['9016'], ['253512'], ['64849'], ['9058'], ['284111'], ['6573'], ['9429'], ['10057'], ['4363']]
R_Ex_urea	[['6563'], ['8170'], ['364']]
R_Ex_NH3	[['8645'], ['51458'], ['57127'], ['6005'], ['6006'], ['6007'], ['343'], ['361']]
R_Ex_citratec	[['89874'], ['6576'], ['9058'], ['284111']]
R_Ex_Carnitine	[['85413'], ['6582'], ['1374']]
