Rxn	Genes	GPR rule
R_Ex_biomass	[]	
R_Ex_glucose	[['6513'], ['6514'], ['81031'], ['6517'], ['154091'], ['11182'], ['29988'], ['144195'], ['6515'], ['6524'], ['91749'], ['50651'], ['125206'], ['200010'], ['6527']]	6514 or 50651 or 81031 or 154091 or 6515 or 29988 or 144195 or 125206 or 6524 or 200010 or 6527 or 11182 or 6517 or 6513 or 91749
R_Ex_lactateL	[['366'], ['6566'], ['9121'], ['151473'], ['162515'], ['387700'], ['9120'], ['220963'], ['201232'], ['9194'], ['9123'], ['9122'], ['23539'], ['9390'], ['387775'], ['387601'], ['160728'], ['159963']]	159963 or 9120 or 220963 or 160728 or 9390 or 9194 or 9123 or 9122 or 201232 or 23539 or 387700 or 162515 or 151473 or 366 or 6566 or 387601 or 387775 or 9121
R_Ex_O2	[]	
R_Ex_glutamine	[['7504'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['10991'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6510'], ['84889'], ['6542'], ['11136'], ['23428'], ['56301'], ['9056'], ['9057'], ['8140']]	(8140 and 6510) or 9057 or 120103 or 124565 or 153129 or 9056 or 84889 or 146167 or 55238 or 145389 or 10991 or 92745 or 55089 or 6542 or 151258 or 7504 or 56301 or 206358 or 54868 or 140679 or 54716 or 23428 or 81539 or 285641 or 54407 or 11136 or 153201
R_Ex_Palmitate	[['6566'], ['9121'], ['151473'], ['162515'], ['387700'], ['9120'], ['220963'], ['201232'], ['9194'], ['9123'], ['9122'], ['387775'], ['387601'], ['159963'], ['7350'], ['5243'], ['5825'], ['215'], ['225'], ['10999'], ['28965'], ['11000'], ['10998'], ['11001'], ['376497'], ['2806'], ['948']]	(28965 and (162515 or 6566 or 9194 or 387700)) or 5825 or 9120 or 220963 or 376497 or 9123 or 201232 or 10999 or 215 or 11001 or 2806 or 387775 or 159963 or 10998 or 9121 or 7350 or 9122 or 948 or 225 or 151473 or 387601 or 11000 or 5243
R_Ex_glutamate	[['5663'], ['57030'], ['57084'], ['246213'], ['55867'], ['6582'], ['7504'], ['121260'], ['6565'], ['6564'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6505'], ['6512'], ['6507'], ['6506'], ['6511'], ['6510'], ['8604'], ['10165'], ['79751'], ['83733'], ['9016'], ['253512'], ['84889'], ['6542'], ['23657'], ['6520'], ['11136'], ['56301'], ['9056'], ['9057'], ['157724'], ['8140'], ['64849'], ['9058'], ['284111'], ['11309'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((567 and 3105 and 3117 and 6520) or (6890 and 3105 and 6892) or (3119 and 6510 and 3117) or (3119 and 6892 and 3117) or (3119 and 3105 and 6520) or (6506 and 3119 and 3117) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3105 and 8140 and 6520) or (8140 and 5663) or (6506 and 8140) or (8140 and 6510) or (8140 and 6892) or (3117 and 972)) or 120103 or 121260 or 153129 or 79751 or 64849 or 284111 or 23657 or 92745 or 11309 or 54716 or 81539 or 6564 or 8604 or 25825 or 6565 or 6507 or 23457 or 6505 or 55238 or 6511 or 6542 or 7504 or 157724 or 206358 or 54868 or 6382 or 10165 or 54407 or 6512 or 11136 or 57084 or 9056 or 84889 or 146167 or 145389 or 56301 or 140679 or 9016 or 285641 or 5243 or 10269 or 9058 or 9057 or 124565 or 246213 or 6582 or 55867 or 253512 or 55089 or 151258 or 57030 or 177 or 83733 or 153201
R_Ex_arginines	[['5663'], ['6582'], ['7504'], ['121260'], ['6565'], ['6564'], ['54868'], ['140679'], ['145389'], ['146167'], ['55238'], ['81539'], ['92745'], ['124565'], ['55089'], ['151258'], ['54407'], ['285641'], ['120103'], ['153201'], ['206358'], ['153129'], ['54716'], ['6510'], ['83884'], ['123096'], ['84889'], ['6542'], ['6541'], ['11136'], ['56301'], ['9056'], ['9057'], ['8140'], ['54896'], ['5243'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((3105 and 567 and 3117) or (6890 and 3105 and 6892) or (3119 and 6510 and 3117) or (3119 and 6892 and 3117) or (3119 and 3105 and 6892) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3105 and 8140 and 6892) or (8140 and 5663) or (8140 and 6510) or (3117 and 972)) or 120103 or 121260 or 153129 or 9056 or 84889 or 146167 or 145389 or 83884 or 92745 or 56301 or 123096 or 140679 or 54716 or 6541 or 81539 or 285641 or 6564 or 5243 or 10269 or 9057 or 124565 or 25825 or 6565 or 6582 or 23457 or 55238 or 55089 or 6542 or 54896 or 151258 or 7504 or 206358 or 54868 or 6382 or 54407 or 177 or 11136 or 153201
R_Ex_folate	[['113235'], ['81034'], ['9016'], ['253512'], ['64849'], ['9058'], ['284111'], ['6573'], ['9429'], ['10057'], ['4363']]	81034 or 9058 or 4363 or 113235 or 9016 or 253512 or 64849 or 10057 or 284111 or 9429 or 6573
R_Ex_urea	[['6563'], ['8170'], ['364']]	8170 or 364 or 6563
