GeneId	Rxns
YAL068C	[]
YAL067W-A	[]
YAL067C	[]
YAL065C	[]
YAL064W-B	[]
YAL064C-A	[]
YAL064W	[]
YAL063C-A	[]
YAL063C	[]
YAL062W	['R00248']
YAL061W	['R02855', 'R02946', 'R10504']
YAL060W	['R02855', 'R02946', 'R10504']
YAL059W	[]
YAL058W	[]
YAL056W	[]
YAL055W	[]
YAL054C	['R00926', 'R00316', 'R01354', 'R00925', 'R00236', 'R00235']
YAL053W	[]
YAL051W	[]
YAL049C	[]
YAL048C	[]
YAL047C	[]
YAL046C	[]
YAL044W-A	[]
YAL044C	['R01221']
YAL043C	[]
YAL042W	[]
YAL041W	[]
YAL040C	[]
YAL039C	['R02480']
YAL038W	['R01138', 'R01858', 'R00430', 'R00200', 'R02320']
YAL037C-A	[]
YAL037W	[]
YAL036C	[]
YAL035W	[]
YAL034W-A	[]
YAL034C	[]
YAL033W	[]
YAL032C	[]
YAL031C	[]
YAL030W	[]
YAL029C	[]
YAL028W	[]
YAL027W	[]
YAL026C	[]
HRA1	[]
YAL025C	[]
YAL024C	[]
YAL023C	['R07620', 'R04072', 'R11399']
YAL022C	[]
YAL021C	[]
YAL020C	[]
YAL019W	[]
YAL018C	[]
YAL017W	[]
YAL016W	[]
YAL015C	[]
YAL014C	[]
YAL013W	[]
YAL012W	['R09366', 'R02408', 'R04770', 'R04930', 'R00782', 'R01001']
YAL011W	[]
YAL010C	[]
YAL009W	[]
YAL008W	[]
YAL007C	[]
tP_UGG_A	[]
YAL005C	[]
YAL003W	[]
snR18	[]
YAL002W	[]
YAL001C	[]
YAR002W	[]
YAR002C-A	[]
YAR003W	[]
YAR007C	[]
YAR008W	[]
YAR009C	[]
YAR010C	[]
tA_UGC_A	[]
YAR014C	[]
YAR015W	['R04591']
YAR018C	[]
YAR019C	[]
YAR020C	[]
YAR023C	[]
tL_CAA_A	[]
tS_AGA_A	[]
YAR027W	[]
YAR028W	[]
YAR029W	[]
YAR031W	[]
YAR033W	[]
YAR035W	[]
YAR035C-A	[]
YAR042W	[]
YAR050W	[]
YAR064W	[]
YAR066W	[]
YAR068W	[]
YAR071W	['R00548', 'R02135']
YBL113C	[]
YBL112C	[]
YBL111C	[]
YBL108C-A	[]
tL_UAA_B1	[]
YBL107C	[]
YBL106C	[]
YBL105C	[]
YBL104C	[]
YBL103C	[]
YBL102W	[]
YBL101C	[]
YBL100W-C	[]
YBL100W-B	[]
YBL100W-A	[]
tF_GAA_B	[]
YBL099W	[]
YBL098W	['R01960']
YBL097W	[]
YBL095W	[]
YBL093C	[]
YBL092W	[]
YBL091C-A	[]
YBL091C	[]
YBL090W	[]
YBL089W	[]
YBL088C	[]
YBL087C	[]
YBL086C	[]
YBL085W	[]
YBL084C	[]
YBL082C	['R06258']
YBL081W	[]
YBL080C	[]
YBL079W	[]
YBL078C	[]
YBL076C	[]
YBL075C	[]
YBL074C	[]
snR56	[]
YBL072C	[]
YBL071C-B	[]
YBL071W-A	[]
YBL071C	[]
YBL069W	[]
YBL068W	['R01049']
YBL067C	[]
YBL066C	[]
YBL064C	['R12578']
YBL063W	[]
YBL061C	[]
YBL060W	[]
YBL059C-A	[]
YBL059W	[]
YBL058W	[]
YBL057C	[]
YBL056W	[]
YBL055C	[]
YBL054W	[]
YBL052C	[]
YBL051C	[]
YBL050W	[]
YBL049W	[]
YBL048W	[]
YBL047C	[]
YBL046W	[]
YBL045C	[]
YBL044W	[]
YBL043W	[]
YBL042C	[]
YBL041W	[]
YBL040C	[]
YBL039W-B	[]
YBL039C	['R00573', 'R00571']
YBL038W	[]
YBL037W	[]
YBL036C	[]
YBL035C	[]
YBL034C	[]
YBL033C	['R00425']
YBL032W	[]
YBL031W	[]
YBL030C	[]
YBL029C-A	[]
YBL029W	[]
YBL028C	[]
YBL027W	[]
YBL026W	[]
YBL025W	[]
YBL024W	[]
YBL023C	[]
YBL022C	[]
YBL021C	[]
YBL020W	[]
YBL019W	[]
YBL018C	[]
YBL017C	[]
YBL016W	[]
YBL015W	['R00227']
tI_AAU_B	[]
tG_GCC_B	[]
YBL014C	[]
YBL013W	['R03940']
YBL011W	['R09380', 'R00851']
YBL010C	[]
YBL009W	[]
YBL008W-A	[]
YBL008W	[]
YBL007C	[]
YBL006C	[]
YBL005W	[]
YBL005W-B	[]
YBL005W-A	[]
tS_AGA_B	[]
YBL004W	[]
YBL003C	[]
YBL002W	[]
YBL001C	[]
YBR001C	['R00010']
YBR002C	['R05556']
YBR003W	['R09245', 'R09246']
YBR004C	[]
YBR005W	[]
YBR006W	['R00713', 'R00714', 'R02401']
YBR007C	[]
YBR008C	[]
YBR009C	[]
YBR010W	[]
YBR011C	[]
YBR012W-B	[]
YBR012W-A	[]
YBR013C	[]
tT_AGU_B	[]
YBR014C	[]
YBR015C	[]
YBR016W	[]
YBR017C	[]
YBR018C	['R00955']
YBR019C	['R00291', 'R10619', 'R02984', 'R01602']
YBR020W	['R01092']
YBR021W	[]
YBR022W	[]
YBR023C	['R02335', 'R06028']
YBR024W	[]
YBR025C	[]
YBR026C	['R01404', 'R04725', 'R07162', 'R04962', 'R06985', 'R04753', 'R03856', 'R01278', 'R03989', 'R04956', 'R03776', 'R04430', 'R04967', 'R04959', 'R04970']
YBR027C	[]
YBR028C	[]
YBR029C	['R01799']
YBR030W	[]
YBR031W	[]
YBR032W	[]
YBR033W	[]
YBR034C	[]
YBR035C	['R01710', 'R00277', 'R00278', 'R01711']
snR161	[]
TLC1	[]
YBR036C	[]
YBR037C	[]
YBR038W	['R02335', 'R06028']
YBR039W	[]
YBR040W	[]
YBR041W	[]
YBR042C	[]
YBR043C	[]
YBR044C	[]
tV_UAC_B	[]
YBR045C	[]
YBR046C	[]
YBR047W	[]
YBR048W	[]
YBR049C	[]
YBR050C	[]
YBR052C	['R03643', 'R02964', 'R03816']
YBR053C	[]
YBR054W	[]
YBR055C	[]
tL_UAA_B2	[]
YBR056W	[]
tQ_UUG_B	[]
YBR056W-A	[]
YBR057C	[]
