RxnId	EC number
R00248	['K00262', '1.1.1.4', 'K00262', '1.17.1.9']
R02855	['K00004', 'K00004', 'K00004', 'K00004']
R02946	['K00004', 'K00004', 'K00004', 'K00004']
R10504	['K00004', '1.1.1.303', 'K00004', '1.1.1.4', 'K00004', '1.1.1.303', 'K00004', '6.2.1.1']
R00235	['K01895', 'K01895']
R00236	['K01895', 'K01895']
R00316	['K01895', 'K01895']
R00925	['K01895', 'K01895']
R00926	['K01895', 'K01895']
R01354	['K01895', 'K01895', '3.5.1.1']
R01221	['K02437', '4.4.1.17', 'K00605', 'K00382', 'K00281']
R02480	['K01764', '2.7.1.40', 'K01764', '1.1.1.37']
R00200	['K00873', 'K00873']
R00430	['K00873', 'K00873']
R01138	['K00873', 'K00873']
R01858	['K00873', 'K00873']
R02320	['K00873', '2.4.1.109', 'K00873', '3.1.4.17']
R04072	['K00728', 'K00728', 'K00728', 'K00728', 'K00728', 'K00728', 'K00728']
R07620	['K00728', 'K00728', 'K00728', 'K00728', 'K00728', 'K00728', 'K00728']
R11399	['K00728', '4.4.1.1', 'K00728', '2.4.1.109', 'K00728', '2.5.1.58', 'K00728', '2.7.1.158', 'K00728', '2.7.7.15', 'K00728', '2.6.1.42', 'K00728', '1.2.1.41']
R00782	['K01758', 'K01760', 'K01760']
R01001	['K01758']
R02408	['K01758', 'K01760', 'K01760']
R04770	['K01758']
R04930	['K01758']
R09366	['K01758', '6.3.2.6']
R04591	['K01923', '3.1.3.2']
R00548	['K23458', 'K01078', 'K23458', 'K01078', 'K23458', 'K14394', 'K14394']
R02135	['K23458', '1.14.13.9', 'K01078', '3.1.3.2', 'K23458', '2.4.1.142', 'K01078', '1.1.1.8', 'K01077', 'K23458', '1.1.1.205', 'K14394', '3.1.3.48', 'K14394', '2.2.1.1']
R01960	['K00486', '2.4.1.258']
R06258	['K03845', '2.7.6.1']
R01049	['K00948', '1.11.1.25', 'K00948', '1.17.99.9', 'K00948', '2.3.1.297', '2.3.1.297', 'K00948', '5.4.2.11', 'K00948', '1.1.1.8']
R12578	['K24137', '1.11.1.27', 'K24137', '6.3.4.2']
R00571	['K01937', 'K01937']
R00573	['K01937', '3.5.4.25', 'K01937', '2.7.1.20']
R00425	['K01497', '3.1.2.1']
R00227	['K01067', '2.1.2.9']
R03940	['K00604', '2.3.1.15']
R00851	['K13507', 'K13507', 'K13507', 'K13507']
R09380	['K13507', '2.3.1.42', 'K13507', '3.2.1.28', 'K13507', '2.3.1.42', 'K13507', '2.1.1.107']
R00010	['K01194', '2.5.1.87', 'K01194', '5.3.1.24', 'K01194', '6.3.1.2']
R05556	['K11778', '2.5.1.82', 'K19177', '2.3.3.14', 'K11778', '5.4.2.2']
R09245	['K05355', 'K05355']
R09246	['K05355', '2.5.1.83', 'K05355', '1.2.1.16']
R00713	['K00135', 'K00135', 'K00135']
R00714	['K00135', 'K00135', 'K00135']
R02401	['K00135', '1.2.1.79', 'K00135', '1.2.1.20', 'K00135', '3.6.1.1']
