RxnId	Equation	Definition
R00248	C00025 + C00006 + C00001 <=> C00026 + C00014 + C00005 + C00080	L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+
R02855	C00810 + C00003 <=> C00741 + C00004 + C00080	(R)-Acetoin + NAD+ <=> Diacetyl + NADH + H+
R02946	C03044 + C00003 <=> C00810 + C00004 + C00080	(R,R)-Butane-2,3-diol + NAD+ <=> (R)-Acetoin + NADH + H+
R10504	C20657 + C00003 <=> C01769 + C00004 + C00080	meso-2,3-Butanediol + NAD+ <=> (S)-Acetoin + NADH + H+
R00235	C00002 + C00033 + C00010 <=> C00020 + C00013 + C00024	ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA
R00236	C05993 + C00010 <=> C00020 + C00024	Acetyl adenylate + CoA <=> AMP + Acetyl-CoA
R00316	C00002 + C00033 <=> C00013 + C05993	ATP + Acetate <=> Diphosphate + Acetyl adenylate
R00925	C00002 + C00163 + C00010 <=> C00020 + C00013 + C00100	ATP + Propanoate + CoA <=> AMP + Diphosphate + Propanoyl-CoA
R00926	C05983 + C00010 <=> C00020 + C00100	Propionyladenylate + CoA <=> AMP + Propanoyl-CoA
R01354	C00002 + C00163 <=> C00013 + C05983	ATP + Propanoate <=> Diphosphate + Propionyladenylate
R01221	C00037 + C00101 + C00003 <=> C00143 + C00014 + C00011 + C00004 + C00080	Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH + H+
R02480	C00524 <=> C02248 + C00032	Cytochrome c <=> Apocytochrome c + Heme
R00200	C00002 + C00022 <=> C00008 + C00074	ATP + Pyruvate <=> ADP + Phosphoenolpyruvate
R00430	C00044 + C00022 <=> C00035 + C00074	GTP + Pyruvate <=> GDP + Phosphoenolpyruvate
R01138	C00131 + C00022 <=> C00206 + C00074	dATP + Pyruvate <=> dADP + Phosphoenolpyruvate
R01858	C00286 + C00022 <=> C00361 + C00074	dGTP + Pyruvate <=> dGDP + Phosphoenolpyruvate
R02320	C00201 + C00022 <=> C00454 + C00074	Nucleoside triphosphate + Pyruvate <=> NDP + Phosphoenolpyruvate
R04072	C03862 + C02189 <=> C00110 + C02863	Dolichyl phosphate D-mannose + [Protein]-L-serine <=> Dolichyl phosphate + 3-O-(alpha-D-Mannosyl)-L-serinyl-[protein]
R07620	G10617 + C02189 <=> G10622 + G13027	Dolichyl phosphate D-mannose + [Protein]-L-serine <=> Dolichyl phosphate + G13027
R11399	C03862 + C19803 <=> C00110 + C20722	Dolichyl phosphate D-mannose + [Protein]-L-threonine <=> Dolichyl phosphate + 3-O-(alpha-D-Mannosyl)-L-threonyl-[protein]
R00782	C00097 + C00001 <=> C00283 + C00022 + C00014	L-Cysteine + H2O <=> Hydrogen sulfide + Pyruvate + Ammonia
R01001	C02291 + C00001 <=> C00097 + C00014 + C00109	L-Cystathionine + H2O <=> L-Cysteine + Ammonia + 2-Oxobutanoate
R02408	C00491 + C00001 <=> C00022 + C00014 + C01962	L-Cystine + H2O <=> Pyruvate + Ammonia + Thiocysteine
R04770	C05335 + C00001 <=> C05703 + C00014 + C00109	L-Selenomethionine + H2O <=> Methaneselenol + Ammonia + 2-Oxobutanoate
R04930	C05699 + C00001 <=> C05688 + C00014 + C00109	L-Selenocystathionine + H2O <=> L-Selenocysteine + Ammonia + 2-Oxobutanoate
R09366	C05689 + C00001 <=> C00022 + C00014 + C05703	Se-Methyl-L-selenocysteine + H2O <=> Pyruvate + Ammonia + Methaneselenol
R04591	C00002 + C04751 + C00049 <=> C00008 + C00009 + C04823	ATP + 1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate + L-Aspartate <=> ADP + Orthophosphate + 1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole
R00548	C00061 + C00001 <=> C00255 + C00009	FMN + H2O <=> Riboflavin + Orthophosphate
R02135	C01081 + C00001 <=> C00378 + C00009	Thiamin monophosphate + H2O <=> Thiamine + Orthophosphate
R01960	C00328 + C00007 + C00005 + C00080 <=> C03227 + C00006 + C00001	L-Kynurenine + Oxygen + NADPH + H+ <=> 3-Hydroxy-L-kynurenine + NADP+ + H2O
R06258	G10617 + G00006 <=> G10622 + G10595	Dolichyl phosphate D-mannose + G00006 <=> Dolichyl phosphate + G10595
R01049	C00002 + C00117 <=> C00020 + C00119	ATP + D-Ribose 5-phosphate <=> AMP + 5-Phospho-alpha-D-ribose 1-diphosphate
R12578	2 C00051 + C15498 <=> C00127 + C00001 + C01335	2 Glutathione + ROOH <=> Glutathione disulfide + H2O + ROH
R00571	C00002 + C00075 + C00014 <=> C00008 + C00009 + C00063	ATP + UTP + Ammonia <=> ADP + Orthophosphate + CTP
R00573	C00002 + C00075 + C00064 + C00001 <=> C00008 + C00009 + C00063 + C00025	ATP + UTP + L-Glutamine + H2O <=> ADP + Orthophosphate + CTP + L-Glutamate
R00425	C00044 + 3 C00001 <=> C00058 + C01304 + C00013	GTP + 3 H2O <=> Formate + 2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + Diphosphate
R00227	C00024 + C00001 <=> C00010 + C00033	Acetyl-CoA + H2O <=> CoA + Acetate
R03940	C02430 + C00234 <=> C00101 + C03294	L-Methionyl-tRNA + 10-Formyltetrahydrofolate <=> Tetrahydrofolate + N-Formylmethionyl-tRNA
R00851	C00093 + C00040 <=> C00681 + C00010	sn-Glycerol 3-phosphate + Acyl-CoA <=> 1-Acyl-sn-glycerol 3-phosphate + CoA
R09380	C00173 + C00093 <=> C00681 + C00229	Acyl-[acyl-carrier protein] + sn-Glycerol 3-phosphate <=> 1-Acyl-sn-glycerol 3-phosphate + Acyl-carrier protein
R00010	C01083 + C00001 <=> 2 C00031	alpha,alpha-Trehalose + H2O <=> 2 D-Glucose
R05556	C00448 + n C00129 <=> C05859 + n C00013	trans,trans-Farnesyl diphosphate + n Isopentenyl diphosphate <=> Dehydrodolichol diphosphate + n Diphosphate
R09245	C00448 + 3 C00129 <=> C01230 + 3 C00013	trans,trans-Farnesyl diphosphate + 3 Isopentenyl diphosphate <=> all-trans-Hexaprenyl diphosphate + 3 Diphosphate
R09246	C00353 + 2 C00129 <=> C01230 + 2 C00013	Geranylgeranyl diphosphate + 2 Isopentenyl diphosphate <=> all-trans-Hexaprenyl diphosphate + 2 Diphosphate
R00713	C00232 + C00003 + C00001 <=> C00042 + C00004 + C00080	Succinate semialdehyde + NAD+ + H2O <=> Succinate + NADH + H+
R00714	C00232 + C00006 + C00001 <=> C00042 + C00005 + C00080	Succinate semialdehyde + NADP+ + H2O <=> Succinate + NADPH + H+
R02401	C03273 + C00003 + C00001 <=> C00489 + C00004 + C00080	5-Oxopentanoate + NAD+ + H2O <=> Glutarate + NADH + H+
R00955	C00029 + C00446 <=> C00103 + C00052	UDP-glucose + alpha-D-Galactose 1-phosphate <=> D-Glucose 1-phosphate + UDP-alpha-D-galactose
R00291	C00029 <=> C00052	UDP-glucose <=> UDP-alpha-D-galactose
R02984	C00842 <=> C02097	dTDP-glucose <=> dTDP-galactose
R01602	C00267 <=> C00221	alpha-D-Glucose <=> beta-D-Glucose
R10619	C00124 <=> C00984	D-Galactose <=> alpha-D-Galactose
R01092	C00002 + C00984 <=> C00008 + C00446	ATP + alpha-D-Galactose <=> ADP + alpha-D-Galactose 1-phosphate
R02335	C00043 + C00461 <=> C00015 + C00461	UDP-N-acetyl-alpha-D-glucosamine + Chitin <=> UDP + Chitin
R06028	G10483(n) + G10610 <=> G10483(n+1) + G10619	beta-1,4-Poly-N-acetyl-D-glucosamine(n) + UDP-N-acetyl-D-glucosamine <=> beta-1,4-Poly-N-acetyl-D-glucosamine(n+1) + UDP
R01278	C00154 + C00006 <=> C05272 + C00005 + C00080	Palmitoyl-CoA + NADP+ <=> trans-Hexadec-2-enoyl-CoA + NADPH + H+
R01404	C00173 + C00006 <=> C00693 + C00005 + C00080	Acyl-[acyl-carrier protein] + NADP+ <=> trans-2,3-Dehydroacyl-[acyl-carrier protein] + NADPH + H+
R03776	C01944 + C00006 <=> C05276 + C00005 + C00080	Octanoyl-CoA + NADP+ <=> trans-Oct-2-enoyl-CoA + NADPH + H+
R03856	C01832 + C00006 <=> C03221 + C00005 + C00080	Lauroyl-CoA + NADP+ <=> 2-trans-Dodecenoyl-CoA + NADPH + H+
R03989	C02593 + C00006 <=> C05273 + C00005 + C00080	Tetradecanoyl-CoA + NADP+ <=> trans-Tetradec-2-enoyl-CoA + NADPH + H+
R04430	C05745 + C00006 <=> C04246 + C00005 + C00080	Butyryl-[acp] + NADP+ <=> But-2-enoyl-[acyl-carrier protein] + NADPH + H+
R04725	C05223 + C00006 <=> C05758 + C00005 + C00080	Dodecanoyl-[acyl-carrier protein] + NADP+ <=> trans-Dodec-2-enoyl-[acp] + NADPH + H+
R04753	C05274 + C00006 <=> C05275 + C00005 + C00080	Decanoyl-CoA + NADP+ <=> trans-Dec-2-enoyl-CoA + NADPH + H+
