Rxn	Genes
R00875	[['YDL246C'], ['YJR159W'], ['YDL246C'], ['YDL246C'], ['YJR159W'], ['YJR159W']]
R03050_1	[['YCL009C'], ['YMR108W'], ['YMR108W'], ['YCL009C']]
R03050_2	[['YCL009C'], ['YMR108W'], ['YMR108W'], ['YCL009C']]
R00190_1	[['YML022W'], ['YML022W'], ['YDR399W']]
R00190_2	[['YDR441C'], ['YML022W'], ['YML022W'], ['YDR441C'], ['YDR399W']]
R04480_1	[['YOR175C'], ['YOR175C']]
R04480_2	[['YOR175C'], ['YOR175C']]
R04480_3	[['YOR175C'], ['YOR175C']]
R10065_1	[['YDR173C'], ['YDR173C']]
R10065_2	[['YDR173C'], ['YDR173C']]
R00257_1	[['YHR074W'], ['YHR074W'], ['YHR074W']]
R00257_2	[['YHR074W'], ['YHR074W'], ['YHR074W']]
R01072_1	[['YMR300C'], ['YMR300C']]
R05238_1	[['YMR110C'], ['YMR110C']]
R05238_2	[['YMR110C'], ['YMR110C']]
R05238_3	[['YMR110C'], ['YMR169C'], ['YMR170C'], ['YOR374W'], ['YPL061W'], ['YMR110C'], ['YMR169C'], ['YMR170C'], ['YOR374W'], ['YPL061W']]
R05238_4	[['YMR110C'], ['YMR110C']]
R05238_5	[['YER073W'], ['YMR110C'], ['YOR374W'], ['YPL061W'], ['YER073W'], ['YMR110C'], ['YOR374W'], ['YPL061W']]
R12423_1	[['YOR196C'], ['YOR196C']]
R02327_1	[['YDR020C'], ['YNR012W'], ['YDR020C'], ['YNR012W']]
R02327_2	[['YDR020C'], ['YNR012W'], ['YDR020C'], ['YNR012W']]
R01514_1	[['YGR205W'], ['YGR205W']]
R01514_2	[['YGR205W'], ['YGR205W']]
R02678_1	[['YMR110C'], ['YMR110C'], ['YMR110C']]
R02678_2	[['YMR110C'], ['YMR110C'], ['YMR110C']]
