Gene	lCompartments
YBR208C	['cytoplasm', 'mitochondrion']
YPL029W	['cytoplasm', 'mitochondrion']
YNR057C	['cytoplasm']
YGR154C	['cytoplasm', 'peroxisome']
YDL193W	['nucleus', 'endoplasmic reticulum', 'cytoplasm', 'endoplasmic reticulum membrane', 'cell envelope', 'lipid droplet']
YDR232W	['mitochondrion']
YOR196C	['mitochondrion']
YJR009C	['nucleus', 'cytoplasm', 'extracellular', 'cell envelope', 'mitochondrion', 'lipid droplet']
YDL078C	['cytoplasm', 'mitochondrion', 'peroxisome']
YDL015C	['cell envelope', 'endoplasmic reticulum membrane', 'mitochondrion', 'endoplasmic reticulum']
YDL085W	['mitochondrial membrane', 'mitochondrion']
YPR160W	['cytoplasm']
YJL071W	['mitochondrion']
YGL040C	['nucleus', 'cytoplasm']
YGR227W	['extracellular', 'cell envelope', 'endoplasmic reticulum membrane', 'endoplasmic reticulum']
YDR454C	['nucleus', 'cytoplasm']
YMR101C	['cytoplasm', 'lipid droplet', 'endoplasmic reticulum']
YLL067C	['cytoplasm']
YBR229C	['cytoplasm', 'mitochondrion', 'endoplasmic reticulum']
YAL054C	['nucleus', 'cytoplasm', 'mitochondrion', 'endoplasmic reticulum']
YML110C	['mitochondrial membrane', 'mitochondrion']
YGL224C	[]
YJR078W	['cytoplasm']
YOL033W	['mitochondrion']
YDL238C	['cytoplasm']
YDR261C	['extracellular', 'cell envelope', 'cytoplasm']
YGR204W	['nucleus', 'cytoplasm']
YLR276C	['nucleus']
YFL059W	[]
YHL032C	['cytoplasm', 'mitochondrion']
YJL216C	[]
YKR089C	['lipid droplet']
YCL040W	['cell envelope', 'cytoplasm', 'mitochondrion']
YPL119C	['nucleus', 'cytoplasm']
YOL086C	['nucleus', 'cell envelope', 'cytoplasm']
YKL029C	['cytoplasm', 'mitochondrion']
YOR040W	['mitochondrion']
YAL062W	['nucleus', 'cytoplasm', 'mitochondrion']
YKL085W	['cytoplasm', 'mitochondrion']
YER073W	['mitochondrion']
YMR323W	['cytoplasm']
YLR419W	['cytoplasm', 'mitochondrion']
YMR210W	[]
YCR034W	['endoplasmic reticulum membrane', 'endoplasmic reticulum']
YNL241C	['cytoplasm']
YGL148W	['cytoplasm']
YPR019W	['nucleus', 'cytoplasm']
YPL273W	['nucleus', 'cytoplasm']
YGL226C-A	['cell envelope', 'endoplasmic reticulum membrane']
YGL026C	['nucleus', 'cytoplasm']
YOL049W	['cytoplasm']
YPL008W	['nucleus', 'cytoplasm']
YHL003C	['cell envelope', 'cytoplasm', 'endoplasmic reticulum membrane', 'endoplasmic reticulum']
YGL065C	['cell envelope', 'endoplasmic reticulum membrane', 'endoplasmic reticulum']
YJR073C	['endoplasmic reticulum', 'mitochondrial membrane', 'extracellular', 'cell envelope', 'mitochondrion', 'endoplasmic reticulum membrane']
YOR236W	['cytoplasm', 'mitochondrion']
YLR027C	['cytoplasm', 'peroxisome']
YIL126W	['nucleus', 'cytoplasm']
YDR533C	['cytoplasm']
YMR095C	['cytoplasm']
YCR036W	['nucleus', 'cytoplasm']
YNL098C	['nucleus', 'extracellular', 'cell envelope', 'mitochondrion', 'endoplasmic reticulum membrane']
YER081W	['cytoplasm']
YBR196C	['cell envelope', 'cytoplasm', 'mitochondrion']
YOR393W	['cytoplasm']
YPL283C	['nucleus', 'cytoplasm', 'mitochondrion']
YOR142W	['cytoplasm', 'mitochondrion']
YML035C	['cytoplasm']
YLR146C	['cytoplasm']
YER171W	['nucleus', 'cytoplasm']
YNL104C	['cytoplasm', 'mitochondrion']
YJR105W	['nucleus', 'cytoplasm']
YOR241W	['cytoplasm', 'mitochondrial membrane', 'mitochondrion', 'endoplasmic reticulum']
YMR322C	['cytoplasm']
YNL334C	['cytoplasm']
YPL023C	['cytoplasm']
YNR073C	[]
YOL068C	['nucleus']
YDL205C	['nucleus', 'cytoplasm']
YBR092C	['extracellular', 'cytoplasm', 'endoplasmic reticulum']
YNL191W	['cytoplasm']
YOL151W	['nucleus', 'cytoplasm']
YIL094C	['mitochondrion']
YJR156C	[]
YLR354C	['nucleus', 'cytoplasm']
YMR220W	['nucleus', 'cytoplasm', 'peroxisome']
YOR221C	['mitochondrion']
YHR072W	['lipid droplet', 'endoplasmic reticulum membrane']
YBL011W	['endoplasmic reticulum membrane', 'endoplasmic reticulum']
YGL012W	['cell envelope', 'endoplasmic reticulum membrane', 'endoplasmic reticulum']
YPR127W	['nucleus', 'cytoplasm']
YPR113W	['endoplasmic reticulum', 'cytoplasm', 'mitochondrial membrane', 'cell envelope', 'mitochondrion', 'endoplasmic reticulum membrane']
YNL229C	['cytoplasm']
YER090W	['cytoplasm']
YOL157C	[]
YNL267W	['nucleus', 'cell envelope', 'cytoplasm']
YLR466W	['nucleus', 'cytoplasm']
YDR272W	['cytoplasm']
YBR117C	['nucleus', 'cytoplasm']
YDR256C	['cytoplasm', 'mitochondrion', 'peroxisome']
YJL002C	['cell envelope', 'endoplasmic reticulum membrane', 'endoplasmic reticulum']
YDR007W	['cytoplasm']
YMR170C	['cytoplasm']
YPL268W	['cytoplasm']
YML075C	['nucleus', 'cell envelope', 'endoplasmic reticulum membrane', 'peroxisome']
YDR044W	['cytoplasm', 'mitochondrial membrane']
YPL281C	['cytoplasm']
YIL049W	['cell envelope', 'endoplasmic reticulum membrane', 'endoplasmic reticulum']
YEL041W	[]
YNL192W	['extracellular', 'cell envelope', 'cytoplasm']
YIL124W	['endoplasmic reticulum', 'cytoplasm', 'mitochondrial membrane', 'mitochondrion', 'lipid droplet']
YDR503C	['golgi membrane', 'cell envelope']
YLR355C	['cytoplasm', 'mitochondrion']
YLR239C	['mitochondrion']
YEL042W	['golgi membrane', 'cytoplasm', 'cell envelope']
