Gene	lCompartments
162515	['extracellular']
6647	['mitochondrion', 'cytoplasm']
80007	['mitochondrion', 'cytoplasm']
114134	['cytoplasm', 'extracellular']
54407	['cytoplasm', 'extracellular']
4343	['cytoplasm']
1080	['cytoplasm', 'extracellular']
6006	['extracellular']
10269	['cytoplasm', 'extracellular']
9194	['extracellular']
165545	[]
51660	['mitochondrion']
50617	['cytoplasm', 'extracellular']
10973	['cytoplasm', 'extracellular']
1329	['mitochondrion']
1347	['mitochondrion', 'extracellular']
151258	['extracellular']
23457	['cytoplasm', 'extracellular']
10606	['cytoplasm', 'extracellular']
56954	['cytoplasm']
1351	['mitochondrion', 'cytoplasm', 'extracellular']
65010	['cytoplasm', 'extracellular']
226	['cytoplasm', 'extracellular']
948	['cytoplasm', 'extracellular']
4832	['cytoplasm']
953	['cytoplasm', 'extracellular']
253512	['mitochondrion', 'extracellular']
51606	['cytoplasm', 'extracellular']
1656	['mitochondrion', 'cytoplasm', 'extracellular']
8607	['cytoplasm', 'extracellular']
10166	['mitochondrion', 'extracellular']
9557	['cytoplasm', 'extracellular']
954	['cytoplasm', 'extracellular']
9879	['extracellular']
441531	['cytoplasm']
1503	['cytoplasm', 'extracellular']
4513	['mitochondrion', 'cytoplasm', 'extracellular']
4172	['cytoplasm', 'extracellular']
123096	['mitochondrion', 'extracellular']
11269	['cytoplasm', 'extracellular']
81570	['mitochondrion', 'cytoplasm']
5225	['cytoplasm']
55308	['cytoplasm', 'extracellular']
9400	['cytoplasm']
79009	['extracellular']
57084	['cytoplasm', 'extracellular']
1376	['mitochondrion']
8449	[]
6548	['mitochondrion', 'cytoplasm', 'extracellular']
51458	['cytoplasm', 'extracellular']
126129	['mitochondrion', 'cytoplasm', 'extracellular']
8645	['extracellular']
29118	['cytoplasm']
39	['mitochondrion', 'cytoplasm']
341947	['mitochondrion', 'cytoplasm', 'extracellular']
528	['cytoplasm', 'extracellular']
11136	['extracellular']
170712	['mitochondrion', 'cytoplasm', 'extracellular']
2729	['cytoplasm']
51107	['mitochondrion', 'cytoplasm', 'extracellular']
6539	['cytoplasm', 'extracellular']
84889	['extracellular']
2806	['mitochondrion', 'cytoplasm', 'extracellular']
6007	['extracellular']
347741	['extracellular']
27183	['cytoplasm', 'extracellular']
28234	['extracellular']
6010	['cytoplasm', 'extracellular']
533	['cytoplasm', 'extracellular']
201232	['cytoplasm', 'extracellular']
6472	['mitochondrion', 'cytoplasm']
4176	['cytoplasm', 'extracellular']
8277	['cytoplasm']
765	['cytoplasm']
5965	['cytoplasm', 'extracellular']
9704	['extracellular']
6582	['cytoplasm', 'extracellular']
669	['cytoplasm']
121260	['cytoplasm', 'extracellular']
523	['cytoplasm', 'extracellular']
54020	['extracellular']
83464	['cytoplasm', 'extracellular']
1244	['cytoplasm', 'extracellular']
10797	['mitochondrion', 'cytoplasm']
1654	['cytoplasm', 'extracellular']
4363	['cytoplasm', 'extracellular']
29957	['mitochondrion', 'extracellular']
215	['mitochondrion', 'cytoplasm', 'extracellular']
9390	['cytoplasm', 'extracellular']
4598	['cytoplasm']
10632	['mitochondrion']
122402	['cytoplasm']
5105	['mitochondrion', 'cytoplasm']
3099	['mitochondrion', 'cytoplasm', 'extracellular']
3157	['cytoplasm']
2882	['cytoplasm']
10146	['cytoplasm']
3508	['cytoplasm', 'extracellular']
6569	['cytoplasm', 'extracellular']
92745	['extracellular']
6574	['extracellular']
55238	['cytoplasm', 'extracellular']
56301	['extracellular']
1468	['mitochondrion', 'extracellular']
9057	['cytoplasm', 'extracellular']
4514	['mitochondrion', 'cytoplasm', 'extracellular']
5213	['cytoplasm', 'extracellular']
4905	['cytoplasm', 'extracellular']
6510	['cytoplasm', 'extracellular']
3422	['cytoplasm']
200010	['cytoplasm', 'extracellular']
285195	['cytoplasm', 'extracellular']
8604	['mitochondrion', 'extracellular']
654364	['mitochondrion', 'cytoplasm', 'extracellular']
83733	['mitochondrion', 'extracellular']
525	['cytoplasm', 'extracellular']
1861	['cytoplasm', 'extracellular']
8140	['cytoplasm', 'extracellular']
1183	['cytoplasm', 'extracellular']
55794	['mitochondrion', 'cytoplasm']
8802	['mitochondrion', 'cytoplasm', 'extracellular']
9058	['cytoplasm', 'extracellular']
9416	['cytoplasm']
10993	['mitochondrion', 'cytoplasm']
23428	['cytoplasm', 'extracellular']
7298	['mitochondrion', 'cytoplasm']
55636	[]
23657	['cytoplasm', 'extracellular']
1663	['cytoplasm']
90957	[]
79665	[]
24145	['cytoplasm', 'extracellular']
10999	['cytoplasm', 'extracellular']
54555	[]
204	['mitochondrion', 'cytoplasm']
6549	['extracellular']
762	['cytoplasm', 'extracellular']
760	['cytoplasm', 'extracellular']
440	['cytoplasm']
9453	['cytoplasm']
57696	['cytoplasm', 'extracellular']
5106	['mitochondrion', 'cytoplasm']
51382	['cytoplasm', 'extracellular']
2805	['cytoplasm']
10476	['mitochondrion']
23347	['cytoplasm']
526	['cytoplasm', 'extracellular']
387712	['cytoplasm']
116285	['mitochondrion', 'cytoplasm']
377677	['cytoplasm']
1973	['cytoplasm', 'extracellular']
55089	['extracellular']
10991	['extracellular']
6509	['cytoplasm', 'extracellular']
230	['cytoplasm']
1431	['mitochondrion', 'cytoplasm']
2203	['cytoplasm']
292	['mitochondrion', 'cytoplasm', 'extracellular']
374569	['cytoplasm']
2026	['cytoplasm', 'extracellular']
2744	['mitochondrion', 'cytoplasm']
3105	['cytoplasm', 'extracellular']
29922	['cytoplasm']
790	['cytoplasm', 'extracellular']
10682	['cytoplasm', 'extracellular']
5723	['cytoplasm']
4831	['mitochondrion', 'cytoplasm', 'extracellular']
122481	['cytoplasm']
6520	['cytoplasm', 'extracellular']
57680	['cytoplasm', 'extracellular']
349149	['cytoplasm', 'extracellular']
55661	[]
1105	['cytoplasm']
55510	[]
2628	['mitochondrion', 'cytoplasm']
146167	['extracellular']
55244	['cytoplasm', 'extracellular']
375318	['cytoplasm', 'extracellular']
535	['cytoplasm', 'extracellular']
23539	['extracellular']
6513	['cytoplasm', 'extracellular']
493869	['cytoplasm', 'extracellular']
9188	['mitochondrion', 'cytoplasm', 'extracellular']
285335	['cytoplasm', 'extracellular']
89797	[]
9377	['mitochondrion']
4830	['mitochondrion', 'cytoplasm', 'extracellular']
6556	['cytoplasm', 'extracellular']
5315	['mitochondrion', 'cytoplasm', 'extracellular']
221823	['cytoplasm']
3347	['cytoplasm']
7504	['extracellular']
55601	['cytoplasm']
768	['cytoplasm', 'extracellular']
6891	['cytoplasm', 'extracellular']
9785	['extracellular']
9429	['mitochondrion', 'cytoplasm', 'extracellular']
729020	['cytoplasm']
29968	['cytoplasm']
84515	['cytoplasm']
284111	['cytoplasm', 'extracellular']
9120	['extracellular']
26038	['cytoplasm', 'extracellular']
92797	['cytoplasm']
445	['mitochondrion', 'cytoplasm']
84284	['extracellular']
389015	['extracellular']
92736	['extracellular']
160728	['cytoplasm', 'extracellular']
6576	['mitochondrion', 'cytoplasm', 'extracellular']
6517	['cytoplasm', 'extracellular']
229	['cytoplasm']
1375	['mitochondrion', 'extracellular']
205	['mitochondrion', 'cytoplasm']
159	['mitochondrion', 'cytoplasm', 'extracellular']
3098	['mitochondrion', 'cytoplasm']
80119	['mitochondrion', 'cytoplasm']
6506	['cytoplasm', 'extracellular']
1665	[]
766	['cytoplasm']
23020	['extracellular']
54617	['cytoplasm', 'extracellular']
57130	['extracellular']
6779	['cytoplasm']
89872	['extracellular']
3177	['cytoplasm', 'extracellular']
5825	['mitochondrion', 'cytoplasm', 'extracellular']
79572	['extracellular']
1659	[]
6511	['cytoplasm', 'extracellular']
8653	['cytoplasm', 'extracellular']
10057	['cytoplasm', 'extracellular']
2071	['cytoplasm']
282679	['cytoplasm', 'extracellular']
58497	['cytoplasm']
2963	['cytoplasm']
23517	[]
1497	['cytoplasm', 'extracellular']
125206	['cytoplasm', 'extracellular']
441024	['mitochondrion']
81034	['mitochondrion', 'extracellular']
6573	['extracellular']
55867	['cytoplasm', 'extracellular']
22907	['mitochondrion', 'cytoplasm']
63910	['cytoplasm', 'extracellular']
7167	['cytoplasm']
2023	['cytoplasm', 'extracellular']
506	['mitochondrion', 'cytoplasm', 'extracellular']
26289	['cytoplasm']
9121	['extracellular']
9551	['mitochondrion', 'cytoplasm', 'extracellular']
1107	['cytoplasm']
