	Name	Matches
0	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	['(3R)-3-hydroxydecanoyl-[acyl-carrier protein]']
1	Adenylsuccinic acid	['Adenylosuccinic acid']
2	Flavin Adenine Dinucleotide Reduced	['flavin adenine dinucleotide (reduced)']
3	Flavin Adenine Dinucleotide Oxidized	['Flavin adenine dinucleotide', 'FLAVIN-ADENINE DINUCLEOTIDE', 'flavin adenine dinucleotide']
4	(R)-3-Hydroxypalmitoyl-[acyl-carrier protein]	['(3R)-3-hydroxypalmitoyl-[acyl-carrier protein]']
5	Glucose 6-phosphate	['D-Glucose 6-phosphate', 'alpha-D-Glucose 6-phosphate', 'beta-D-Glucose 6-phosphate', 'BETA-D-GLUCOSE-6-PHOSPHATE', 'ALPHA-D-GLUCOSE-6-PHOSPHATE', 'alpha-D-glucose 6-phosphate', 'beta-D-glucose 6-phosphate', 'alpha-D-glucose 6-phosphate', 'beta-D-glucose 6-phosphate']
6	Phosphoribosylformylglycineamidine	["5'-Phosphoribosylformylglycinamidine"]
7	6-Phosphogluconic acid	['6-phospho-D-gluconic acid']
8	Dodecanoyl-[acyl-carrier protein]	[]
9	4'-Hydroxymethyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	['4-alpha-hydroxymethyl-4-beta-methyl-5-alpha-cholesta-8,24-dien-3-beta-ol', '4alpha-(hydroxymethyl)-4-methyl-5alpha-cholesta-8,24-dien-3beta-ol']
10	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	['(3R)-3-hydroxyoctanoyl-[acyl-carrier protein]']
11	4'-Hydroxymethyl-5'-Cholesta-8,24-Dien-3'-Ol	['4-hydroxymethyl-5-alpha-cholesta-8,24-dien-3-beta-ol']
12	Argininosuccinic acid	['L-Argininosuccinic acid', 'L-argininosuccinic acid']
13	4'-Formyl-5'-Cholesta-8,24-Dien-3'-Ol	['4-formyl-5-alpha-cholesta-8,24-dien-3-beta-ol']
14	Dimethylallylpyrophosphate	['Dimethylallyl pyrophosphate', 'dimethylallyl pyrophosphate', 'Dimethylallyl pyrophosphate', '3,3-dimethylallyl pyrophosphate']
15	Cytidine monophosphate	["Cytidine-5'-monophosphate", "cytidine 5'-monophosphate", "CYTIDINE-5'-MONOPHOSPHATE", 'Cytidine-5-monophosphate dianion']
16	5,10-Methenyltetrahydrofolic acid	['(6R)-5,10-methenyltetrahydrofolic acid']
17	(R)-3-Hydroxybutanoyl-[acyl-carrier protein]	['(3R)-3-hydroxybutanoyl-[acyl-carrier protein]']
18	6-Phosphonoglucono-D-lactone	['6-phosphonoglucono-delta-lactone']
19	4,4-Dimethyl-14Alpha-Hydroxymethyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	['4,4-Dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol']
20	4,4-Dimethyl-14Alpha-Formyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	['4,4-Dimethyl-14a-formyl-5alpha-cholesta-8,24-dien-3beta-ol']
