	Name	Matches
0	Isocitric acid	['Isocitric acid']
1	GMP	['GMP']
2	5Alpha-Cholesta-8,24-Dien-3-One	['5alpha-Cholesta-8,24-dien-3-one']
3	2'-Deoxyguanosine 5'-monophosphate	"[""2'-Deoxyguanosine 5'-monophosphate""]"
4	dUDP	['dUDP']
5	D-3-Hydroxydodecanoyl-[acyl-carrier protein]	['D-3-Hydroxydodecanoyl-[acyl-carrier protein]']
6	 1-Pyrroline-5-Carboxylate	['1-Pyrroline-5-carboxylate']
7	(2E)-Hexadecenoyl-[acp]	['(2E)-Hexadecenoyl-[acp]']
8	5'-Thymidylic acid	"[""5'-Thymidylic acid""]"
9	5,10-Methylene-THF	['5,10-Methylene-THF']
10	D-Erythrose 4-phosphate	['D-Erythrose 4-phosphate']
11	5alpha-Cholesta-7,24-dien-3beta-ol	['5alpha-Cholesta-7,24-dien-3beta-ol']
12	Uridine 5'-monophosphate	"[""Uridine 5'-monophosphate""]"
13	L-Proline	['L-Proline']
14	Cholesterol	['Cholesterol']
15	AICAR	['AICAR']
16	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	['(R)-3-Hydroxydecanoyl-[acyl-carrier protein]']
17	Deoxyadenosine monophosphate	['Deoxyadenosine monophosphate']
18	L-Lactic acid	['L-Lactic acid']
19	3-Mercaptopyruvic acid	['3-Mercaptopyruvic acid']
20	dADP	['dADP']
21	GTP	['GTP']
22	N-Carbamoyl-L-aspartate	['N-Carbamoyl-L-aspartate']
23	Farnesyl pyrophosphate	['Farnesyl pyrophosphate']
24	4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	['4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol']
25	Dihydroxyacetone phosphate	['Dihydroxyacetone phosphate']
26	Palmitic acid	['Palmitic acid']
27	L-Alanine	['L-Alanine']
28	But-2-enoyl-[acyl-carrier protein]	['But-2-enoyl-[acyl-carrier protein]']
29	dGDP	['dGDP']
30	D-Sedoheptulose 7-phosphate	['D-Sedoheptulose 7-phosphate']
31	Acetyl-CoA	['Acetyl-CoA']
32	Desmosterol	['Desmosterol']
33	Fumaric acid	['Fumaric acid']
34	2-Oxoglutaramate	['2-Oxoglutaramate']
35	Malonyl-CoA	['Malonyl-CoA']
