	Name	Matches
0	Fructose 6-phosphate	['beta-D-Fructose 6-phosphate', 'D-Fructose 6-phosphate']
1	Xylulose 5-phosphate	['D-Xylulose 5-phosphate', 'L-Xylulose 5-phosphate']
2	Adenylsuccinic acid	['Adenylosuccinic acid']
3	Fructose 1,6-bisphosphate	['D-Fructose 1,6-bisphosphate', 'beta-D-Fructose 1,6-bisphosphate']
4	Isopentenyl pyrophosphate	[]
5	Flavin Adenine Dinucleotide Reduced	[]
6	Flavin Adenine Dinucleotide Oxidized	['Flavin adenine dinucleotide']
7	Phosphoribosyl pyrophosphate	['5-Phosphoribosyl 1-pyrophosphate']
8	Adenosine diphosphate	["Adenosine 5'-diphosphate"]
9	Adenosine monophosphate	["Adenosine 5'-monophosphate", "5'-Adenosine monophosphate"]
10	Phosphohydroxypyruvic acid	['3-Phosphohydroxypyruvic acid']
11	Phosphoribosylformylglycineamidine	["5'-Phosphoribosylformylglycinamidine"]
12	Ubiquinone-1	['Ubiquinone']
13	Argininosuccinic acid	['L-Argininosuccinic acid']
14	Phosphoserine	['L-O-Phosphoserine', '3-Phosphoserine', 'D-O-Phosphoserine']
15	Dimethylallylpyrophosphate	['Dimethylallyl pyrophosphate']
16	Cytidine monophosphate	["Cytidine-5'-monophosphate"]
17	Adenosine triphosphate	["Adenosine 5'-triphosphate"]
18	4,4-Dimethyl-14Alpha-Hydroxymethyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	[]
19	4,4-Dimethyl-14Alpha-Formyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	[]
