	0	1	2	3	4	5	6	7	8	9
2'-Deoxyguanosine 5'-monophosphate	"(""2'-Deoxyguanosine 5'-monophosphate"", 100)"	('Deoxyguanosine monophosphate', 95)	"(""2'-Deoxyadenosine 5'-monophosphate"", 94)"	"(""2'-Deoxyguanosine 5'-phosphate"", 94)"	"(""2'-Deoxyguanosine 5'-diphosphate"", 91)"	('Phosphate', 90)	"(""2'-Deoxyguanosine 5'-triphosphate"", 90)"	('Guanosine', 90)	('Deoxyguanosine', 90)	"(""2'-Deoxyguanosine"", 90)"
CDP	('CDP', 100)	('CDP-ascarylose', 90)	('CDP-glucose', 90)	('CDP-D-Glucose', 90)	('CDP-choline', 90)	('CDPtyvelose', 90)	('P', 90)	('C', 90)	('CDP-1L-myo-inositol', 90)	('CDP-ethanolamine', 90)
Isocitric acid	('Isocitric acid', 100)	('D-threo-Isocitric acid', 90)	('Acid', 90)	('RI', 90)	('D-erythro-Isocitric acid', 90)	('Citric acid', 88)	('Trimethylcolchicinic acid methyl ether', 86)	('2-n-Propyl-4-oxopentanoic acid', 86)	('Aromatic L-amino acid', 86)	('Oleic acid methyl ester', 86)
4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	('4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol', 100)	('4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol', 95)	('5alpha-Cholesta-8,24-dien-3beta-ol', 90)	('4alpha-Methyl-5alpha-cholesta-7-en-3beta-ol', 89)	('5alpha-Cholesta-7,24-dien-3beta-ol', 87)	('Trimethylcolchicinic acid methyl ether', 86)	('Oleic acid methyl ester', 86)	('Methyl oleate', 86)	('Propane-1-ol', 86)	('Propan-1-ol', 86)
NADPH	('NADPH', 100)	('[Oxidized NADPH---hemoprotein reductase]', 90)	('P', 90)	('alpha-NADPH', 90)	('[Reduced NADPH---hemoprotein reductase]', 90)	('Na+', 90)	('H+', 90)	('ADP', 90)	('A', 90)	('(R)-NADPH-hydrate', 90)
L-Asparagine	('L-Asparagine', 100)	('Asparagine', 95)	('D-Asparagine', 92)	('Ag', 90)	('Ag+', 90)	('N4-(Acetyl-beta-D-glucosaminyl)asparagine', 90)	('N4-(beta-N-Acetyl-D-glucosaminyl)-L-asparagine', 90)	('As', 90)	('N-alpha-Boc-L-asparagine', 90)	('N-Glycosyl-L-asparagine', 90)
Malonyl-CoA	('Malonyl-CoA', 100)	('Propylmalonyl-CoA', 90)	('(2S)-Ethylmalonyl-CoA', 90)	('(S)-Ethylmalonyl-CoA', 90)	('Apo-[methylmalonyl-CoA:pyruvate carboxytransferase]', 90)	('Apo-[methylmalonyl-CoA-carboxyltransferase]', 90)	('[Methylmalonyl-CoA:pyruvate carboxytransferase]', 90)	('Holo-[methylmalonyl-CoA:pyruvate carboxytransferase]', 90)	('Biotin-[methylmalonyl-CoA:pyruvate carboxytransferase]', 90)	('Holo-[methylmalonyl-CoA-carboxyltransferase]', 90)
(2E)-Dodecenoyl-[acp]	('(2E)-Dodecenoyl-[acp]', 100)	('(2E)-Decenoyl-[acp]', 94)	('(2E)-Octadecenoyl-[acp]', 90)	('ACP', 90)	('(2E)-Octenoyl-[acp]', 89)	('9-Hydroxy-3,5,7,11,13,15,17-octaoxo-nonadecanoyl-[acp]', 86)	('S-(2E,6E)-Farnesyl-L-cysteine', 86)	('1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(8-(2E,4Z-decadienoyloxy)-5,6-octadienoyl)-sn-glycerol', 86)	('(2E)-5-[(1R,2S,4aS,8aS)-1,2,4a,5-Tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl]-3-methylpent-2-en-1-yl diposphate', 86)	('(2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate', 86)
Pyruvic acid	('Pyruvic acid', 100)	('Phosphoenolpyruvic acid', 90)	('Maleylpyruvic acid', 90)	('p-Aminophenylpyruvic acid', 90)	('3-Sulfopyruvic acid', 90)	('Imidazole pyruvic acid', 90)	('3-Mercaptopyruvic acid', 90)	('Phenylpyruvic acid', 90)	('Acetylpyruvic acid', 90)	('Acid', 90)
L-Alanine	('L-Alanine', 100)	('Alanine', 95)	('gamma-(Hydroxymethylphosphinyl)-L-alpha-aminobutyryl-L-alanyl-L-alanine', 90)	('3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine', 90)	('Ribosomal-protein L-alanine', 90)	('Ribosomal-protein N-terminal-L-alanine', 90)	('Ribosomal-protein N-acetyl-L-alanine', 90)	('3-(p-Hydroxyphenyl)alanine', 90)	('3-(5-Oxoisoxazolin-4-yl)-L-alanine', 90)	('beta-(Isoxazolin-5-on-4-yl)-L-alanine', 90)
Succinic acid	('Succinic acid', 100)	('meso-2,3-Dimercaptosuccinic acid', 90)	('Ethylenesuccinic acid', 90)	('(2S)-2-Hydroxy-2-isopropylsuccinic acid', 90)	('Guanidinosuccinic acid', 90)	('Acid', 90)	('Adenylosuccinic acid', 90)	('(S)-2-Hydroxy-2-methylsuccinic acid', 90)	('L-Argininosuccinic acid', 90)	('L-Arginosuccinic acid', 90)
Pyrophosphate	('Pyrophosphate', 100)	('Neryl pyrophosphate', 95)	('Tetraethyl pyrophosphate', 90)	('Geranylgeranyl pyrophosphate', 90)	('all-trans-Geranylgeranyl pyrophosphate', 90)	('7,8-Dihydropterin pyrophosphate', 90)	('Dimethylallyl pyrophosphate', 90)	('5-Phosphoribosyl 1-pyrophosphate', 90)	('Prenol pyrophosphate', 90)	('1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-pyrophosphate', 90)
L-Cysteine	('L-Cysteine', 100)	('L-Cystine', 95)	('Cysteine', 95)	('L-Dicysteine', 91)	('[SoxY protein]-S-sulfanyl-L-cysteine', 90)	('S-(2E,6E)-Farnesyl-L-cysteine', 90)	('S-Alkyl-L-cysteine', 90)	('S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine', 90)	('S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine', 90)	('S-Thiohydroximoyl-L-cysteine', 90)
Phosphate	('Phosphate', 100)	('(Phosphate)n', 95)	('(Phosphate)n+1', 95)	('(Phosphate)n-1', 95)	('Dolichyl D-xylosyl phosphate', 90)	"(""Maltose 6'-phosphate"", 90)"	"(""Dihydrostreptomycin 3'alpha-phosphate"", 90)"	"(""1,2-Didodecanoyl-sn-glycero-3-cytidine-5'-diphosphate"", 90)"	('(R)-Mevalonic acid 5-phosphate', 90)	('Formamidopyrimidine nucleoside triphosphate', 90)
Folic acid	('Folic acid', 100)	('Folinic acid', 91)	('L(-)-5-Formyl-5,6,7,8-tetrahydrofolic acid', 90)	('Oleic acid', 90)	('Acid', 90)	('Dihydrofolic acid', 90)	('7,8-Dihydrofolic acid', 90)	('Acanthifolic acid', 90)	('Tetrahydrofolic acid', 90)	('(6S)-Tetrahydrofolic acid', 90)
dUMP	('dUMP', 100)	('P', 90)	('UMP', 86)	('DMPT', 75)	('DMSP', 75)	('dUDP', 75)	('dAMP', 75)	('DMPS', 75)	('dGMP', 75)	('DMDP', 75)
3-Oxooctanoyl-[acyl-carrier protein]	('3-Oxooctanoyl-[acyl-carrier protein]', 100)	('Acyl-[acyl-carrier protein]', 95)	('3-Oxododecanoyl-[acyl-carrier protein]', 94)	('3-Oxodecanoyl-[acyl-carrier protein]', 94)	('Octanoyl-[acyl-carrier protein]', 92)	('3-Oxohexanoyl-[acyl-carrier protein]', 91)	('3-Oxoacyl-[acyl-carrier protein]', 91)	('2-Octenoyl-[acyl-carrier protein]', 90)	('Protein', 90)	('Acyl-carrier protein', 90)
Palmitoyl-CoA	('Palmitoyl-CoA', 100)	('Palmitoleoyl-CoA', 90)	('CO', 90)	('CoA', 90)	('Al', 90)	"(""2'-Palmitoyl/stearoyl-2-O-sulfo-alpha,alpha-trehalose"", 86)"	('Naphthyl-2-oxomethyl-succinyl-CoA', 86)	('[Hydroxymethylglutaryl-CoA reductase (NADPH)]', 86)	('(13Z,16Z)-Docosadienoyl-CoA', 86)	('(13Z,16Z)-Docosadi-13,16-enoyl-CoA', 86)
Superoxide anion	('Superoxide anion', 100)	('Superoxide', 90)	('Epoxide', 77)	('Spheroidenone', 76)	('Peroxidase', 76)	('Canin', 72)	('Azide ion', 70)	('Pergolide', 70)	('Spheroiden-2-one', 69)	('Hydroxide ion', 69)
Succinyl-CoA	('Succinyl-CoA', 100)	('Naphthyl-2-oxomethyl-succinyl-CoA', 90)	('Naphthyl-2-methyl-succinyl-CoA', 90)	('(E)-2-Benzylidenesuccinyl-CoA', 90)	('Benzylsuccinyl-CoA', 90)	('(R)-2-Benzylsuccinyl-CoA', 90)	('Benzoylsuccinyl-CoA', 90)	('2-Benzoylsuccinyl-CoA', 90)	('(2S)-Methylsuccinyl-CoA', 90)	('Methylsuccinyl-CoA', 90)
