	Name	Matches
0	proton	[]
1	Fructose 6-phosphate	[]
2	Xylulose 5-phosphate	[]
3	Adenylsuccinic acid	[]
4	Fructose 1,6-bisphosphate	[]
5	Isopentenyl pyrophosphate	[]
6	Flavin Adenine Dinucleotide Reduced	[]
7	2-Phospho-D-glyceric acid	[]
8	Flavin Adenine Dinucleotide Oxidized	[]
9	Phosphoribosyl pyrophosphate	[]
10	Adenosine diphosphate	[]
11	Adenosine monophosphate	[]
12	Phosphohydroxypyruvic acid	[]
13	Phosphoribosylformylglycineamidine	[]
14	6-Phosphogluconic acid	[]
15	Glycineamideribotide	[]
16	Ubiquinone-1	[]
17	4'-Hydroxymethyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
18	Xanthosine monophosphate	[]
19	4'-Formyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
20	4'-Hydroxymethyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
21	5-Aminoimidazole ribonucleotide	[]
22	Phosphoribosyl formamidocarboxamide	[]
23	Argininosuccinic acid	[]
24	4'-Formyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
25	Phosphoserine	[]
26	Dimethylallylpyrophosphate	[]
27	Cytidine monophosphate	[]
28	5,10-Methenyltetrahydrofolic acid	[]
29	Adenosine triphosphate	[]
30	4'-Carboxy-5'-Cholesta-8,24-Dien-3'-Ol	[]
31	6-Phosphonoglucono-D-lactone	[]
32	4,4-Dimethyl-14Alpha-Hydroxymethyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	[]
33	4,4-Dimethyl-14Alpha-Formyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	[]
34	biomasss	[]
35	Glyceric acid 1,3-biphosphate	[]
