	0	1	2	3	4	5	6	7	8	9
2'-Deoxyguanosine 5'-monophosphate	('Sialyldi-Y-2', 86)	('Glycolipid 2', 86)	"(""Adenosine 5'-phosphate"", 86)"	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('NodRm-IV(Ac,C16:2,S)', 86)	('delta DiH-2,N,6triS', 86)	('delta-DiH-(2,6,N)triS', 86)	('VIM-2 antigen', 86)	('DWA-2', 86)
CDP	('ADP', 67)	('GDP', 67)	('CMP', 67)	('UDP', 67)	('Dec-P-P-GlcNAc-Rha', 60)	('Lacto-N-fucopentaose V', 60)	('UDP-D-xylose', 60)	('UDP-xylose', 60)	('Ac2PIM2', 60)	('Viridopentaose B', 60)
Isocitric acid	('UDP-D-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('UDP-D-galacturonic acid', 86)	('Pectic acid', 72)	('Cytidylic acid', 64)	('Pharbitic acid C', 64)	('Alginic acid', 62)	('Alginic acid', 62)
4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	"(""3',8'-LD1"", 86)"	('Methyl-glucuronoxylan', 86)	"(""3',8'-isoLD1"", 86)"	('GT1aalpha', 67)	('MS 8', 57)	('Chitosan', 56)	('Acarbose', 56)	('GM1alpha', 56)	('GM2alpha', 56)	('Chitosan', 56)
NADPH	('ADP', 90)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)
L-Asparagine	('N-Acetylglucosaminylasparagine', 83)	('Glycoasparagine GP-IVD', 79)	('Solamargine', 70)	('RG-I', 68)	('RG-I', 68)	('RG-I', 68)	('RG-I', 68)	('RG-I', 68)	('RG-I', 68)	('Heparin', 64)
Malonyl-CoA	('Malonylbuddlejasaponin IV', 62)	('Calonyctin A', 61)	('LNH', 60)	('LNT', 60)	('Maltosyl-maltose', 59)	('ManLAM', 59)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 58)	('Dismally Le(a)', 58)	('Disialosyl Lc4Cer', 58)	('LAM', 57)
(2E)-Dodecenoyl-[acp]	('AC-4', 64)	('AC-1', 64)	('ADP', 60)	('CMP', 60)	"(""2'-FL"", 54)"	('LST a', 54)	('GM2-de-N-Ac', 53)	('Ac-DGD-I', 53)	('dodeca-VIM-2', 52)	('DWA-2', 51)
Pyruvic acid	('UDP-D-glucuronic acid', 86)	('UDP-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('Polysialic acid (PSA)', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('NCAM polysialic acid', 86)	('UDP-D-galacturonic acid', 86)	('Pectic acid', 70)	('Hyaluronic acid', 67)
L-Alanine	('UDP-L-arabinose', 86)	('LA', 86)	('solanine', 71)	('Alangionoside', 64)	('Alangionoside', 64)	('Solasonine', 63)	('Palatinose', 63)	('solasonine', 63)	('Palatinose', 63)	('Palatinose', 63)
Succinic acid	('UDP-D-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('Polysialic acid (PSA)', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('NCAM polysialic acid', 86)	('UDP-D-galacturonic acid', 86)	('Alginic acid', 72)	('Alginic acid', 72)	('Alginic acid', 72)
