	Name	Matches
0	Isocitric acid	[]
1	GMP	[]
2	5Alpha-Cholesta-8,24-Dien-3-One	[]
3	2'-Deoxyguanosine 5'-monophosphate	[]
4	dUDP	[]
5	D-3-Hydroxydodecanoyl-[acyl-carrier protein]	[]
6	 1-Pyrroline-5-Carboxylate	[]
7	proton	[]
8	(2E)-Hexadecenoyl-[acp]	[]
9	5'-Thymidylic acid	[]
10	5,10-Methylene-THF	[]
11	D-Erythrose 4-phosphate	[]
12	Fructose 6-phosphate	[]
13	5alpha-Cholesta-7,24-dien-3beta-ol	[]
14	Uridine 5'-monophosphate	[]
15	L-Proline	[]
16	Cholesterol	[]
17	AICAR	[]
18	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	[]
19	Deoxyadenosine monophosphate	[]
20	L-Lactic acid	[]
21	3-Mercaptopyruvic acid	[]
22	Xylulose 5-phosphate	[]
23	dADP	[]
24	GTP	[]
25	N-Carbamoyl-L-aspartate	[]
26	Adenylsuccinic acid	[]
27	Farnesyl pyrophosphate	[]
28	Fructose 1,6-bisphosphate	[]
29	4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	[]
30	Dihydroxyacetone phosphate	[]
31	Palmitic acid	[]
32	L-Alanine	[]
33	But-2-enoyl-[acyl-carrier protein]	[]
34	dGDP	[]
35	D-Sedoheptulose 7-phosphate	[]
36	Acetyl-CoA	[]
37	Desmosterol	[]
38	Isopentenyl pyrophosphate	[]
39	Fumaric acid	[]
40	Flavin Adenine Dinucleotide Reduced	[]
41	2-Phospho-D-glyceric acid	[]
42	Flavin Adenine Dinucleotide Oxidized	[]
43	2-Oxoglutaramate	[]
44	Phosphoribosyl pyrophosphate	[]
45	Malonyl-CoA	[]
46	Citrulline	[]
47	L-Cystine	[]
48	Succinyl-CoA	[]
49	Cytidine triphosphate	[]
50	NADPH	[]
51	(R)-3-Hydroxypalmitoyl-[acyl-carrier protein]	[]
52	dUMP	[]
53	Succinic acid	[]
54	 Acyl Carrier Protein	[]
55	Water	[]
56	Hexadecanoyl-[acyl-carrier protein]	[]
57	Adenosine diphosphate	[]
58	Ferricytochrome C	[]
59	Hydrogen peroxide	[]
60	Phosphoenolpyruvic acid	[]
61	4alpha-Methylzymosterol	[]
62	(R)-5-Diphosphomevalonate	[]
63	Hydrogen carbonate	[]
64	Coenzyme A	[]
65	Adenosine monophosphate	[]
66	3-phospho-D-glycerate	[]
67	Glucose 6-phosphate	[]
68	Glyceraldehyde 3-Phosphate	[]
69	L-Asparagine	[]
70	Acetyl-[acyl-carrier protein]	[]
71	Citric acid	[]
72	Acetoacetyl-CoA	[]
73	3-Oxodecanoyl-[acyl-carrier protein]	[]
74	Formic acid	[]
75	Phosphohydroxypyruvic acid	[]
76	Inosinic acid	[]
77	L-Carnitine	[]
78	(2E)-Decenoyl-[acp]	[]
79	Phosphoribosylformylglycineamidine	[]
80	Uridine triphosphate	[]
81	L-Glutamate 5-semialdehyde	[]
82	(2E)-Octenoyl-[acp]	[]
83	6-Phosphogluconic acid	[]
84	Urea	[]
85	Glycineamideribotide	[]
86	D-3-Hydroxyhexanoyl-[acyl-carrier protein]	[]
87	Dodecanoyl-[acyl-carrier protein]	[]
88	Ubiquinone-1	[]
89	4'-Hydroxymethyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
90	dCDP	[]
91	Octanoyl-[acyl-carrier protein]	[]
92	Carbon dioxide	[]
93	HMA	[]
94	Guanidoacetic acid	[]
95	5'-Phosphoribosyl-N-formylglycinamide	[]
96	L-Glutamine	[]
97	D-Glucose	[]
98	Hexanoyl-[acyl-carrier protein]	[]
99	(2E)-Hexenoyl-[acp]	[]
100	Xanthosine monophosphate	[]
101	L-Arginine	[]
102	(S)-2,3-Epoxysqualene	[]
103	Ammonia	[]
104	3-Oxohexadecanoyl-[acyl-carrier protein]	[]
105	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	[]
106	NAD	[]
107	4'-Formyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
108	4'-Hydroxymethyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
109	D-Ribulose 5-phosphate	[]
110	L-Serine	[]
111	QH2	[]
112	Superoxide anion	[]
113	gamma-Glutamylcysteine	[]
114	5-Aminoimidazole ribonucleotide	[]
115	Phosphoribosyl formamidocarboxamide	[]
116	Argininosuccinic acid	[]
117	3-Keto-4-methylzymosterol	[]
118	Butyryl-[acyl-carrier protein]	[]
119	Mevalonic acid	[]
120	Sedoheptulose 1,7-bisphosphate	[]
121	Presqualene diphosphate	[]
122	Ferrocytochrome C	[]
123	Squalene	[]
124	Tetrahydrofolic acid	[]
125	4'-Formyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
126	3-Oxododecanoyl-[acyl-carrier protein]	[]
127	Phosphoserine	[]
128	Malonyl-[Acyl-Carrier Protein]	[]
129	L-Cysteine	[]
130	7-Dehydrodesmosterol	[]
131	Carbamoyl phosphate	[]
132	Dimethylallylpyrophosphate	[]
133	L-Palmitoylcarnitine	[]
134	Cytidine monophosphate	[]
135	Acetoacetyl-[acyl-carrier protein]	[]
136	5,10-Methenyltetrahydrofolic acid	[]
137	3-Oxohexanoyl-[acyl-carrier protein]	[]
138	3-Oxotetradecanoyl-[acyl-carrier protein]	[]
139	3-Hydroxy-3-methylglutaryl-CoA	[]
140	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	[]
141	CDP	[]
142	Glycine	[]
143	Adenosine triphosphate	[]
144	Tetradecanoyl-[acyl-carrier protein]	[]
145	Phosphate	[]
146	4'-Carboxy-5'-Cholesta-8,24-Dien-3'-Ol	[]
147	(R)-3-Hydroxybutanoyl-[acyl-carrier protein]	[]
148	(2E)-Tetradecenoyl-[acp]	[]
149	14-Demethyllanosterol	[]
150	6-Phosphonoglucono-D-lactone	[]
151	Decanoyl-[acyl-carrier protein]	[]
152	Putrescine	[]
153	10-Formyltetrahydrofolate	[]
154	Oxoglutaric acid	[]
155	5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	[]
156	Orotic acid	[]
157	3-Oxooctanoyl-[acyl-carrier protein]	[]
158	Oxalacetic acid	[]
159	Folic acid	[]
160	D-Ribose 5-phosphate	[]
161	Oxidized glutathione	[]
162	(S)-Dihydroorotate	[]
163	L-Malic acid	[]
164	SAICAR	[]
165	(R)-5-Phosphomevalonate	[]
166	4,4-Dimethyl-14Alpha-Hydroxymethyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	[]
167	L-Aspartic acid	[]
168	Orotidylic acid	[]
169	4,4-Dimethyl-14Alpha-Formyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	[]
170	biomasss	[]
171	Zymosterol	[]
172	Palmitoyl-CoA	[]
173	L-Glutamic acid	[]
174	NADH	[]
175	NADP(+)	[]
176	Glutathione	[]
177	Dihydrofolic acid	[]
178	Oxygen	[]
179	Pyruvic acid	[]
180	Geranyl diphosphate	[]
181	5-Phosphoribosylamine	[]
182	dCMP	[]
183	Pyrophosphate	[]
184	(2E)-Dodecenoyl-[acp]	[]
185	Lanosterol	[]
186	Ornithine	[]
187	Glyceric acid 1,3-biphosphate	[]
