	Name	Matches
0	GMP	['GMP']
1	dUDP	['dUDP']
2	D-Erythrose 4-phosphate	['D-erythrose 4-phosphate']
3	L-Proline	['L-proline']
4	Cholesterol	['cholesterol']
5	dADP	['dADP']
6	GTP	['GTP']
7	N-Carbamoyl-L-aspartate	['N-carbamoyl-L-aspartate']
8	L-Alanine	['L-alanine']
9	dGDP	['dGDP']
10	Acetyl-CoA	['acetyl-CoA']
11	Desmosterol	['desmosterol']
12	2-Oxoglutaramate	['2-oxoglutaramate']
13	Malonyl-CoA	['malonyl-CoA']
14	L-Cystine	['L-cystine']
15	Succinyl-CoA	['succinyl-CoA']
16	NADPH	['NADPH']
17	dUMP	['dUMP']
18	Hydrogen peroxide	['hydrogen peroxide']
19	Coenzyme A	['coenzyme A']
20	3-phospho-D-glycerate	['3-phospho-D-glycerate']
21	L-Asparagine	['L-asparagine']
22	Acetoacetyl-CoA	['acetoacetyl-CoA']
23	L-Carnitine	['L-carnitine']
24	L-Glutamate 5-semialdehyde	['L-glutamate-5-semialdehyde']
25	Urea	['urea']
26	Ubiquinone-1	['ubiquinone-1']
27	dCDP	['dCDP']
28	L-Glutamine	['L-glutamine']
29	L-Arginine	['L-arginine']
30	Ammonia	['ammonia']
31	D-Ribulose 5-phosphate	['D-ribulose 5-phosphate']
32	L-Serine	['L-serine']
33	Presqualene diphosphate	['presqualene diphosphate']
34	Squalene	['squalene']
35	L-Cysteine	['L-cysteine']
36	7-Dehydrodesmosterol	['7-dehydrodesmosterol']
37	Carbamoyl phosphate	['carbamoyl phosphate']
38	GDP	['GDP']
39	CDP	['CDP']
40	Glycine	['glycine']
41	Phosphate	['phosphate']
42	14-Demethyllanosterol	['14-demethyllanosterol']
43	Putrescine	['putrescine']
44	(S)-Dihydroorotate	['(S)-dihydroorotate']
45	(R)-5-Phosphomevalonate	['(R)-5-phosphomevalonate']
46	Zymosterol	['zymosterol']
47	Palmitoyl-CoA	['palmitoyl-CoA']
48	NADH	['NADH']
49	Glutathione	['glutathione']
50	Oxygen	['oxygen']
51	Geranyl diphosphate	['geranyl diphosphate']
52	dCMP	['dCMP']
53	Lanosterol	['lanosterol']
