	Name	Matches
0	5Alpha-Cholesta-8,24-Dien-3-One	[]
1	2'-Deoxyguanosine 5'-monophosphate	[]
2	 1-Pyrroline-5-Carboxylate	['(S)-1-pyrroline-5-carboxylate', '(R)-1-pyrroline-5-carboxylate']
3	5alpha-Cholesta-7,24-dien-3beta-ol	['5&alpha;-cholesta-7,24-dien-3&beta;-ol']
4	Uridine 5'-monophosphate	[]
5	Deoxyadenosine monophosphate	[]
6	Xylulose 5-phosphate	['D-xylulose 5-phosphate']
7	Fructose 1,6-bisphosphate	['&beta;-D-fructose 1,6-bisphosphate']
8	4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	['4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol']
9	Dihydroxyacetone phosphate	[]
10	D-Sedoheptulose 7-phosphate	[]
11	Isopentenyl pyrophosphate	[]
12	Citrulline	['L-citrulline']
13	 Acyl Carrier Protein	['[acyl-carrier protein]-group']
14	(R)-5-Diphosphomevalonate	[]
15	Hydrogen carbonate	['hydrogencarbonate']
16	Adenosine monophosphate	[]
17	Glucose 6-phosphate	['&alpha;-D-glucose 6-phosphate', '&beta;-D-glucose 6-phosphate']
18	Glyceraldehyde 3-Phosphate	['D-glyceraldehyde 3-phosphate', 'L-glyceraldehyde 3-phosphate']
19	Citric acid	[]
20	4'-Hydroxymethyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	['4&alpha;-hydroxymethyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol', '4&beta;-hydroxymethyl-4&alpha;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol']
21	4'-Formyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	['4&alpha;-formyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol', '4&beta;-formyl-4&alpha;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol']
22	4'-Hydroxymethyl-5'-Cholesta-8,24-Dien-3'-Ol	['4&alpha;-hydroxymethyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol']
23	5-Aminoimidazole ribonucleotide	[]
24	Sedoheptulose 1,7-bisphosphate	['D-sedoheptulose 1,7-bisphosphate']
25	4'-Formyl-5'-Cholesta-8,24-Dien-3'-Ol	['4&alpha;-formyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol']
26	Cytidine monophosphate	[]
27	3-Hydroxy-3-methylglutaryl-CoA	['(S)-3-hydroxy-3-methylglutaryl-CoA']
28	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	['4,4-dimethyl-5-&alpha;-cholesta-8,14,24-trien-3-&beta;-ol']
29	Adenosine triphosphate	[]
30	4'-Carboxy-5'-Cholesta-8,24-Dien-3'-Ol	['4&alpha;-carboxy-5&alpha;-cholesta-8,24-dien-3&beta;-ol']
31	5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	[]
32	D-Ribose 5-phosphate	['&beta;-D-ribose 5-phosphate', '&alpha;-D-ribose 5-phosphate']
33	4,4-Dimethyl-14Alpha-Hydroxymethyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	['4,4-dimethyl-14&alpha;-hydroxymethyl-5&alpha;-cholesta-8-en-3&beta;-ol']
34	4,4-Dimethyl-14Alpha-Formyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	['4,4-dimethyl-14&alpha;-formyl-5&alpha;-cholesta-8-en-3&beta;-ol']
35	Ornithine	['D-ornithine', 'L-ornithine']
