	0	1	2	3	4	5	6	7	8	9
2'-Deoxyguanosine 5'-monophosphate	"(""2'-deoxyguanosine 3'-monophosphate"", 97)"	"(""2'-deoxyadenosine 3'-monophosphate"", 91)"	"(""3'-deoxyadenosine 5'-monophosphate"", 91)"	"(""2'-deoxyguanosine"", 90)"	('phosphate', 90)	('guanosine', 90)	('2-amino-3-[(2,5-dihydroxyphenyl)sulfanyl]propanoate', 86)	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)
CDP	('CDP', 100)	('CDP-2-glycerol', 90)	('CDP-ribitol', 90)	('CDP-N-methylethanolamine', 90)	('CDP-D-fructose', 90)	('CDP-&alpha;-D-paratose', 90)	('CDP-D-mannitol', 90)	('CDP-D-xylulose', 90)	('CDP-&alpha;-abequose', 90)	('CDP-&alpha;-tyvelose', 90)
Isocitric acid	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('juvenile hormone I acid', 86)	('juvenile hormone III acid', 86)	('juvenile hormone II acid', 86)	('dihydromonacolin L acid', 86)	('3&alpha;-hydroxy-3,5-dihydromonacolin L acid', 86)	('O-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester', 86)	('8-demethylnovobiocic acid', 86)	('ulvanobiouronic acid 3-sulfate A', 86)	('ulvanobiouronic acid 3-sulfate B', 86)
4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	('4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol', 94)	('4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8-en-3&beta;-ol', 90)	('4&alpha;-formyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol', 87)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)	('N-[(3R)-8-[(2E)-but-2-enoyl]-6-(5,6-dihydropyridin-2-yl)-2-oxo-4,8-dihydro-3H-1,5-oxathiocin-3-yl]acetamide', 86)	('8-thiabicyclo[3,2,1]octane-3-one', 86)	('(25S)-5-&beta;-spirostan-3-&beta;-ol', 86)	('24-epicathasterone', 86)	('(Rib-ol)-P-Glc-AATGal-PP-undecaprenol', 86)	('2-hydroxy-2-methyl-butanal', 86)
NADPH	('NADPH', 100)	('ADP', 90)	('(S)-NADPHX', 90)	('(R)-NADPHX', 90)	('&alpha;-NADPH', 90)	('NADH', 89)	('&alpha;-NADH', 80)	('1,6-dihydro-&beta;-NADP', 80)	('1,2-dihydro-&beta;-NADP', 80)	('3-acetyl-NADH', 80)
L-Asparagine	('L-asparagine', 100)	('D-asparagine', 92)	('N<sup>4</sup>-(&beta;-N-acetyl-D-glucosaminyl)-L-asparagine', 90)	('(3S)-3-hydroxy-L-asparagine', 90)	('glycyl-L-asparagine', 90)	('L-isoleucyl-L-asparagine', 90)	('L-leucyl-L-asparagine', 90)	('N<sup>&alpha;</sup>-acetyl-L-asparagine', 90)	('N6-acetyl-L-&beta;-lysine', 86)	('(L-firefly luciferyl)adenylate', 86)
Malonyl-CoA	('malonyl-CoA', 100)	('PAP-malonyl-CoA', 95)	('chloroethylmalonyl-CoA', 90)	('malonyl-CoA methyl ester', 90)	('(2R)-ethylmalonyl-CoA', 90)	('(2S)-ethylmalonyl-CoA', 90)	('(S)-methylmalonyl-CoA', 90)	('(R)-methylmalonyl-CoA', 90)	('malonamoyl-CoA', 88)	"(""kaempferol 7-O-&beta;-D-(6''-O-malonyl)-glucoside"", 86)"
(2E)-Dodecenoyl-[acp]	('(2E,5S,6E,8E,10E)-1-aminododeca-2,6,8,10-tetraen-5-ol', 86)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)	('N-[(3R)-8-[(2E)-but-2-enoyl]-6-(5,6-dihydropyridin-2-yl)-2-oxo-4,8-dihydro-3H-1,5-oxathiocin-3-yl]acetamide', 86)	('(2E,4E)-2-methyl-6-oxohepta-2,4-dienal', 86)	('3-[(2R)-3,5-dioxo-4-[(2E.4S,6S,8E,10E,12E)-4,6,12-trimethyltetradeca-2,8,10,12-tetraenoyl]pyrrolidin-2-yl]-2-hydroxy-2-methylpropanoate', 86)	('(2E)-3-methyl-4,6-dioxohept-2-enedioate', 86)	('(2E)-2-methyl-4,6-dioxohept-2-enedioate', 86)	('9-hydroxy-3,5,7,11,13,15,17,19-octaoxohenicosanoyl-[acp]', 86)	('3,5,7,9,11,13,15,17,19-nonaoxohenicosanoyl-[acp]', 86)	('(2E,4E,6E)-7-hydroxy-5-methylhepta-2,4,6-trienal', 86)
Pyruvic acid	('pseudolaric acid C', 86)	('pseudolaric acid A', 86)	('pseudolaric acid B', 86)	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('juvenile hormone I acid', 86)	('juvenile hormone III acid', 86)	('juvenile hormone II acid', 86)	('dihydromonacolin L acid', 86)	('3&alpha;-hydroxy-3,5-dihydromonacolin L acid', 86)	('O-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester', 86)
L-Alanine	('L-alanine', 100)	('3-({[(2R,3R)-3-carbamoyloxiran-2-yl]carbonyl}amino)-L-alanine', 90)	('3-(5-oxoisoxazolin-4-yl)-L-alanine', 90)	('3-(5-oxoisoxazolin-2-yl)-L-alanine', 90)	('1,4-benzothiazinyl-alanine', 90)	('L-alanine amide', 90)	('N-acetyl-&alpha;-D-muramoyl-L-alanine(1-)', 90)	('UDP-N-acetyl-&alpha;-D-muramoyl-L-alanine', 90)	('(+)-7-epi-jasmonoyl-L-alanine', 90)	('(-)-jasmonoyl-L-alanine', 90)
