	Name	Matches
0	Isocitric acid	[]
1	5Alpha-Cholesta-8,24-Dien-3-One	[]
2	2'-Deoxyguanosine 5'-monophosphate	[]
3	D-3-Hydroxydodecanoyl-[acyl-carrier protein]	[]
4	 1-Pyrroline-5-Carboxylate	[]
5	proton	[]
6	(2E)-Hexadecenoyl-[acp]	[]
7	5'-Thymidylic acid	[]
8	5,10-Methylene-THF	[]
9	Fructose 6-phosphate	[]
10	5alpha-Cholesta-7,24-dien-3beta-ol	[]
11	Uridine 5'-monophosphate	[]
12	AICAR	[]
13	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	[]
14	Deoxyadenosine monophosphate	[]
15	L-Lactic acid	[]
16	3-Mercaptopyruvic acid	[]
17	Xylulose 5-phosphate	[]
18	Adenylsuccinic acid	[]
19	Farnesyl pyrophosphate	[]
20	Fructose 1,6-bisphosphate	[]
21	4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	[]
22	Dihydroxyacetone phosphate	[]
23	Palmitic acid	[]
24	But-2-enoyl-[acyl-carrier protein]	[]
25	D-Sedoheptulose 7-phosphate	[]
26	Isopentenyl pyrophosphate	[]
27	Fumaric acid	[]
28	Flavin Adenine Dinucleotide Reduced	[]
29	2-Phospho-D-glyceric acid	[]
30	Flavin Adenine Dinucleotide Oxidized	[]
31	Phosphoribosyl pyrophosphate	[]
32	Citrulline	[]
33	Cytidine triphosphate	[]
34	(R)-3-Hydroxypalmitoyl-[acyl-carrier protein]	[]
35	Succinic acid	[]
36	 Acyl Carrier Protein	[]
37	Water	[]
38	Hexadecanoyl-[acyl-carrier protein]	[]
39	Adenosine diphosphate	[]
40	Ferricytochrome C	[]
41	Phosphoenolpyruvic acid	[]
42	4alpha-Methylzymosterol	[]
43	(R)-5-Diphosphomevalonate	[]
44	Hydrogen carbonate	[]
45	Adenosine monophosphate	[]
46	Glucose 6-phosphate	[]
47	Glyceraldehyde 3-Phosphate	[]
48	Acetyl-[acyl-carrier protein]	[]
49	Citric acid	[]
50	3-Oxodecanoyl-[acyl-carrier protein]	[]
51	Formic acid	[]
52	Phosphohydroxypyruvic acid	[]
53	Inosinic acid	[]
54	(2E)-Decenoyl-[acp]	[]
55	Phosphoribosylformylglycineamidine	[]
56	Uridine triphosphate	[]
57	Uridine 5'-diphosphate	[]
58	(2E)-Octenoyl-[acp]	[]
59	6-Phosphogluconic acid	[]
60	Glycineamideribotide	[]
61	D-3-Hydroxyhexanoyl-[acyl-carrier protein]	[]
62	Dodecanoyl-[acyl-carrier protein]	[]
63	4'-Hydroxymethyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
64	Octanoyl-[acyl-carrier protein]	[]
65	Carbon dioxide	[]
66	HMA	[]
67	Guanidoacetic acid	[]
68	5'-Phosphoribosyl-N-formylglycinamide	[]
69	D-Glucose	[]
70	Hexanoyl-[acyl-carrier protein]	[]
71	(2E)-Hexenoyl-[acp]	[]
72	Xanthosine monophosphate	[]
73	(S)-2,3-Epoxysqualene	[]
74	3-Oxohexadecanoyl-[acyl-carrier protein]	[]
75	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	[]
76	NAD	[]
77	4'-Formyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
78	4'-Hydroxymethyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
79	QH2	[]
80	Superoxide anion	[]
81	gamma-Glutamylcysteine	[]
82	5-Aminoimidazole ribonucleotide	[]
83	Phosphoribosyl formamidocarboxamide	[]
84	Argininosuccinic acid	[]
85	3-Keto-4-methylzymosterol	[]
86	Butyryl-[acyl-carrier protein]	[]
87	Mevalonic acid	[]
88	Sedoheptulose 1,7-bisphosphate	[]
89	Ferrocytochrome C	[]
90	Tetrahydrofolic acid	[]
91	4'-Formyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
92	3-Oxododecanoyl-[acyl-carrier protein]	[]
93	Phosphoserine	[]
94	Malonyl-[Acyl-Carrier Protein]	[]
95	Dimethylallylpyrophosphate	[]
96	L-Palmitoylcarnitine	[]
97	Cytidine monophosphate	[]
98	Acetoacetyl-[acyl-carrier protein]	[]
99	5,10-Methenyltetrahydrofolic acid	[]
100	3-Oxohexanoyl-[acyl-carrier protein]	[]
101	3-Oxotetradecanoyl-[acyl-carrier protein]	[]
102	3-Hydroxy-3-methylglutaryl-CoA	[]
103	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	[]
104	Adenosine triphosphate	[]
105	Tetradecanoyl-[acyl-carrier protein]	[]
106	4'-Carboxy-5'-Cholesta-8,24-Dien-3'-Ol	[]
107	(R)-3-Hydroxybutanoyl-[acyl-carrier protein]	[]
