Name	Identifiers
2-Oxoglutaramate	['C00940', '30882', '16769']
GTP	['15996', 'C00044', '37565']
(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	['C04620']
Flavin Adenine Dinucleotide Reduced	[]
Folic acid	['67011', 'CPD-12826', '62501', 'C00504', '37445', '27470']
NADPH	['C00005', '13392', '16474', '57783']
Tetradecanoyl-[acyl-carrier protein]	['50651', 'C05761']
proton	['24636', 'C00080']
Adenosine triphosphate	['30616', '22258', '15422', 'C00002']
5'-Thymidylic acid	['C00364', '17013']
Farnesyl pyrophosphate	['17407', 'C00448']
(2E)-Hexadecenoyl-[acp]	['C05763', '10729']
NADP(+)	['18009', '13390', 'C00006', '58349']
Oxygen	['C00007', '25805', '15379']
 1-Pyrroline-5-Carboxylate	['1372', '15893', '371', 'C03912', 'C04322']
Decanoyl-[acyl-carrier protein]	['C05755', '4349']
Orotic acid	['OROTATE', '30839', '16742', 'C00295']
Cytidine triphosphate	['17677', 'C00063']
Lanosterol	['16521', 'C01724', 'LANOSTEROL']
dUDP	['60471', 'C01346', '28850']
Superoxide anion	['C00704', '18421']
4'-Formyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
3-Oxotetradecanoyl-[acyl-carrier protein]	['1655', 'C05759']
L-Malic acid	['C00149', 'MAL', '30797', '15589']
5-Aminoimidazole ribonucleotide	['5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE', '138560', '40703', 'C03373']
Water	['15377', 'C00001']
10-Formyltetrahydrofolate	['15637', 'C00234']
D-Ribose 5-phosphate	['C00117', '58273', 'CPD-15317', '78346', '78679', '17797', '52742']
4'-Formyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
Cholesterol	['C00187', 'CHOLESTEROL', '16113']
Zymosterol	['C05437', '18252']
Palmitic acid	['PALMITATE', 'C00249', '15756', '7896']
L-Cystine	['C00491', '35491', '50058', '16283']
Uridine triphosphate	['27239', '15713', 'C00075']
(R)-3-Hydroxypalmitoyl-[acyl-carrier protein]	['C04633']
Glycineamideribotide	['C03838', '18349']
D-Erythrose 4-phosphate	['16897', 'C00279', '48153']
NADH	['57945', '16908', 'C00004']
L-Aspartic acid	['C00049', '17053', '29993', '29991', 'L-ASPARTATE', '29958']
Phosphate	['35780', '43474', '18367', 'C00009', '26078', '14792', '26020']
4'-Hydroxymethyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
Guanidoacetic acid	['C00581', '16344']
(S)-2,3-Epoxysqualene	['15441', 'EPOXYSQUALENE', 'C01054']
4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	['C11455', '17813']
Ammonia	['28938', 'C00014', 'AMMONIUM', 'AMMONIA', '16134', 'C01342']
gamma-Glutamylcysteine	['17515', 'C00669', '24195']
Argininosuccinic acid	['40891']
Fructose 6-phosphate	['C05345', '88003', '15946', '16084', 'CPD-15709', 'C00085']
14-Demethyllanosterol	['C05108', '18364']
3-Mercaptopyruvic acid	['C00957', '16208', '3-MERCAPTO-PYRUVATE', '57678']
Glutathione	['C00051', '11107', '57925', '11094', '16856', 'GLUTATHIONE']
7-Dehydrodesmosterol	['C05107', '27910']
Orotidylic acid	['C01103', '15842']
2-Phospho-D-glyceric acid	['C00631', '17835', '2-PG']
Hexanoyl-[acyl-carrier protein]	['5704', 'C05749']
3-Oxodecanoyl-[acyl-carrier protein]	['1634', 'C05753']
Carbon dioxide	['16526', 'C00011', 'CARBON-DIOXIDE']
Glyceraldehyde 3-Phosphate	['C00118', '58027', 'CPD0-2032', 'C00661', '17138', '29052', '42635']
L-Serine	['C00065', '33384', '17115', '29999']
3-Oxooctanoyl-[acyl-carrier protein]	['C05750', '1646']
Glycine	['57305', '15428', '29947', 'C00037']
(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	['C04619']
Dihydroxyacetone phosphate	['DIHYDROXY-ACETONE-PHOSPHATE', '16108', '57642', 'C00111']
5,10-Methenyltetrahydrofolic acid	['57455', 'C00445', '15638']
AICAR	['18406', 'C04677', '28498']
Acetoacetyl-CoA	['15345', 'C00332', '57286']
D-Glucose	['C00031', '42758', 'D-Glucose', '4167', '17634']
Hydrogen carbonate	['C00288', '17544']
5Alpha-Cholesta-8,24-Dien-3-One	['52386', 'C22136']
dADP	['C00206', '57667', '16174']
Palmitoyl-CoA	['C00154', '15525']
Dodecanoyl-[acyl-carrier protein]	['C05223']
Formic acid	['30751', '15740', 'FORMATE', '52343', 'C00058']
Succinic acid	['26806', '15741', 'C00042', '30031']
Adenosine monophosphate	['16027', 'C00020', '22254', 'AMP']
GDP	['C00035', '17552', '58189', 'G10620']
