keggId	uniprotId
5281	Q07326
5281	Q6IB04
494551	P0C1S8
5319	P04054
1738	P09622
1738	A0A024R713
4914	P04629
10000	Q9Y243
2651	Q8N0V5
3155	P35914
23358	Q9UPU5
9420	O75881
9420	Q05C57
5162	P11177
5162	A0A384MDR8
1314	P53621
5129	Q07002
5129	A0A024R996
5129	Q59G02
79868	Q9NP73
26275	Q6NVY1
26275	A0A140VJL0
158506	Q8N7E2
27010	Q9H3S4
27010	A0A090N8Y0
57531	Q8IYU2
23097	Q9BWU1
2041	P21709
11183	Q9Y4K4
11183	B3KWC4
4538	P03905
4538	H9EC08
9476	O96009
79966	Q86SK9
79966	Q86UC8
387787	A6NK58
4905	P46459
4905	A0A384MTI6
7357	Q16739
7357	A0A024R157
84188	Q8WVX9
151112	Q8NEG5
2524	Q10981
2524	A8K2L2
11221	Q9Y6W6
221955	Q8NCG7
5979	P07949
5979	A0A024R7T2
493	P23634
493	A0A024R968
4638	Q15746
10595	Q76MJ5
10595	A5YM46
10595	A5YM65
438	P46597
438	A0A024RBT9
1195	P49759
1339	Q02221
57574	Q9P2E8
54434	Q8WYL5
8972	O43451
85320	Q96J66
85320	A0A024R6Q6
340485	Q5QJU3
340485	B3KVV5
253017	Q5HYJ1
1147	O15111
57038	Q5T160
8501	O75387
8501	A0A024R4Y3
814	Q16566
132789	Q8TDQ7
132789	A0A024R9X5
118881	Q86VU5
5009	P00480
1612	P53355
1019	P11802
1019	A0A024RBB6
5832	P54886
162417	Q8N159
123876	Q08AH3
8476	Q5VT25
269	Q16671
4141	P56192
26524	Q9NRM7
26524	A0A024RDM3
79872	Q75N03
2222	P37268
2222	Q6IAX1
10312	Q13488
10312	A0A024R5E5
56624	Q9NR71
2342	P49356
2342	A0A384MEJ5
57834	Q9HBI6
51099	Q8WTS1
51099	A0A0S2Z5D6
5604	Q02750
5604	A4QPA9
262	P17707
262	B4DZ60
262	A0A088AWN0
262	Q6N0B2
29089	Q9NPD8
29089	A0A024R9A9
55867	Q9NSA0
10461	Q12866
55904	Q8IZD2
10039	Q9Y6F1
10039	A0A024R2X5
5058	Q13153
5058	A0A024R5P0
8654	O76074
10166	Q9Y619
55315	Q9BZD2
6514	P11168
79077	Q9H773
1452	P48729
7867	Q16644
7867	A0A024R2W7
5426	Q07864
2042	P29320
2042	A0A140VJJ0
2042	Q6P4R6
5406	P16233
2872	Q9HBH9
2872	B3KS07
23729	Q9UHJ6
23729	A0A0B4J2A0
10769	Q9NYY3
10769	A0A024QZV1
64849	Q8WWT9
55821	Q8N6M5
5576	P13861
5576	A0A024R2W3
5576	A8KAH7
7083	P04183
7083	A0A384MDV9
8525	Q13574
79944	Q9H9P8
8612	O43688
51	Q15067
4363	P33527
5860	P09417
5860	A0A140VKA9
1522	Q9UBR2
115111	Q8TE54
54414	Q9HAT2
5950	P02753
80854	Q8WTS6
55089	Q969I6
55089	A0A024R0X7
6561	Q9BZW2
6561	A4D0X1
2528	P51993
2528	Q6P7E6
4259	O14880
4259	A0A024R8Z1
11112	P31937
11112	A0A024RA75
57468	Q9H2X9
5184	P12955
5184	A0A140VJR2
7332	P68036
7332	A0A024R1A4
29953	Q9UKU6
225	Q9UBJ2
1120	Q9Y259
1120	A0A024R4X4
5141	P27815
112	O43306
57571	A5YM72
11059	Q9H0M0
54861	Q9NRH2
54861	A0A024R2Y6
6565	Q16348
1583	P05108
1583	A0A0S2Z3R3
10840	O75891
10840	Q53H87
63891	Q5XPI4
54578	P19224
54578	Q5DSZ8
91227	Q14390
84264	Q6PII5
10202	Q13268
64064	Q9BYC2
64087	Q9HCC0
64087	A0A140VK29
1460	P67870
1460	N0E4C7
7001	P32119
7001	V9HW12
9497	Q9Y6M7
64180	Q9H4B8
64180	A0A140VK16
280	P19961
8396	P78356
57559	Q96FJ0
56623	Q9NRR6
7844	O00237
9945	O94808
9945	A0A0S2Z4X9
9945	B3KMR8
9663	Q92539
5579	P05771
51478	P56937
51478	A0A024R913
2519	Q9BTY2
5408	P54317
79411	Q6UWU2
79411	A0A140VJK0
5602	P53779
5602	A0A286YF97
5791	P23469
1595	Q16850
1595	A0A0C4DFL7
389840	Q6ZN16
55191	Q6IA69
23464	O75600
23464	A8K228
8604	O75746
1375	Q92523
1375	A0A024R4W7
1375	Q53FV7
1375	A5PLL0
23236	Q9NQ66
10993	P20132
10993	Q8WW81
57602	Q9P275
57602	A0A024R8V6
54981	Q9NWW6
5295	P27986
5295	A0A2X0SFG1
353497	Q7Z5Q5
25830	Q9BR01
8287	O00507
5531	P60510
5531	A0A024R625
201562	Q6Y1H2
79707	Q5SY16
26091	Q5GLZ8
55512	Q9NY59
55512	A8K0T6
81629	Q96PN8
318	P50583
220441	Q8N8N0
51426	Q9UBT6
51426	A0A024RAP4
245972	Q8N8Y2
245972	A0A024R991
122622	Q8N142
2065	P21860
1798	Q9H3H5
1798	A0A024R3H8
57419	Q9HC58
10715	P27544
4047	P48449
4047	B2R694
349565	Q96T66
349565	Q49AL4
10861	Q9H2B4
192286	Q9BW72
192286	A0A024R7Q3
9354	Q14139
89792	Q96A11
3645	P14616
646486	A6NFH5
4255	P16455
4255	B4DEE8
5465	Q07869
5465	F1D8S4
23552	Q8IZL9
7786	Q12852
7786	A0A024RAY5
257068	Q0VAA5
283629	Q6SA08
6198	P23443
55743	Q96EP1
7173	P07202
7173	Q502Y3
7173	Q6P534
5264	O14832
284098	Q7Z7B1
51102	Q9BV79
728386	A8MUK1
30849	Q99570
10524	Q92993
10524	A0A024R597
728642	Q9UQ88
11282	Q9UQ53
5634	P11908
55326	Q9NUQ2
55326	A0A024R640
8540	O00116
119548	Q17RR3
80347	Q13057
8833	P49915
8833	A0A140VJK6
833	P49589
833	A0A024RCG3
4915	Q16620
4915	Q5VWE5
4915	Q548C2
10914	P51003
10914	A0A024R6M3
2070	O95677
2070	Q96CJ7
867	P22681
293	P12236
293	Q6I9V5
1453	P48730
2875	P24298
8520	O14929
4846	P29474
1757	Q9UL12
1757	A8K596
28965	Q9Y2P4
818	Q13555
10171	Q9Y2P8
5425	P49005
23463	O60725
23463	A0A024R4F6
51170	Q8NBQ5
57282	Q6U841
4723	P49821
4723	E5KNH5
7351	P55851
7351	A0A024R5N5
