keggId	uniprotId
1	P04217
1	V9HWD8
10	P11245
10	A4Z6T7
100	P00813
100	A0A0S2Z381
1000	P19022
1000	A0A024RC42
10000	Q9Y243
100008586	O76087
100008586	P0CL80
100008586	P0CL81
100008586	P0CL82
10001	O75586
10002	Q9Y5X4
10003	Q9Y3Q0
100037417	A6NHG4
100037417	A0A0F7RPW6
10004	Q9UQQ1
100049587	Q08ET2
10005	O14734
10006	Q8IZP0
10007	P46926
10008	Q9Y6H6
10008	Q6IAE6
10009	Q86T24
1001	P22223
10010	Q92844
10010	Q6NW12
10010	B2R7S3
100101267	B4DET5
100101267	B4DDR5
100101467	Q86W11
100101629	Q9UEU5
10011	Q9HD15
100113407	Q5T4T1
100125288	P0C6A0
100127206	P59773
100127983	P0DMB2
100128071	H3BQW9
100128327	Q5T215
100128553	Q8IX94
100128569	A6NCJ1
100128731	P0C6T2
100128927	B2RXF5
100129128	Q5JSQ8
100129216	A0A096LNP1
100129239	A0A1B0GTR3
100129239	P0DPH9
100129271	Q5T750
100129278	B5MCY1
100129361	P0DMW3
100129407	A0A1B0GUQ0
100129407	A0A1B0GV22
100129480	H3BPM6
100129520	A0A0J9YWL9
100129543	Q6ZMV8
100129583	Q6ZV65
100129654	Q7RTU0
100129669	S4R3E6
100129792	Q4G0S7
100129792	A0A024R043
100129842	O75373
100129969	A6NFA0
10013	Q9UBN7
10013	A0A024QZ26
100130086	Q9UBD0
100130086	A0A140VK21
100130274	P0CW27
100130301	P0DMQ9
100130311	Q6ZR85
100130348	E9PQX1
100130361	A8MYA2
100130519	A6NGB7
100130520	A0A0K2S4Q6
100130613	B1ATL7
100130705	A0A1B0GUX0
100130733	Q7Z2Q7
100130742	Q6ZNQ3
100130827	P0C264
100130890	H0UI37
100130933	P0DI80
100130958	A8MT33
100131017	A6NFI3
100131137	Q075Z2
100131187	Q8NFU3
100131211	A6NFY4
100131244	C9JTQ0
100131303	A0A0U1RQF7
100131378	Q3C1V1
100131390	P0CG40
100131439	Q6UXZ3
100131539	A8MWA4
100131608	E9PI22
100131608	P0DMB1
100131755	Q5H9R4
100131801	P0DJ07
100131827	A0A494C0W3
100131897	A6NMK8
100131902	Q3LHN0
100131980	A8MUZ8
100132074	A0A1X9RU27
100132146	A0A1B0GVK7
100132146	A0A286YEV0
100132247	A8MRT5
100132247	B4E0Y1
