keggId	uniprotId	proteinNames	geneNames	txt_subunit	function	id_uniprot	complexPortal	complexPortal_uniprotId	complexPortal_protName	structure	interact	by_similarity	gene_from_structure	otherSubunits	subunitsFromName	otherIsoforms	isoformIndication	subunitIndication	sameEnzymeMembership	redundancy	stringSubunits	isoform	geneName_fromKEGG
10057	O15440	['Multidrug resistance-associated protein 5', 'ATP-binding cassette sub-family C member 5', 'Multi-specific organic anion transporter C', 'MOAT-C', 'SMRP', 'pABC11']	['ABCC5', 'MRP5']		Acts as a multispecific organic anion pump which can transport nucleotide analogs. Heme transporter required for the translocation of cytosolic heme to the secretory pathway (PubMed:24836561).	['O15440', 'B9EIQ2', 'O14517', 'Q29ZA9', 'Q29ZB1', 'Q86UX3', 'Q86W30', 'Q9UN85', 'Q9UNP5', 'Q9UQC3']		[]	[]		[]	[]	[]	[]	[]	[]	False	False	False	[]	[]	['ABCC5']	['ABCC5', ' ABC33', ' EST277145', ' MOAT-C', ' MOATC', ' MRP5', ' SMRP', ' pABC11']
10146	Q13283	['Ras GTPase-activating protein-binding protein 1', 'G3BP-1', 'ATP-dependent DNA helicase VIII', 'hDH VIII', 'GAP SH3 domain-binding protein 1']	['G3BP1', 'G3BP']	(Microbial infection) Interacts with Sindbis virus non-structural protein 3 (via C-terminus); this interaction inhibits the formation of host stress granules on viral mRNAs and the nsp3-G3BP1 complexes bind viral RNAs and probably orchestrate the assembly of viral replication complexes.	ATP- and magnesium-dependent helicase that plays an essential role in innate immunity (PubMed:30510222). Participates in the DNA-triggered cGAS/STING pathway by promoting the DNA binding and activation of CGAS. Enhances also DDX58-induced type I interferon production probably by helping DDX58 at sensing pathogenic RNA (PubMed:30804210). In addition, plays an essential role in stress granule formation (PubMed:12642610, PubMed:20180778, PubMed:23279204). Unwinds preferentially partial DNA and RNA duplexes having a 17 bp annealed portion and either a hanging 3' tail or hanging tails at both 5'- and 3'-ends (PubMed:9889278). Unwinds DNA/DNA, RNA/DNA, and RNA/RNA substrates with comparable efficiency (PubMed:9889278). Acts unidirectionally by moving in the 5' to 3' direction along the bound single-stranded DNA (PubMed:9889278). Phosphorylation-dependent sequence-specific endoribonuclease in vitro (PubMed:11604510). Cleaves exclusively between cytosine and adenine and cleaves MYC mRNA preferentially at the 3'-UTR (PubMed:11604510).	['Q13283', 'Q5HYE9']		[]	[]		[]	[]	[]	['es', 'bind', 'viral', 'rnas', 'and', 'probably', 'orchestrate', 'the', 'assembly', 'of', 'viral', 'replication', 'es', 'sindbis', 'virus', 'non', 'structural', 'protein', '3', 'via', 'c', 'terminus', 'this', 'interaction', 'inhibits', 'the', 'formation', 'of', 'host', 'stress', 'granules', 'on', 'viral', 'mrnas', 'and', 'the', 'nsp3', 'g3bp1', 'complexes', 'bind', 'viral', 'rnas', 'and', 'probably', 'orchestrate', 'the', 'assembly', 'of', 'viral', 'replication', 'complexes', 'viral', 'rnas', 'and', 'probably', 'orchestrate', 'the', 'assembly', 'of', 'viral', 'replication', 'complexes', 'ation', 'of', 'host', 'stress', 'granules', 'on', 'viral', 'mrnas', 'and', 'the', 'nsp3', 'g3bp1', 'complexes', 'bind', 'viral', 'rnas', 'and', 'probably', 'orchestrate', 'the', 'assembly', 'of', 'viral', 'replication', 'complexes', 'with', 'sindbis', 'virus', 'non', 'structural', 'protein', '3', 'via', 'c', 'terminus', 'this', 'interaction', 'inhibits', 'the', 'formation', 'of', 'host', 'stress', 'granules', 'on', 'viral', 'mrnas', 'and', 'the', 'nsp3', 'g3bp1', 'complexes', 'bind', 'viral', 'rnas', 'and', 'probably', 'orchestrate', 'the', 'assembly', 'of', 'viral', 'replication', 'complexes', 's', 'with', 'sindbis', 'virus', 'non', 'structural', 'protein', '3', 'via', 'c', 'terminus', 'this', 'ion', 'inhibits', 'the', 'formation', 'of', 'host', 'stress', 'granules', 'on', 'viral', 'mrnas', 'and', 'the', 'nsp3', 'g3bp1', 'complexes', 'bind', 'viral', 'rnas', 'and', 'probably', 'orchestrate', 'the', 'assembly', 'of', 'viral', 'replication', 'complexes', 'es', 'bind', 'viral', 'rnas', 'and', 'probably', 'orchestrate', 'the', 'assembly', 'of', 'viral', 'replication', 'es']	[]	[]	False	False	False	[]	['YBX1', 'EIF4G1', 'TIA1', 'CAPRIN1', 'NUFIP2', 'TIAL1', 'PABPC1']	['G3BP1']	['G3BP1', ' G3BP', ' HDH-VIII']
10146	Q5U0Q1	[]	['DKFZp686L1159', 'G3BP', 'hCG_39146']			['Q5U0Q1']		[]	[]		[]	[]	[]	[]	[]	[]	False	False	False	[]	[]	['G3BP1']	['G3BP1', ' G3BP', ' HDH-VIII']
10146	Q6ZP53	[]	[]			['Q6ZP53']		[]	[]		[]	[]	[]	[]	[]	[]	False	False	False	[]	[]	['G3BP1']	['G3BP1', ' G3BP', ' HDH-VIII']
10165	Q9UJS0	['Calcium-binding mitochondrial carrier protein Aralar2', 'Citrin', 'Mitochondrial aspartate glutamate carrier 2', 'Solute carrier family 25 member 13']	['SLC25A13', 'ARALAR2']	Homodimer (via N-terminus).	Mitochondrial and calcium-binding carrier that catalyzes the calcium-dependent exchange of cytoplasmic glutamate with mitochondrial aspartate across the mitochondrial inner membrane (PubMed:11566871, PubMed:25410934). May have a function in the urea cycle (PubMed:11566871).	['Q9UJS0', 'O14566', 'O14575', 'Q546F9', 'Q9NZW1', 'Q9UNI7']		[]	[]		[]	[]	[]	[]	[]	[]	False	False	False	[]	[]	['SLC25A12', 'SLC25A13']	['SLC25A13', ' ARALAR2', ' CITRIN', ' CTLN2', ' NICCD']
10166	Q9Y619	['Mitochondrial ornithine transporter 1']	['SLC25A15', 'ORC1', 'ORNT1', 'SP1855']		Ornithine-citrulline antiporter. Connects the cytosolic and the intramitochondrial reactions of the urea cycle by exchanging cytosolic ornithine with matrix citrulline (PubMed:12807890). The stoichiometry is close to 1:1 (By similarity).	['Q9Y619', 'Q5VZD8', 'Q9HC45']		[]	[]		[]	[]	[]	[]	[]	[]	False	False	False	[]	[]	['SLC25A2', 'SLC25A15']	['SLC25A15', ' D13S327', ' HHH', ' LNC-HC', ' ORC1', ' ORNT1']
10201	O75414	['Nucleoside diphosphate kinase 6', 'Inhibitor of p53-induced apoptosis-alpha', 'IPIA-alpha', 'nm23-H6']	[]		Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate. Inhibitor of p53-induced apoptosis.	['O75414', 'B4DGW7', 'B4DM99', 'Q53HM5', 'Q96E73', 'Q9BQ63']		[]	[]		[]	[]	[]	[]	[]	[]	False	False	False	[]	[]	['NME1-NME2', 'NME4', 'NME3', 'NME2', 'NME1', 'NME7', 'NME6']	['NME6', ' IPIA-ALPHA', ' NDK_6', ' NM23-H6']
10212	O00148	['ATP-dependent RNA helicase DDX39A', 'DEAD box protein 39', 'Nuclear RNA helicase URH49']	['DDX39A', 'DDX39']	Binds ALYREF/THOC4 and DDX39B/BAT1. Interacts with SARNP. Interacts with human cytomegalovirus/HHV-5 protein UL69. Interacts with MX1. Interacts with MCM3AP isoform GANP (PubMed:23652018).	Involved in pre-mRNA splicing. Required for the export of mRNA out of the nucleus.	['O00148', 'B1Q2N1', 'Q8N5M0', 'Q9BVP6', 'Q9H5W0']		[]	[]		['SARNP', 'UL69', 'MX1', 'MCM3AP', 'GANP']	[]	[]	['alyref', 'thoc4', 'and', 'ddx39b', 'bat1', 's', 'alyref', 'thoc4', 'and', 'ddx39b', 'bat1', 'sarnp', 'with', 'sarnp', 's', 'with', 'sarnp', 'human', 'cytomegalovirus', 'hhv', '5', 'protein', 'ul69', 'with', 'human', 'cytomegalovirus', 'hhv', '5', 'protein', 'ul69', 's', 'with', 'human', 'cytomegalovirus', 'hhv', '5', 'protein', 'ul69', 'mx1', 'with', 'mx1', 's', 'with', 'mx1', 'mcm3ap', 'isoform', 'ganp', 'pubmed', '23652018', 'ganp', 'pubmed', '23652018', 'with', 'mcm3ap', 'isoform', 'ganp', 'pubmed', '23652018', 's', 'with', 'mcm3ap', 'isoform', 'ganp', 'pubmed', '23652018']	[]	[]	False	False	False	[]	['SARNP', 'CDC5L', 'POLDIP3', 'DDX39B', 'NCBP1', 'ALYREF', 'CHTOP']	['DDX39A']	['DDX39A', ' BAT1', ' BAT1L', ' DDX39', ' DDXL', ' URH49']
102157402	Q9Y3D8	['Adenylate kinase isoenzyme 6', 'AK6', 'Adrenal gland protein AD-004', 'Coilin-interacting nuclear ATPase protein', 'hCINAP', 'Dual activity adenylate kinase/ATPase', 'AK/ATPase']	['AK6', 'CINAP', 'AD-004', 'CGI-137']	Monomer and homodimer (By similarity). Interacts with COIL (via C-terminus).	Broad-specificity nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. AMP and dAMP are the preferred substrates, but CMP and dCMP are also good substrates. IMP is phosphorylated to a much lesser extent. All nucleoside triphosphates ATP, GTP, UTP, CTP, dATP, dCTP, dGTP, and TTP are accepted as phosphate donors. CTP is the best phosphate donor, followed by UTP, ATP, GTP and dCTP. May have a role in nuclear energy homeostasis. Has also ATPase activity. May be involved in regulation of Cajal body (CB) formation.	['Q9Y3D8', 'A8MSZ6', 'Q5F2S9']		[]	[]		['COIL']	[]	[]	['coil', 'via', 'c', 'terminus', 'with', 'coil', 'via', 'c', 'terminus', 's', 'with', 'coil', 'via', 'c', 'terminus']	[]	[]	True	False	False	[]	[]	['AK6']	['AK6', ' AD-004', ' CGI-137', ' CINAP', ' CIP', ' hCINAP']
10269	O75844	['CAAX prenyl protease 1 homolog', 'Farnesylated proteins-converting enzyme 1', 'FACE-1', 'Prenyl protein-specific endoprotease 1', 'Zinc metalloproteinase Ste24 homolog']	['ZMPSTE24', 'FACE1', 'STE24']		Proteolytically removes the C-terminal three residues of farnesylated proteins. Acts on lamin A/C.	['O75844', 'B3KQI7', 'D3DPU7', 'Q8NDZ8', 'Q9UBQ2']		[]	[]		[]	[]	[]	[]	[]	[]	False	False	False	[]	[]	['ZMPSTE24']	['ZMPSTE24', ' FACE-1', ' FACE1', ' HGPS', ' PRO1', ' STE24', ' Ste24p']
