keggId	uniprotId
YDL004W	Q12165
YDR352W	Q06328
YCR098C	P25346
YJR159W	P35497
YBR004C	P38211
YEL021W	P03962
YDR456W	Q04121
YOR100C	Q12289
YLR240W	P22543
YCL064C	P25379
YLR180W	P10659
YPR113W	P06197
YMR015C	P54781
YPL214C	P41835
YLR342W	P38631
YPR145W	P49089
YHR123W	P22140
YGL148W	P28777
YDL067C	P07255
YLR157C	P0CZ17
YLR157C	P0CX77
YLR157C	P0CX78
YLR157C	P0CX79
YDL022W	Q00055
YMR145C	P40215
YDL171C	Q12680
YOR171C	Q12246
YOR360C	P06776
Q0085	P00854
YIL094C	P40495
YER081W	P40054
YML004C	P50107
YDR399W	Q04178
YOL136C	Q12471
YGR264C	P00958
YNL073W	P32048
YHR106W	P38816
YJR158W	P47185
YDL198C	P38988
YNL106C	P50942
YDR071C	Q12447
YGL184C	P53101
YAL061W	P39713
YJR077C	P23641
YDR530C	P22108
YJR105W	P47143
YNL267W	P39104
YOR099W	P27810
YNL268W	P32487
YLR432W	P50095
YML110C	P49017
YER003C	P29952
YER060W-A	Q12119
YBR176W	P38122
YHR144C	P06773
YPL212C	Q12211
YDR384C	Q12359
YNL334C	P53823
YNR016C	Q00955
YCR037C	P25360
YGR286C	P32451
YOL156W	P54862
YLR047C	Q12209
YDR093W	Q12675
YOR143C	P35202
YGR248W	P53315
YOL092W	Q12010
YKL087C	Q00873
YGR208W	P42941
YBR021W	P05316
YLR286C	P29029
YPL076W	P46961
YOL122C	P38925
YLR017W	Q07938
YOR067C	P40351
YGL154C	P50113
YNL141W	P53909
YKL008C	P28496
YDR284C	Q05521
YCL050C	P16550
YHR096C	P38695
YJL045W	P47052
YOR306C	Q08777
YIL107C	P40433
YEL070W	P0CX08
YEL070W	P0CX09
YNL029C	P53966
YGR256W	P53319
YNL129W	P53915
YER073W	P40047
YOR095C	Q12189
YCL069W	P25594
YER053C	P40035
YNL003C	P38921
YOR303W	P07258
YIL020C	P40545
YOR126C	P41734
YPL268W	P32383
YBL013W	P32785
YDR428C	Q04066
YCR028C	P25621
YLR359W	Q05911
YOR130C	Q12375
YBR294W	P38359
YNR043W	P32377
YLR260W	Q06147
YPL110C	Q02979
YDR135C	P39109
YOR316C	P32798
YLR158C	P0CZ17
YLR158C	P0CX77
YLR158C	P0CX78
YLR158C	P0CX79
YHR201C	P38698
YBR058C-A	Q3E790
YEL069C	P39924
YDL103C	P43123
YJL046W	P47051
YDL246C	Q07786
YOL077W-A	P81451
YKL019W	P29703
YGL156W	P22855
YLR239C	Q06005
YKR097W	P10963
YHR001W-A	P37299
YDL120W	Q07540
YJR133W	P47165
YJL214W	P40886
YDL078C	P32419
YLR070C	Q07993
YPR159W	P32486
YCR005C	P08679
YOR221C	Q12283
YPL206C	Q08959
YIL048W	P40527
YDL243C	Q07747
YMR217W	P38625
YCR068W	P25641
YNL142W	P41948
YGL253W	P04807
YML100W	P38427
YJR049C	P21373
YGR144W	P32318
YOR384W	Q08908
YNL241C	P11412
YDL055C	P41940
YFR055W	P43623
YPL147W	P41909
YNL048W	P53954
YPR127W	Q06494
YDR483W	P27809
YDL215C	P33327
YHL012W	P38709
YDL093W	P52867
YLR153C	P52910
YLR231C	Q05979
YDR297W	P38992
YHR094C	P32465
YFL022C	P15625
YDR208W	P38994
YMR210W	Q03649
YKL026C	P36014
YIL155C	P32191
YDR454C	P15454
YPR156C	Q06451
YBR153W	P33312
YHR018C	P04076
YHR063C	P38787
YAL060W	P39714
YBR205W	P38130
YMR298W	Q03579
YFR025C	P38635
YKR067W	P36148
YGL037C	P53184
YER023W	P32263
YPL059W	Q02784
YPR128C	Q06497
YNL191W	P53871
YGR175C	P32476
YHR074W	P38795
YGR260W	P53322
YKR031C	P36126
YJL100W	P42951
YMR083W	P07246
YAR015W	P27616
YBL068W	P38063
YCL035C	P25373
YLR295C	Q12349
YLR258W	P27472
YCR083W	P25372
YDR508C	P48813
YNL037C	P28834
YJL166W	P08525
YNR033W	P37254
YCR012W	P00560
YJR009C	P00358
YKL182W	P07149
YOL011W	Q08108
YOR381W	Q08905
YLR056W	P32353
YDR158W	P13663
YEL066W	P39979
YLR382C	P11325
YNL036W	P53615
YPL078C	P05626
YDR539W	Q03034
YGR088W	P06115
YGL012W	P25340
YPR026W	P48016
YMR105C	P37012
YBL080C	P33893
YJL216C	P40884
YDR400W	Q04179
YOL097C	Q12109
YKL174C	P36029
YBR121C	P38088
YGR046W	P53230
YJL221C	P0CW40
YJL221C	P0CW41
YDR178W	P37298
YLR057W	Q12205
YOR245C	Q08650
YDL131W	Q12122
YGR193C	P16451
YDR354W	P07285
YEL041W	P32622
YKL216W	P28272
YOR270C	P32563
YDL052C	P33333
YPL091W	P41921
YER086W	P00927
YJL153C	P11986
YOR184W	P33330
YCR048W	P25628
YDR453C	Q04120
YJR019C	P41903
YBR183W	P38298
YNL104C	P06208
YJL129C	P12685
YEL029C	P39988
YDR036C	P28817
YLR245C	Q06549
YBR046C	P38230
YHR174W	P00925
YBR022W	P38218
YBL011W	P32784
YLR151C	Q12524
YER019W	P40015
YMR303C	P00331
YJL005W	P08678
YJL134W	P47013
YGL205W	P13711
YGR194C	P42826
YDR536W	P39932
YNL256W	P53848
YJR040W	P37020
YBR034C	P38074
YEL017C-A	P40975
YHR002W	P38702
YPL244C	Q12520
YKL069W	P36088
YPL015C	P53686
YDR403W	P21623
YOR375C	P07262
YMR006C	Q03674
YOR161C	Q12412
YOR108W	Q12166
YHR119W	P38827
YKL218C	P36007
YER026C	P08456
YDR234W	P49367
YEL039C	P00045
YPL028W	P41338
YMR189W	P49095
YPL111W	P00812
YHL003C	P38703
YBR001C	P35172
YNR072W	P53631
YMR256C	P10174
YMR113W	Q12676
YJR095W	P33303
YDR019C	P48015
YAL035W	P39730
YGR243W	P53311
YCR036W	P25332
YDR322C-A	P81449
YMR272C	Q03529
YMR099C	Q03161
YJR048W	P00044
YBR192W	P38127
YBR026C	P38071
YOL052C	P21182
YMR250W	Q04792
YDR256C	P15202
YDR272W	Q05584
YOL075C	Q08234
YHL016C	P33413
YJR155W	P47182
YJL139C	P26725
YDR270W	P38995
YBR161W	P38287
YDR226W	P07170
YKR076W	P36156
YFR019W	P34756
YIL074C	P40510
YJL168C	P46995
YOR002W	Q12001
YGR289C	P53048
YML042W	P32796
YGR282C	P15703
YMR300C	P04046
YBR222C	P38137
YFR033C	P00127
YIR027C	P32375
YDL185W	P17255
YMR202W	P32352
YMR241W	Q04013
YLR372W	P40319
YJR104C	P00445
YBR218C	P32327
YPR033C	P07263
YOR168W	P13188
YLR081W	P13181
YGL084C	P53154
YHR037W	P07275
YPL175W	P32363
YER037W	P40025
YJL101C	P32477
YGL062W	P11154
YNL331C	P42884
YGR234W	P39676
YLL053C	P0CD98
YBR020W	P04385
YGR138C	P53283
YPR081C	Q06817
YGL202W	P53090
YJR121W	P00830
YKL192C	P32463
YMR120C	P38009
YEL063C	P04817
YMR170C	P47771
YLR092W	Q12325
YGL063W	P53167
YGL119W	P27697
YPR001W	P43635
YGL248W	P22434
YMR110C	Q04458
YBR126C	Q00764
YLR308W	Q06703
YBR145W	P38113
YLR345W	Q06137
YLR355C	P06168
YER183C	P40099
YHR068W	P38791
YPR183W	P14020
YFL053W	P43550
YDL095W	P33775
YDR148C	P19262
YLL031C	Q07830
YHR025W	P17423
YEL024W	P08067
YOR323C	P54885
YKR069W	P36150
YHR039C-A	P48836
YDR497C	P30605
YJR143C	P46971
YCR010C	P25613
YKL029C	P36013
YKL188C	P34230
YHR007C	P10614
YCL018W	P04173
YKL001C	Q02196
YOR176W	P16622
YOL033W	P48525
YLR303W	P06106
YOR011W	Q08409
YGR277C	P53332
YNL219C	P53868
YDR062W	P40970
YKL094W	P28321
YML106W	P13298
YGR183C	P22289
YDR050C	P00942
YDR072C	P38954
YPR191W	P07257
YGL191W	P32799
YJL060W	P47039
YNL192W	P08004
YDR298C	P09457
YLR328W	Q06178
YAL026C	P39524
YOL143C	P50861
YLR099C	Q12385
YNL117W	P30952
YLL061W	Q12372
YAL062W	P39708
YPL104W	P15179
YBR229C	P38138
YCL052C	P25580
YLR386W	Q06708
YGR155W	P32582
YER056C	P17064
YBR298C	P38156
YGR292W	P53341
YJL137C	P47011
YMR011W	P23585
YML126C	P54839
YKL181W	P32895
YKL212W	P32368
YNL318C	P42833
YOR241W	Q08645
YIR038C	P40582
YPR035W	P32288
YBR029C	P38221
YBR196C	P12709
YNL038W	P53961
YDR204W	O13525
YJL003W	P47081
YMR088C	Q04301
YIR031C	P21826
YHR013C	P07347
YAL044C	P39726
YCR105W	P25377
YGR110W	P53264
YKL150W	P36060
YBR011C	P00817
YPR138C	P53390
YNL052W	P00424
YBR036C	P35206
YOR071C	Q08485
YNR030W	P53730
YLR300W	P23776
YGL224C	P53078
YML056C	P50094
YER052C	P10869
YER024W	P40017
YLR438W	P07991
YIL013C	P40550
YGR036C	P53223
YMR281W	P23797
