Rxn	GPR
Ex_biomass	
Ex_glucose	56606 or 81031 or 114134 or 29988 or 6515 or 154091 or 160728 or 6528 or 8884 or 115584 or 6524 or 6517 or 125206 or 6518 or 11182 or 66035 or 6527 or 6514 or 155184 or 6513 or 60482 or 6526 or 6523 or 200010 or 159963 or 144195
Ex_lactateL	160728 or 23539 or 9194 or 9123 or 6566
Ex_O2	
Ex_glutamine	(57393 and (340024 or 348932)) or 55089 or 10991 or 81539 or 54407 or 11254 or 8501 or 92745
Ex_Palmitate	
Ex_glutamate	
Ex_arginines	84889 or 6542 or 55089 or 11254 or 6541
Ex_folate	2348 or 2352 or 2350
Ex_urea	6528 or 6523 or 8170 or 6563
Ex_NH3	
Ex_citratec	284111 or 9058
Ex_Carnitine	6584
Ex_AKG	60386 or 89874 or 64849
Ex_proline	206358 or 153201
Ex_alanine	((340024 and 57393) or (348932 and 57393) or (59272 and 340024)) or 84889 or 6542 or 153201 or 55089 or 120103 or 10991 or 81539 or 54407 or 206358 or 11254 or 6541 or 92745
Ex_aspartate	6505 or 6512 or 6511 or 6506 or 6507
Ex_asparagine	((340024 and 57393) or (348932 and 57393) or (59272 and 340024)) or 55089 or 10991 or 81539 or 54407 or 11254 or 8501 or 92745
Ex_serine	((340024 and 57393) or (348932 and 57393) or (59272 and 340024)) or 55089 or 81539 or 54407 or 206358 or 11254 or 8501 or 92745
Ex_glycine	((340024 and 57393) or (348932 and 57393) or (59272 and 340024)) or 153201 or 55089 or 81539 or 9152 or 54407 or 206358 or 6536 or 11254 or 92745
Ex_cystine	
Ex_SC_mercaptopyruvatec	
Ex_SC_H2O	359 or 343 or 358 or 4284 or 361 or 362
Ex_SC_Pi	
Ex_SC_H	
DM_Palmitate	19
DM_putrescine	
DM_CO2c	
DM_10formylTHFm	
DM_10formylTHFc	
DM_GSSG	
DM_guanidinoacetatec	
Glucose_DM_COOP	56606 or 81031 or 114134 or 29988 or 6515 or 154091 or 160728 or 6528 or 8884 or 115584 or 6524 or 6517 or 125206 or 6518 or 11182 or 66035 or 6527 or 6514 or 155184 or 6513 or 60482 or 6526 or 6523 or 200010 or 159963 or 144195
LactateL_DM_COOP	160728 or 23539 or 9194 or 9123 or 6566
Oxygen_DM_COOP	
Glutamine_DM_COOP	(57393 and (340024 or 348932)) or 55089 or 10991 or 81539 or 54407 or 11254 or 8501 or 92745
Palmitate_DM_COOP	19
Palmitate_UP_COOP	10999 or 2806 or 948 or 376497
Glutamate_DM_COOP	
Arginine_DM_COOP	84889 or 6542 or 55089 or 11254 or 6541
Folate_DM_COOP	2348 or 2352 or 2350
Urea_DM_COOP	8170 or 6563
NH3_DM_COOP	
Citrate_DM_COOP	284111 or 9058
Carnitine_DM_COOP	6584
AKG_DM_COOP	89874 or 64849
Proline_DM_COOP	206358 or 153201
Alanine_DM_COOP	((340024 and 57393) or (348932 and 57393) or (59272 and 340024)) or 84889 or 6542 or 153201 or 55089 or 120103 or 10991 or 81539 or 54407 or 206358 or 11254 or 6541 or 92745
Aspartate_DM_COOP	6505 or 6512 or 6511 or 6506 or 6507
Asparagine_DM_COOP	((340024 and 57393) or (348932 and 57393) or (59272 and 340024)) or 55089 or 10991 or 81539 or 54407 or 11254 or 8501 or 92745
Serine_DM_COOP	((340024 and 57393) or (348932 and 57393) or (59272 and 340024)) or 55089 or 81539 or 54407 or 206358 or 11254 or 8501 or 92745
Glycine_DM_COOP	((340024 and 57393) or (348932 and 57393) or (59272 and 340024)) or 153201 or 55089 or 81539 or 9152 or 54407 or 206358 or 6536 or 11254 or 92745
TranspCystineGlu	6520 and 23657
TranspCystineSer	11136 and 6519
CystineReductaseNADPH	10587 or 7296
GCK_HKDC1_HK1_ADPGK_HK2_HK3	3101 or 80201 or 3098 or 2645 or 3099
G6PPer	2538 or 57818 or 92579
GPI	2821
PFKP_PFKL_PFKM_1	5211 or 5214 or 5213
FBP	2203 or 8789
ALDOC_ALDOB_ALDOA_2	230 or 226 or 229
TPI1_TPI1P2	7167
GAPDHS_GAPDH_GAPDHP29	2597 or 26330
CRISP3_PGK1_MIA3_PGK2	5230 or 5232
PGAM2_PGAM1_BPGM_PGAM4_1	669 or 5223 or 5224
ENO1_ENO3_ENO2	2023 or 2027 or 2026
PKM_TMEM54_PKLR_HCN3	5315 or 5313
PC	5091
PEPCK	5105
LDH	55293 or 160287 or 3939 or 92483 or 3948 or 3945
G6PD	2539
H6PD_PGLS	9563 or 25796
PGD	5226
RPIA_LOC101060545	22934
PRPS2_PRPS1_PRPS1L1	5634 or 5631 or 221823
TKTL1_TKTL2_TKT_1	7086 or 8277 or 84076
ALDOC_ALDOB_ALDOA_1	230 or 226 or 229
RPE_LOC729020	6120 or 729020
TKTL1_TKTL2_TKT_2	7086 or 8277 or 84076
TALDO1	6888
PFKP_PFKL_PFKM_3	5211 or 5214 or 5213
DLD_PDHX_PDHA1_DLAT_PDHA2_PDHB	8050 and 1738 and 1737 and 5162 and (5160 or 5161)
CS	1431
ACO2_ACO1_1	48 or 50
IDH3	3420 or 3419 or 3421
IDH2	3418
